<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSBCO.US,D,20251007,000000,25.55,25.64,25.55,25.61,95957,0
WSBCO.US,D,20251008,000000,25.635,25.7,25.5505,25.615,24742,0
WSBCO.US,D,20251009,000000,25.63,25.65,25.55,25.58,139184,0
WSBCO.US,D,20251010,000000,25.64,25.65,25.53,25.57,81164,0
WSBCO.US,D,20251013,000000,25.58,25.6,25.53,25.6,94563,0
WSBCO.US,D,20251014,000000,25.6,25.6,25.55,25.58,63118,0
WSBCO.US,D,20251015,000000,25.64,25.65,25.55,25.58,65771,0
WSBCO.US,D,20251016,000000,25.6,25.6,25.38,25.45,94693,0
WSBCO.US,D,20251017,000000,25.49,25.57,25.41,25.48,54410,0
WSBCO.US,D,20251020,000000,25.62,25.62,25.5,25.58,97457,0
WSBCO.US,D,20251021,000000,25.58,25.64,25.58,25.62,32287,0
WSBCO.US,D,20251022,000000,25.64,25.68,25.55,25.6,79091,0
WSBCO.US,D,20251023,000000,25.64,25.74,25.57,25.5925,113527,0
WSBCO.US,D,20251024,000000,25.66,25.66,25.56,25.57,33832,0
WSBCO.US,D,20251027,000000,25.6,25.72,25.55,25.58,401981,0
WSBCO.US,D,20251028,000000,25.58,25.63,25.56,25.58,136701,0
WSBCO.US,D,20251029,000000,25.55,25.62,25.54,25.62,24217,0
WSBCO.US,D,20251030,000000,25.62,25.62,25.56,25.57,68617,0
WSBCO.US,D,20251031,000000,25.62,25.64,25.46,25.52,1193419,0
WSBCO.US,D,20251103,000000,25.56,25.56,25.4,25.48,81888,0
WSBCO.US,D,20251104,000000,25.45,25.51,25.415,25.46,24062,0
WSBCO.US,D,20251105,000000,25.43,25.49,25.43,25.45,150870,0
