<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZGM.US,D,20250909,000000,4.35,4.51,3.05,3.69,2560522,0
ZGM.US,D,20250910,000000,3.94,4.15,3.7,3.8,533744,0
ZGM.US,D,20250911,000000,3.8,4.37,2,2.77,1601113,0
ZGM.US,D,20250912,000000,3.02,4.28,2.6,4.09,1485549,0
ZGM.US,D,20250915,000000,3.82,4.1,3.5301,3.76,479140,0
ZGM.US,D,20250916,000000,3.25,3.7,3.25,3.6,127501,0
ZGM.US,D,20250917,000000,3.6037,3.6037,3.3807,3.52,50099,0
ZGM.US,D,20250918,000000,3.57,3.74,3.52,3.58,23572,0
ZGM.US,D,20250919,000000,3.59,3.6201,3.22,3.3,37694,0
ZGM.US,D,20250922,000000,3.3575,3.99,3.3575,3.95,179994,0
ZGM.US,D,20250923,000000,3.98,4.09,3.81,3.81,104028,0
ZGM.US,D,20250924,000000,3.81,3.81,3.55,3.7275,2921,0
ZGM.US,D,20250925,000000,3.7998,3.9,3.7,3.8114,8153,0
ZGM.US,D,20250926,000000,3.7736,3.9,3.66,3.76,30993,0
ZGM.US,D,20250929,000000,3.73,3.73,3.35,3.35,31519,0
ZGM.US,D,20250930,000000,3.3727,3.49,3.3624,3.4,23147,0
ZGM.US,D,20251001,000000,3.4519,3.77,3.075,3.64,155176,0
ZGM.US,D,20251002,000000,3.6,4.44,3.53,4.17,602535,0
ZGM.US,D,20251003,000000,4.14,4.25,3.82,4.14,36827,0
ZGM.US,D,20251006,000000,3.8,4.19,3.8,4.05,14812,0
ZGM.US,D,20251007,000000,3.85,4.1273,3.8,4,46637,0
ZGM.US,D,20251008,000000,4.005,4.1,3.94,3.9476,64952,0
ZGM.US,D,20251009,000000,4.05,4.05,3.7133,3.72,12890,0
ZGM.US,D,20251010,000000,3.5,3.5,3.05,3.2,44605,0
ZGM.US,D,20251013,000000,3.2484,3.43,2.82,3.24,112068,0
ZGM.US,D,20251014,000000,3,3.15,3,3,267560,0
ZGM.US,D,20251015,000000,3.76,3.8,3.37,3.47,1599741,0
ZGM.US,D,20251016,000000,3.4,3.51,3.2223,3.5,143339,0
ZGM.US,D,20251017,000000,3.06,3.26,3.0521,3.07,42860,0
ZGM.US,D,20251020,000000,2.95,3.0473,2.81,2.8996,21948,0
ZGM.US,D,20251021,000000,2.9,3.02,2.752,2.98,203967,0
ZGM.US,D,20251022,000000,2.86,3,2.85,2.9005,76590,0
ZGM.US,D,20251023,000000,2.86,2.99,2.85,2.85,14585,0
ZGM.US,D,20251024,000000,2.93,3.0207,2.8001,2.92,94748,0
ZGM.US,D,20251027,000000,2.96,3.2613,2.95,3.23,226067,0
ZGM.US,D,20251028,000000,3.1512,3.27,2.95,3.27,20535,0
ZGM.US,D,20251029,000000,3.12,3.12,2.92,2.92,113917,0
ZGM.US,D,20251030,000000,3.12,3.12,2.912,3,83311,0
ZGM.US,D,20251031,000000,3,3,2.8501,2.93,18076,0
ZGM.US,D,20251103,000000,2.81,2.9,2.79,2.825,4899,0
ZGM.US,D,20251104,000000,2.96,3.08,2.68,2.82,171444,0
ZGM.US,D,20251105,000000,2.66,2.815,2.33,2.49,92593,0
