<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZMUN.US,D,20251001,000000,50.09,50.09,50.06,50.07,24781,0
ZMUN.US,D,20251002,000000,50.081,50.105,50.0582,50.06,22490,0
ZMUN.US,D,20251003,000000,50.05,50.0893,50.05,50.075,10742,0
ZMUN.US,D,20251006,000000,50.05,50.05,50.0335,50.05,605,0
ZMUN.US,D,20251007,000000,50.04,50.055,50.035,50.05,60608,0
ZMUN.US,D,20251008,000000,50.05,50.05,50.05,50.05,1400,0
ZMUN.US,D,20251009,000000,50.04,50.06,50.04,50.05,301,0
ZMUN.US,D,20251010,000000,50.07,50.08,50.07,50.075,773,0
ZMUN.US,D,20251013,000000,50.1,50.1,50.065,50.065,1018,0
ZMUN.US,D,20251014,000000,50.03,50.065,50.03,50.05,24069,0
ZMUN.US,D,20251015,000000,50.12,50.13,50.11,50.1244,4306,0
ZMUN.US,D,20251016,000000,50.13,50.13,50.11,50.1235,1450,0
ZMUN.US,D,20251017,000000,50.1444,50.145,50.1444,50.145,250,0
ZMUN.US,D,20251020,000000,50.155,50.155,50.135,50.135,981,0
ZMUN.US,D,20251021,000000,50.145,50.145,50.14,50.145,720,0
ZMUN.US,D,20251022,000000,50.1458,50.16,50.1458,50.16,1112,0
ZMUN.US,D,20251023,000000,50.15,50.155,50.14,50.155,17956,0
ZMUN.US,D,20251027,000000,50.19,50.19,50.1542,50.1542,811,0
ZMUN.US,D,20251028,000000,50.1758,50.18,50.17,50.175,44847,0
ZMUN.US,D,20251029,000000,50.155,50.16,50.155,50.16,741,0
ZMUN.US,D,20251030,000000,50.08,50.085,50.06,50.085,15715,0
ZMUN.US,D,20251031,000000,50.0998,50.1,50.09,50.095,2747,0
ZMUN.US,D,20251103,000000,50.08,50.09,50.08,50.09,420,0
ZMUN.US,D,20251104,000000,50.08,50.095,50.08,50.095,1013,0
ZMUN.US,D,20251105,000000,50.08,50.09,50.07,50.07,4404,0
