<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBFG.US,D,20250415,000000,25.51,25.5167,25.5045,25.5045,300,0
TBFG.US,D,20250520,000000,27.06,27.0805,27.06,27.0805,133,0
TBFG.US,D,20250611,000000,27.5,27.5,27.4961,27.4961,273075,0
TBFG.US,D,20250620,000000,27.25,27.2664,27.25,27.2664,260,0
TBFG.US,D,20250714,000000,28.02,28.02,28.02,28.02,82750,0
TBFG.US,D,20250721,000000,28.25,28.25,28.2167,28.2167,114690,0
TBFG.US,D,20250801,000000,27.85,27.9006,27.84,27.9006,403690,0
TBFG.US,D,20250806,000000,28.2401,28.28,28.2401,28.276,803,0
TBFG.US,D,20250808,000000,28.43,28.44,28.4097,28.4097,406630,0
TBFG.US,D,20250811,000000,28.38,28.39,28.3342,28.3342,986,0
TBFG.US,D,20250812,000000,28.53,28.5999,28.53,28.5999,102,0
TBFG.US,D,20250815,000000,28.66,28.66,28.6368,28.6368,402429,0
TBFG.US,D,20250818,000000,28.65,28.6586,28.65,28.6586,489,0
TBFG.US,D,20250819,000000,28.59,28.59,28.5427,28.5427,101,0
TBFG.US,D,20250820,000000,28.46,28.55,28.46,28.5382,2701,0
TBFG.US,D,20250821,000000,28.44,28.46,28.42,28.4427,2601,0
TBFG.US,D,20250903,000000,28.63,28.68,28.63,28.68,4200,0
TBFG.US,D,20250904,000000,28.72,28.82,28.72,28.82,400,0
TBFG.US,D,20250905,000000,28.89,28.89,28.889,28.889,900,0
TBFG.US,D,20250908,000000,29.01,29.0378,29.01,29.0378,214,0
TBFG.US,D,20250909,000000,29.07,29.07,29.0602,29.0602,203,0
TBFG.US,D,20251023,000000,29.91,29.92,29.9095,29.9095,26756,0
TBFG.US,D,20251028,000000,30.19,30.2031,30.19,30.2031,70406,0
TBFG.US,D,20251030,000000,30,30,29.9784,29.9784,20114,0
