<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKAF.US,D,20250627,000000,25.6115,25.6115,25.56,25.6115,236,0
AKAF.US,D,20250630,000000,25.69,25.7625,25.69,25.7625,311,0
AKAF.US,D,20250701,000000,26.01,26.1,26.01,26.031,546,0
AKAF.US,D,20250702,000000,26.08,26.515,26.08,26.234,2061,0
AKAF.US,D,20250703,000000,26.345,26.455,26.345,26.4273,1483,0
AKAF.US,D,20250707,000000,26.3596,26.3596,26.0501,26.191,2453,0
AKAF.US,D,20250708,000000,26.295,26.675,26.241,26.241,1678,0
AKAF.US,D,20250709,000000,26.31,26.39,26.3025,26.3025,427,0
AKAF.US,D,20250710,000000,26.43,27.27,26.43,26.5741,600,0
AKAF.US,D,20250711,000000,26.5193,26.5193,26.5109,26.5109,159,0
AKAF.US,D,20250714,000000,26.51,26.53,26.48,26.5196,3799,0
AKAF.US,D,20250715,000000,26.33,26.33,26.1351,26.1351,2366,0
AKAF.US,D,20250716,000000,26.12,26.1363,26.07,26.1363,2252,0
AKAF.US,D,20250717,000000,26.22,26.33,26.13,26.288,3405,0
AKAF.US,D,20250718,000000,26.25,26.25,26.14,26.1506,3326,0
AKAF.US,D,20250721,000000,26.37,26.39,26.2267,26.2267,2924,0
AKAF.US,D,20250722,000000,26.27,26.51,26.27,26.4941,5442,0
AKAF.US,D,20250723,000000,26.74,26.94,26.74,26.7926,2502,0
AKAF.US,D,20250724,000000,26.72,26.72,26.5988,26.5988,2577,0
AKAF.US,D,20250725,000000,26.52,26.66,26.52,26.6454,2305,0
AKAF.US,D,20250728,000000,26.54,26.56,26.54,26.56,5810,0
AKAF.US,D,20250730,000000,26.23,26.23,26.0813,26.0813,2688,0
AKAF.US,D,20250731,000000,26.08,26.08,25.8683,25.8683,3711,0
AKAF.US,D,20250801,000000,25.57,26.03,25.57,25.6067,2576,0
AKAF.US,D,20250804,000000,25.85,26.62,25.85,26.0206,4261,0
AKAF.US,D,20250805,000000,26.02,26.1534,26.02,26.1534,2328,0
AKAF.US,D,20250806,000000,26.26,26.37,26.26,26.3556,6566,0
AKAF.US,D,20250807,000000,26.43,27.18,26.38,26.4425,4150,0
AKAF.US,D,20250808,000000,26.59,26.59,26.5176,26.5176,2402,0
AKAF.US,D,20250811,000000,26.46,27.28,26.3875,26.3875,5575,0
AKAF.US,D,20250812,000000,26.58,27.65,26.58,26.8971,3001,0
AKAF.US,D,20250813,000000,27,27.55,26.95,27.0646,3000,0
AKAF.US,D,20250814,000000,26.89,27.45,26.8,26.8745,2806,0
AKAF.US,D,20250815,000000,26.92,27.71,26.9005,26.9005,8006,0
AKAF.US,D,20250818,000000,26.91,27,26.91,26.9841,3488,0
AKAF.US,D,20250819,000000,27.06,27.06,26.9266,26.9266,3742,0
AKAF.US,D,20250820,000000,26.85,26.906,26.85,26.906,3808,0
AKAF.US,D,20250821,000000,26.9,26.9019,26.89,26.9019,3105,0
AKAF.US,D,20250822,000000,27.53,28.13,27.53,27.5542,4414,0
AKAF.US,D,20250825,000000,27.59,27.65,27.4568,27.4568,4726,0
AKAF.US,D,20250827,000000,27.7,27.7506,27.69,27.7506,390,0
AKAF.US,D,20250828,000000,27.77,27.793,27.77,27.793,1150,0
AKAF.US,D,20250905,000000,27.8,27.8528,27.8,27.8528,900,0
AKAF.US,D,20250912,000000,28.22,28.22,28.151,28.151,202,0
AKAF.US,D,20250922,000000,28.1,28.2466,28.1,28.2466,202,0
AKAF.US,D,20250923,000000,28.5,28.5,28.3404,28.3404,900,0
AKAF.US,D,20250924,000000,28.37,28.37,28.249,28.249,208,0
AKAF.US,D,20250926,000000,28.45,29.13,28.4113,28.4113,260,0
AKAF.US,D,20250930,000000,28.23,28.96,28.23,28.4357,388,0
AKAF.US,D,20251003,000000,28.67,29.51,28.5909,28.5909,312,0
AKAF.US,D,20251006,000000,28.63,28.7802,28.63,28.7802,363,0
AKAF.US,D,20251010,000000,28.49,28.49,27.937,27.937,100,0
AKAF.US,D,20251013,000000,28.3941,28.5367,28.3941,28.5367,406,0
AKAF.US,D,20251014,000000,29.01,29.01,28.9172,28.9172,100,0
AKAF.US,D,20251015,000000,29.06,29.12,28.997,28.997,780,0
AKAF.US,D,20251016,000000,29.09,29.09,28.7819,28.7819,430,0
AKAF.US,D,20251021,000000,28.76,28.84,28.758,28.758,400,0
AKAF.US,D,20251031,000000,28.72,28.7751,28.72,28.7751,102,0
