<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANGX.US,D,20250911,000000,17.32,20.385,12.06,13,577805,0
ANGX.US,D,20250912,000000,16.97,17.9801,10.35,13.26,1069127,0
ANGX.US,D,20250915,000000,14.3,18.9,13.52,16,1169646,0
ANGX.US,D,20250916,000000,17.2,18,12.02,13.01,1039831,0
ANGX.US,D,20250917,000000,13.2,13.34,7.67,8.81,2906977,0
ANGX.US,D,20250918,000000,9.175,9.5,6.75,6.93,1702345,0
ANGX.US,D,20250919,000000,7.09,7.09,5.92,6,1399369,0
ANGX.US,D,20250922,000000,6.475,6.9699,5.75,5.79,1224854,0
ANGX.US,D,20250923,000000,5.93,5.9779,4.52,5,2316930,0
ANGX.US,D,20250924,000000,5,5.049,4.35,4.36,1111867,0
ANGX.US,D,20250925,000000,4.44,4.45,3.98,4,1279858,0
ANGX.US,D,20250926,000000,4.1,4.2,3.77,3.96,1267008,0
ANGX.US,D,20250929,000000,4.37,5.73,4.294,5.54,2869088,0
ANGX.US,D,20250930,000000,5.49,5.82,5.2102,5.81,1012342,0
ANGX.US,D,20251001,000000,5.94,8.1599,5.926,7.76,3099417,0
ANGX.US,D,20251002,000000,9.76,9.85,8.63,9.32,6874252,0
ANGX.US,D,20251003,000000,9.59,9.6733,8.51,8.59,2443793,0
ANGX.US,D,20251006,000000,8.6,8.8,7.75,8.31,1354557,0
ANGX.US,D,20251007,000000,8.15,8.2606,7.39,7.49,1018915,0
ANGX.US,D,20251008,000000,7.36,7.54,6.774,6.89,1252153,0
ANGX.US,D,20251009,000000,6.78,6.98,6.59,6.91,852374,0
ANGX.US,D,20251010,000000,6.9905,6.9905,6.4,6.61,986384,0
ANGX.US,D,20251013,000000,6.76,6.88,6.42,6.67,502128,0
ANGX.US,D,20251014,000000,6.6154,7.4661,6.35,7.4,782752,0
ANGX.US,D,20251015,000000,7.58,7.58,6.85,6.97,746596,0
ANGX.US,D,20251016,000000,6.97,7.0499,6.67,6.81,382934,0
ANGX.US,D,20251017,000000,6.8883,7.245,6.82,6.99,814289,0
ANGX.US,D,20251020,000000,7.01,7.36,6.9,7.36,501006,0
ANGX.US,D,20251021,000000,7.325,7.35,6.98,7.15,522126,0
ANGX.US,D,20251022,000000,7.03,7.17,6.82,6.83,343758,0
ANGX.US,D,20251023,000000,6.93,7.05,6.81,6.93,412564,0
ANGX.US,D,20251024,000000,7,7,6.6,6.83,297276,0
ANGX.US,D,20251027,000000,6.85,6.9,6.53,6.69,307513,0
ANGX.US,D,20251028,000000,6.71,6.8,6.34,6.45,462245,0
ANGX.US,D,20251029,000000,6.5,6.5809,6.2,6.33,513597,0
ANGX.US,D,20251030,000000,6.3,6.37,5.95,6.25,550771,0
ANGX.US,D,20251031,000000,6.25,6.55,5.9,6.4,564113,0
ANGX.US,D,20251103,000000,6.62,6.78,6.24,6.59,347062,0
ANGX.US,D,20251104,000000,6.41,6.55,6.13,6.17,175354,0
ANGX.US,D,20251105,000000,6.36,6.62,6,6.54,265008,0
