<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCKT.US,D,20250925,000000,48.6051,48.6051,48.6051,48.6051,33,0
BCKT.US,D,20250926,000000,48.5549,48.5549,48.5549,48.5549,36,0
BCKT.US,D,20250930,000000,48.7,48.7,48.6151,48.6151,103,0
BCKT.US,D,20251001,000000,48.749,48.749,48.6951,48.6951,903,0
BCKT.US,D,20251002,000000,47.93,47.93,47.8695,47.8695,402,0
BCKT.US,D,20251015,000000,47.994,47.994,47.9801,47.9801,500,0
BCKT.US,D,20251016,000000,48.066,48.0894,48.066,48.0894,502,0
BCKT.US,D,20251017,000000,48.109,48.109,48.0445,48.0445,505,0
BCKT.US,D,20251029,000000,48.045,48.1,47.9399,47.9399,518,0
BCKT.US,D,20251103,000000,48.06,48.06,47.9498,47.9498,218,0
BCKT.US,D,20251105,000000,47.093,47.15,47.093,47.15,448,0
