<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BINT.US,D,20250623,000000,25.18,25.22,25.07,25.2182,16317,0
BINT.US,D,20250624,000000,25.3784,25.55,25.3784,25.4974,4738157,0
BINT.US,D,20250625,000000,25.39,25.45,25.34,25.379,51160,0
BINT.US,D,20250626,000000,25.57,25.66,25.5694,25.6509,169114,0
BINT.US,D,20250627,000000,25.76,25.87,25.7,25.7838,125877,0
BINT.US,D,20250630,000000,25.778,25.9,25.76,25.8964,54402,0
BINT.US,D,20250701,000000,25.88,25.91,25.76,25.8782,50054,0
BINT.US,D,20250702,000000,25.8,25.98,25.7999,25.98,40733,0
BINT.US,D,20250703,000000,26.03,26.075,26.03,26.0437,13421,0
BINT.US,D,20250707,000000,25.89,25.89,25.75,25.7683,38030,0
BINT.US,D,20250708,000000,25.86,25.93,25.86,25.9077,5839,0
BINT.US,D,20250709,000000,26,26.07,25.9867,26.0694,47426,0
BINT.US,D,20250710,000000,26.01,26.12,26.01,26.0994,30070,0
BINT.US,D,20250711,000000,25.91,25.95,25.89,25.915,63631,0
BINT.US,D,20250714,000000,25.8834,25.96,25.8834,25.9409,25824,0
BINT.US,D,20250715,000000,25.86,25.87,25.7374,25.7374,48094,0
BINT.US,D,20250716,000000,25.6799,25.8377,25.66,25.8377,58539,0
BINT.US,D,20250717,000000,25.84,25.93,25.82,25.9281,12609,0
BINT.US,D,20250718,000000,25.97,26,25.86,25.8753,66064,0
BINT.US,D,20250721,000000,26.01,26.1,26.0001,26.0001,39636,0
BINT.US,D,20250722,000000,26.03,26.14,25.99,26.13,39722,0
BINT.US,D,20250723,000000,26.37,26.5725,26.36,26.5725,28854,0
BINT.US,D,20250724,000000,26.4593,26.52,26.4348,26.4348,11549,0
BINT.US,D,20250725,000000,26.26,26.42,26.26,26.4071,37874,0
BINT.US,D,20250728,000000,26.19,26.19,26.05,26.0877,263017,0
BINT.US,D,20250729,000000,26.11,26.11,26.029,26.0588,37054,0
BINT.US,D,20250730,000000,26.01,26.04,25.82,25.895,23802,0
BINT.US,D,20250731,000000,25.83,25.83,25.6695,25.6695,161694,0
BINT.US,D,20250801,000000,25.42,25.58,25.42,25.5613,19416,0
BINT.US,D,20250804,000000,25.83,25.91,25.83,25.9029,40253,0
BINT.US,D,20250805,000000,25.95,25.97,25.85,25.93,25197,0
BINT.US,D,20250806,000000,26.05,26.14,25.98,26.1,22064,0
BINT.US,D,20250807,000000,26.34,26.34,26.16,26.2463,11655,0
BINT.US,D,20250808,000000,26.38,26.45,26.38,26.3957,18361,0
BINT.US,D,20250811,000000,26.35,26.37,26.2857,26.2857,77385,0
BINT.US,D,20250812,000000,26.41,26.61,26.41,26.599,75886,0
BINT.US,D,20250813,000000,26.67,26.733,26.63,26.733,57629,0
BINT.US,D,20250814,000000,26.63,26.7,26.61,26.7,54846,0
BINT.US,D,20250815,000000,26.7941,26.81,26.77,26.79,25816,0
BINT.US,D,20250818,000000,26.74,26.7705,26.72,26.7705,15546,0
BINT.US,D,20250819,000000,26.85,26.85,26.7,26.73,65492,0
BINT.US,D,20250820,000000,26.77,26.79,26.6709,26.7639,37824,0
BINT.US,D,20250821,000000,26.68,26.7,26.61,26.65,43006,0
BINT.US,D,20250822,000000,26.77,27.11,26.77,27.0635,22415,0
BINT.US,D,20250825,000000,26.99,26.99,26.77,26.79,53499,0
BINT.US,D,20250826,000000,26.73,26.8,26.72,26.7918,41559,0
BINT.US,D,20250827,000000,26.64,26.795,26.64,26.79,23020,0
BINT.US,D,20250828,000000,26.84,26.9,26.82,26.89,19197,0
BINT.US,D,20250829,000000,26.75,26.78,26.71,26.76,29964,0
BINT.US,D,20250902,000000,26.35,26.53,26.35,26.53,14735,0
BINT.US,D,20250903,000000,26.53,26.59,26.51,26.59,19437,0
BINT.US,D,20250904,000000,26.68,26.78,26.63,26.78,6916,0
BINT.US,D,20250905,000000,27.01,27.01,26.8099,26.87,19696,0
BINT.US,D,20250908,000000,27.02,27.1,27,27.1,7957,0
BINT.US,D,20250909,000000,27.03,27.05,27,27.05,27426,0
BINT.US,D,20250910,000000,27.16,27.16,27.0401,27.07,16108,0
BINT.US,D,20250911,000000,27.23,27.3548,27.23,27.3525,17338,0
BINT.US,D,20250912,000000,27.27,27.29,27.2,27.24,18269,0
BINT.US,D,20250915,000000,27.36,27.445,27.36,27.445,42812,0
BINT.US,D,20250916,000000,27.41,27.42,27.34,27.3997,25481,0
BINT.US,D,20250917,000000,27.41,27.49,27.28,27.3445,26868,0
BINT.US,D,20250918,000000,27.37,27.46,27.37,27.4233,29309,0
BINT.US,D,20250919,000000,27.36,27.41,27.34,27.41,32499,0
BINT.US,D,20250922,000000,27.39,27.535,27.39,27.53,5747,0
BINT.US,D,20250923,000000,27.5762,27.5762,27.435,27.47,16130,0
BINT.US,D,20250924,000000,27.42,27.42,27.295,27.329,29554,0
BINT.US,D,20250925,000000,27.16,27.19,27.06,27.17,15191,0
BINT.US,D,20250926,000000,27.21,27.261,27.16,27.26,23415,0
BINT.US,D,20250929,000000,27.3,27.325,27.25,27.3,21470,0
BINT.US,D,20250930,000000,27.33,27.4,27.2699,27.4,35111,0
BINT.US,D,20251001,000000,27.49,27.6,27.48,27.5664,21357,0
BINT.US,D,20251002,000000,27.59,27.6553,27.52,27.63,28221,0
