<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLGR.US,D,20250623,000000,25.21,25.2551,25.11,25.2551,12546,0
BLGR.US,D,20250624,000000,25.549,25.69,25.549,25.6531,3536152,0
BLGR.US,D,20250625,000000,25.76,25.77,25.66,25.6985,41979,0
BLGR.US,D,20250626,000000,25.7892,25.97,25.7892,25.94,128287,0
BLGR.US,D,20250627,000000,26.03,26.16,25.89,26.16,94456,0
BLGR.US,D,20250630,000000,26.16,26.2581,26.145,26.2581,28321,0
BLGR.US,D,20250701,000000,26.15,26.16,25.9,26.0162,36087,0
BLGR.US,D,20250702,000000,26.02,26.184,26.02,26.184,32015,0
BLGR.US,D,20250703,000000,26.35,26.48,26.35,26.4463,14678,0
BLGR.US,D,20250707,000000,26.32,26.33,26.22,26.27,30327,0
BLGR.US,D,20250708,000000,26.24,26.28,26.2,26.2226,9264,0
BLGR.US,D,20250709,000000,26.37,26.46,26.3699,26.45,35184,0
BLGR.US,D,20250710,000000,26.34,26.5,26.33,26.465,19669,0
BLGR.US,D,20250711,000000,26.42,26.45,26.39,26.3933,43763,0
BLGR.US,D,20250714,000000,26.41,26.5,26.41,26.4723,14749,0
BLGR.US,D,20250715,000000,26.63,26.63,26.503,26.503,43537,0
BLGR.US,D,20250716,000000,26.46,26.57,26.3,26.5601,41562,0
BLGR.US,D,20250717,000000,26.64,26.75,26.6199,26.723,17227,0
BLGR.US,D,20250718,000000,26.75,26.77,26.67,26.74,45964,0
BLGR.US,D,20250721,000000,26.83,26.91,26.7909,26.7909,31973,0
BLGR.US,D,20250722,000000,26.75,26.75,26.62,26.6981,35106,0
BLGR.US,D,20250723,000000,26.81,26.9,26.72,26.8912,23676,0
BLGR.US,D,20250724,000000,26.9979,27.02,26.94,26.9984,12568,0
BLGR.US,D,20250725,000000,27.07,27.15,27.07,27.0911,31379,0
BLGR.US,D,20250728,000000,27.17,27.2,27.1,27.1728,189729,0
BLGR.US,D,20250729,000000,27.26,27.26,27.0528,27.0528,26014,0
BLGR.US,D,20250730,000000,27.13,27.19,27.01,27.12,17031,0
BLGR.US,D,20250731,000000,27.46,27.46,27.0794,27.0794,109887,0
BLGR.US,D,20250801,000000,26.565,26.72,26.5434,26.5827,12699,0
BLGR.US,D,20250804,000000,26.93,27.0603,26.93,27.0603,32194,0
BLGR.US,D,20250805,000000,27.07,27.11,26.85,26.8608,22950,0
BLGR.US,D,20250806,000000,27,27.2,26.84,27.18,20410,0
BLGR.US,D,20250807,000000,27.31,27.31,26.94,27.067,8490,0
BLGR.US,D,20250808,000000,27.28,27.32,27.27,27.2949,15676,0
BLGR.US,D,20250811,000000,27.26,27.42,27.2138,27.2138,134514,0
BLGR.US,D,20250812,000000,27.35,27.57,27.26,27.57,53286,0
BLGR.US,D,20250813,000000,27.66,27.68,27.49,27.5526,40984,0
BLGR.US,D,20250814,000000,27.59,27.597,27.52,27.597,40747,0
BLGR.US,D,20250815,000000,27.497,27.56,27.457,27.51,19051,0
BLGR.US,D,20250818,000000,27.52,27.5401,27.455,27.5401,13705,0
BLGR.US,D,20250819,000000,27.47,27.47,27.14,27.1748,49104,0
BLGR.US,D,20250820,000000,26.97,27.09,26.79,27.073,28323,0
BLGR.US,D,20250821,000000,27.08,27.08,26.891,26.9494,18633,0
BLGR.US,D,20250822,000000,27.09,27.44,27.09,27.3655,20561,0
BLGR.US,D,20250825,000000,27.38,27.47,27.3486,27.3486,33790,0
BLGR.US,D,20250826,000000,27.34,27.4699,27.34,27.4699,10826,0
BLGR.US,D,20250827,000000,27.52,27.55,27.48,27.55,11327,0
BLGR.US,D,20250828,000000,27.54,27.7,27.54,27.6883,8003,0
BLGR.US,D,20250829,000000,27.35,27.39,27.31,27.3657,20680,0
BLGR.US,D,20250902,000000,27,27.1511,26.86,27.1511,9034,0
BLGR.US,D,20250903,000000,27.33,27.45,27.26,27.38,13989,0
BLGR.US,D,20250904,000000,27.4398,27.6426,27.43,27.6426,3280,0
BLGR.US,D,20250905,000000,27.63,27.63,27.51,27.59,14380,0
BLGR.US,D,20250908,000000,27.83,27.83,27.73,27.74,5547,0
BLGR.US,D,20250909,000000,27.8,27.89,27.7057,27.8881,25764,0
BLGR.US,D,20250910,000000,28.07,28.15,27.96,28.05,10206,0
BLGR.US,D,20250911,000000,28.07,28.22,28.07,28.22,13884,0
BLGR.US,D,20250912,000000,28.2,28.3064,28.2,28.2658,11801,0
BLGR.US,D,20250915,000000,28.43,28.5098,28.43,28.49,32515,0
BLGR.US,D,20250916,000000,28.505,28.505,28.43,28.46,26533,0
BLGR.US,D,20250917,000000,28.32,28.37,28.23,28.3269,18084,0
BLGR.US,D,20250918,000000,28.52,28.599,28.5,28.5,26591,0
BLGR.US,D,20250919,000000,28.6197,28.7372,28.56,28.7372,17997,0
BLGR.US,D,20250922,000000,28.8924,28.9235,28.8906,28.9,6309,0
BLGR.US,D,20250923,000000,28.81,28.81,28.59,28.6225,14963,0
BLGR.US,D,20250924,000000,28.59,28.61,28.44,28.5,29435,0
BLGR.US,D,20250925,000000,28.1897,28.44,28.1897,28.33,13007,0
BLGR.US,D,20250926,000000,28.46,28.485,28.32,28.47,16713,0
BLGR.US,D,20250929,000000,28.6541,28.66,28.47,28.52,18656,0
BLGR.US,D,20250930,000000,28.5,28.67,28.45,28.67,26235,0
BLGR.US,D,20251001,000000,28.5,28.83,28.5,28.7976,14961,0
BLGR.US,D,20251002,000000,28.84,28.8799,28.75,28.8346,24890,0
BLGR.US,D,20251003,000000,28.89,28.91,28.73,28.77,18939,0
BLGR.US,D,20251006,000000,28.8,28.97,28.7999,28.94,13287,0
BLGR.US,D,20251007,000000,28.99,28.99,28.68,28.78,16061,0
BLGR.US,D,20251008,000000,28.94,29.03,28.94,29.03,29972,0
BLGR.US,D,20251009,000000,29,29.03,28.94,29.03,21397,0
BLGR.US,D,20251010,000000,29.12,29.13,28.1272,28.1272,20414,0
BLGR.US,D,20251013,000000,28.47,28.69,28.47,28.66,14855,0
