<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRIE.US,D,20251022,000000,24.9495,24.99,24.86,24.9187,606411,0
BRIE.US,D,20251023,000000,25,25.14,25,25.09,8303,0
BRIE.US,D,20251024,000000,25.1659,25.205,25.1659,25.1786,12879,0
BRIE.US,D,20251027,000000,25.27,25.4083,25.27,25.4083,10300,0
BRIE.US,D,20251028,000000,25.31,25.41,25.25,25.3706,9751,0
BRIE.US,D,20251029,000000,25.41,25.41,25.24,25.3004,11279,0
BRIE.US,D,20251030,000000,25.18,25.19,25.1592,25.1592,8237,0
BRIE.US,D,20251031,000000,25.14,25.28,25.11,25.18,12598,0
BRIE.US,D,20251103,000000,25.22,25.2925,25.22,25.2753,9416,0
BRIE.US,D,20251104,000000,25.1,25.1,24.93,24.9547,9294,0
BRIE.US,D,20251105,000000,25.05,25.24,25.05,25.24,9493,0
