<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPSV.US,D,20250506,000000,20.25,20.25,20.14,20.172,766,0
EPSV.US,D,20250507,000000,20.22,20.3044,20.22,20.3044,1164,0
EPSV.US,D,20250509,000000,20.77,20.77,20.66,20.7186,341,0
EPSV.US,D,20250513,000000,21.7,21.75,21.7,21.715,405,0
EPSV.US,D,20250514,000000,21.61,21.62,21.576,21.576,3391,0
EPSV.US,D,20250522,000000,20.78,21.02,20.78,20.942,2391,0
EPSV.US,D,20250829,000000,23.72,23.7449,23.7181,23.7449,201,0
EPSV.US,D,20250905,000000,23.86,23.9754,23.86,23.9754,104,0
EPSV.US,D,20250915,000000,23.69,23.69,23.6523,23.6523,100,0
EPSV.US,D,20251017,000000,23.66,23.7173,23.66,23.7173,102,0
EPSV.US,D,20251020,000000,23.92,24.0175,23.92,24.0175,100,0
