<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESLG.US,D,20251001,000000,25.05,25.19,25.05,25.1782,3157,0
ESLG.US,D,20251002,000000,25.17,25.25,25.17,25.2399,2017,0
ESLG.US,D,20251003,000000,25.4,25.4195,25.2623,25.2623,5815,0
ESLG.US,D,20251006,000000,25.35,25.45,25.34,25.4271,3206,0
ESLG.US,D,20251007,000000,25.39,25.39,25.08,25.143,5671,0
ESLG.US,D,20251008,000000,25.33,25.5702,25.33,25.5702,399,0
ESLG.US,D,20251009,000000,25.52,25.56,25.505,25.5088,2042,0
ESLG.US,D,20251010,000000,25.6099,25.64,24.9852,24.9852,24233,0
ESLG.US,D,20251014,000000,25.23,25.23,25.1026,25.1026,161,0
ESLG.US,D,20251016,000000,24.96,24.9936,24.96,24.9936,240,0
ESLG.US,D,20251017,000000,25.1,25.1322,25.0599,25.1322,2140,0
ESLG.US,D,20251020,000000,25.36,25.36,25.3279,25.3279,571,0
ESLG.US,D,20251021,000000,25.4291,25.4291,25.3899,25.3982,3711,0
ESLG.US,D,20251022,000000,25.28,25.51,25.07,25.226,2514,0
ESLG.US,D,20251023,000000,25.38,25.5,25.38,25.4757,1099,0
ESLG.US,D,20251024,000000,25.75,25.75,25.6813,25.6813,1185,0
ESLG.US,D,20251027,000000,25.86,26.01,25.8599,25.9193,1530,0
ESLG.US,D,20251028,000000,25.95,26.01,25.95,26.006,3061,0
ESLG.US,D,20251029,000000,26.1425,26.1425,25.9214,25.9214,417,0
ESLG.US,D,20251030,000000,25.9112,26.0199,25.8503,25.8503,3055,0
ESLG.US,D,20251031,000000,25.95,25.97,25.7132,25.8759,4044,0
ESLG.US,D,20251103,000000,25.7444,25.85,25.7444,25.8288,4463,0
ESLG.US,D,20251104,000000,25.51,25.65,25.4509,25.4509,2925,0
ESLG.US,D,20251105,000000,25.56,25.59,25.53,25.5899,1476,0
