<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVAC.US,D,20250822,000000,10,10,9.9,9.95,3397,0
EVAC.US,D,20250825,000000,9.99,9.99,9.98,9.98,580,0
EVAC.US,D,20250826,000000,9.9599,9.99,9.9401,9.9506,1529,0
EVAC.US,D,20250827,000000,9.94,9.96,9.93,9.93,228541,0
EVAC.US,D,20250828,000000,9.95,9.95,9.93,9.9479,2820,0
EVAC.US,D,20250903,000000,9.93,9.99,9.93,9.93,9006,0
EVAC.US,D,20250904,000000,9.93,9.93,9.925,9.93,402002,0
EVAC.US,D,20250905,000000,9.93,9.93,9.9,9.92,1046417,0
EVAC.US,D,20250908,000000,9.9265,9.9265,9.9265,9.9265,5019,0
EVAC.US,D,20250909,000000,9.92,9.92,9.92,9.92,7828,0
EVAC.US,D,20250910,000000,9.92,9.92,9.92,9.92,2315,0
EVAC.US,D,20250911,000000,9.92,9.92,9.92,9.92,15612,0
EVAC.US,D,20250912,000000,9.93,9.93,9.92,9.92,100101,0
EVAC.US,D,20250915,000000,9.92,9.93,9.91,9.92,354616,0
EVAC.US,D,20250916,000000,9.93,9.94,9.93,9.9375,92381,0
EVAC.US,D,20250917,000000,9.93,9.945,9.93,9.945,16663,0
EVAC.US,D,20250918,000000,9.95,9.97,9.93,9.93,179168,0
EVAC.US,D,20250919,000000,9.9453,9.95,9.94,9.94,36986,0
EVAC.US,D,20250922,000000,9.94,9.94,9.94,9.94,1406,0
EVAC.US,D,20250923,000000,9.97,9.97,9.94,9.94,1530010,0
EVAC.US,D,20250924,000000,9.95,9.95,9.94,9.945,458089,0
EVAC.US,D,20250925,000000,9.945,9.95,9.92,9.94,4981,0
EVAC.US,D,20250926,000000,9.97,9.97,9.94,9.94,1612,0
EVAC.US,D,20250929,000000,9.94,9.97,9.94,9.95,4203,0
EVAC.US,D,20250930,000000,9.95,9.95,9.95,9.95,184,0
EVAC.US,D,20251001,000000,9.93,9.94,9.92,9.93,110536,0
EVAC.US,D,20251002,000000,9.933,9.9575,9.92,9.93,339580,0
EVAC.US,D,20251003,000000,9.93,9.95,9.92,9.94,480986,0
EVAC.US,D,20251006,000000,9.94,9.95,9.9,9.94,134232,0
EVAC.US,D,20251007,000000,9.93,9.95,9.93,9.94,79493,0
EVAC.US,D,20251008,000000,9.93,9.98,9.93,9.97,73082,0
EVAC.US,D,20251009,000000,9.96,10,9.9,9.97,865780,0
EVAC.US,D,20251010,000000,9.96,9.99,9.96,9.975,76235,0
EVAC.US,D,20251013,000000,9.94,10.005,9.94,9.995,265027,0
EVAC.US,D,20251014,000000,9.984,10.06,9.97,9.97,57208,0
EVAC.US,D,20251015,000000,9.99,10,9.99,10,2030,0
EVAC.US,D,20251016,000000,10.0199,10.0199,10,10.01,3145,0
EVAC.US,D,20251017,000000,10.02,10.02,9.99,10.015,321102,0
EVAC.US,D,20251020,000000,10,10.03,10,10.02,24974,0
EVAC.US,D,20251021,000000,10.03,10.05,10.015,10.05,1803,0
EVAC.US,D,20251022,000000,10.02,10.07,10.02,10.03,99795,0
EVAC.US,D,20251023,000000,10.03,10.03,10.03,10.03,629,0
EVAC.US,D,20251024,000000,10.0256,10.03,10.02,10.03,362184,0
EVAC.US,D,20251027,000000,10.03,10.03,10.02,10.02,9915,0
EVAC.US,D,20251028,000000,10.03,10.03,10.03,10.03,279,0
EVAC.US,D,20251029,000000,10.03,10.03,10,10,32345,0
EVAC.US,D,20251030,000000,10.02,10.03,10.015,10.02,221481,0
EVAC.US,D,20251031,000000,10.02,10.03,10.02,10.03,30233,0
EVAC.US,D,20251103,000000,10.03,10.03,10,10,3212,0
EVAC.US,D,20251104,000000,10.02,10.03,10.0118,10.02,24439,0
EVAC.US,D,20251105,000000,10.0139,10.05,10.01,10.01,3308,0
