<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBND.US,D,20250626,000000,50.2025,50.2025,50.11,50.2025,628,0
GBND.US,D,20250627,000000,50.09,50.09,50.074,50.074,702,0
GBND.US,D,20250702,000000,50.16,50.22,50.15,50.22,2133,0
GBND.US,D,20250703,000000,50.06,50.09,50.06,50.09,326,0
GBND.US,D,20250708,000000,49.8376,49.8554,49.8376,49.8554,252,0
GBND.US,D,20250718,000000,49.87,49.87,49.866,49.866,100,0
GBND.US,D,20250806,000000,50.39,50.4128,50.3899,50.4128,257,0
GBND.US,D,20250818,000000,50.24,50.245,50.24,50.245,101,0
GBND.US,D,20250821,000000,50.2292,50.2567,50.2292,50.2567,101,0
GBND.US,D,20250903,000000,50.48,50.48,50.48,50.48,117,0
GBND.US,D,20250912,000000,51.16,51.16,51.16,51.16,117,0
GBND.US,D,20250916,000000,51.26,51.26,51.26,51.26,137,0
GBND.US,D,20251001,000000,50.93,50.93,50.93,50.93,124,0
GBND.US,D,20251022,000000,51.43,51.445,51.43,51.445,4385,0
GBND.US,D,20251023,000000,51.36,51.36,51.3453,51.3453,4671,0
GBND.US,D,20251024,000000,51.42,51.42,51.3899,51.3899,6186,0
GBND.US,D,20251103,000000,50.9,50.91,50.9,50.91,4715,0
GBND.US,D,20251104,000000,50.945,51.4799,50.94,50.94,9329,0
GBND.US,D,20251105,000000,50.859,50.86,50.799,50.7999,3486,0
