<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMOD.US,D,20251014,000000,24.9043,24.98,24.7894,24.9043,10776,0
GMOD.US,D,20251015,000000,25.12,25.13,25,25.0582,31798,0
GMOD.US,D,20251016,000000,25.12,25.15,25.0699,25.0867,46250,0
GMOD.US,D,20251017,000000,25.11,25.1208,25.075,25.1208,3081,0
GMOD.US,D,20251020,000000,25.24,25.31,25.23,25.2768,26987,0
GMOD.US,D,20251021,000000,25.215,25.32,25.215,25.2494,38210,0
GMOD.US,D,20251022,000000,25.27,25.275,25.16,25.2148,17966,0
GMOD.US,D,20251023,000000,25.26,25.28,25.22,25.2641,27532,0
GMOD.US,D,20251024,000000,25.34,25.4,25.325,25.34,15690,0
GMOD.US,D,20251027,000000,25.3775,25.53,25.3775,25.4299,19793,0
GMOD.US,D,20251028,000000,25.4,25.43,25.395,25.4,18534,0
GMOD.US,D,20251029,000000,25.4194,25.42,25.2867,25.2867,29600,0
GMOD.US,D,20251030,000000,25.24,25.27,25.1913,25.1913,8262,0
GMOD.US,D,20251031,000000,25.2099,25.21,25.135,25.2006,19427,0
GMOD.US,D,20251103,000000,25.14,25.2,25.14,25.185,1528,0
GMOD.US,D,20251104,000000,25.058,25.13,25.058,25.0615,19479,0
GMOD.US,D,20251105,000000,25.09,25.16,25.071,25.14,15725,0
