<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HFMF.US,D,20250715,000000,20.14,20.14,20.0769,20.1,1426,0
HFMF.US,D,20250716,000000,19.93,20.08,19.93,20.04,2296,0
HFMF.US,D,20250717,000000,19.86,20.06,19.85,19.8555,14256,0
HFMF.US,D,20250718,000000,19.925,19.9383,19.899,19.899,1808,0
HFMF.US,D,20250721,000000,19.9799,20.0003,19.9799,20.0003,3342,0
HFMF.US,D,20250722,000000,20.08,20.1468,20.08,20.1468,2447,0
HFMF.US,D,20250723,000000,20.155,20.2071,20.12,20.2071,5492,0
HFMF.US,D,20250724,000000,20.2,20.22,20.1655,20.1655,1201,0
HFMF.US,D,20250725,000000,20.04,20.11,20.03,20.0514,1766,0
HFMF.US,D,20250728,000000,20.09,20.09,20.08,20.0854,2684,0
HFMF.US,D,20250729,000000,20.08,20.15,20.08,20.1356,3956,0
HFMF.US,D,20250730,000000,20.08,20.32,20.08,20.1055,2611,0
HFMF.US,D,20250731,000000,20.07,20.32,20.02,20.02,8500,0
HFMF.US,D,20250801,000000,20.09,20.0984,20.02,20.02,3971,0
HFMF.US,D,20250804,000000,20.1,20.11,20.06,20.06,10311,0
HFMF.US,D,20250805,000000,20.07,20.0816,20.02,20.0816,234,0
HFMF.US,D,20250807,000000,20.27,20.27,20.2,20.2253,1891,0
HFMF.US,D,20250808,000000,20.295,20.37,20.28,20.3208,1733,0
HFMF.US,D,20250811,000000,20.23,20.2654,20.23,20.2654,3148,0
HFMF.US,D,20250812,000000,20.42,20.45,20.42,20.426,8274,0
HFMF.US,D,20250813,000000,20.57,20.62,20.495,20.5655,3934,0
HFMF.US,D,20250814,000000,20.4618,20.5049,20.45,20.5049,572,0
HFMF.US,D,20250815,000000,20.47,20.4914,20.47,20.4856,628,0
HFMF.US,D,20250818,000000,20.46,20.4647,20.4599,20.4647,361,0
HFMF.US,D,20250819,000000,20.47,20.47,20.2801,20.2801,2444,0
HFMF.US,D,20250820,000000,20.32,20.76,20.2143,20.2974,2311,0
HFMF.US,D,20250821,000000,20.27,20.27,20.1453,20.1453,394,0
HFMF.US,D,20250822,000000,20.67,20.73,20.67,20.6904,8450,0
HFMF.US,D,20250825,000000,20.62,20.645,20.5476,20.5476,1764,0
HFMF.US,D,20250826,000000,20.5946,20.65,20.5946,20.6382,776,0
HFMF.US,D,20250827,000000,20.63,20.8253,20.63,20.8253,2014,0
HFMF.US,D,20250828,000000,20.78,20.862,20.78,20.862,485,0
HFMF.US,D,20250829,000000,20.74,20.7565,20.74,20.7485,56398,0
HFMF.US,D,20250902,000000,20.71,20.76,20.495,20.7434,13758,0
HFMF.US,D,20250903,000000,20.628,20.71,20.6,20.6395,3187,0
HFMF.US,D,20250904,000000,20.68,20.7724,20.68,20.7724,2342,0
HFMF.US,D,20250905,000000,20.79,20.79,20.645,20.7042,2702,0
HFMF.US,D,20250908,000000,20.785,20.83,20.73,20.7881,3783,0
HFMF.US,D,20250909,000000,20.76,20.77,20.7448,20.7448,1105,0
HFMF.US,D,20250910,000000,20.83,20.855,20.83,20.8373,3820,0
HFMF.US,D,20250911,000000,20.925,21,20.921,21,2216,0
HFMF.US,D,20250912,000000,21.0099,21.0099,20.931,20.9649,1679,0
HFMF.US,D,20250915,000000,21.086,21.0879,21.0777,21.0879,1908,0
HFMF.US,D,20250916,000000,21.0835,21.1073,21.0835,21.1073,727,0
HFMF.US,D,20250917,000000,21.075,21.105,21.0121,21.0121,5614,0
HFMF.US,D,20250918,000000,21.11,21.12,21.0976,21.0976,4159,0
HFMF.US,D,20250919,000000,21.059,21.1025,21.05,21.1025,1101,0
HFMF.US,D,20250922,000000,21.0858,21.22,21.0858,21.2158,85528,0
HFMF.US,D,20250923,000000,21.188,21.188,21.11,21.1429,1165,0
HFMF.US,D,20250924,000000,21.1,21.1155,21.05,21.0612,3935,0
