<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HGRO.US,D,20250613,000000,24.96,25.02,24.77,24.7911,50639,0
HGRO.US,D,20250616,000000,25.05,25.169,24.99,25.0712,20215,0
HGRO.US,D,20250617,000000,24.99,25.08,24.89,24.935,39426,0
HGRO.US,D,20250618,000000,24.95,25.1,24.935,24.97,39968,0
HGRO.US,D,20250620,000000,25.0782,25.08,24.865,24.95,23586,0
HGRO.US,D,20250623,000000,24.92,25.1497,24.84,25.1497,28196,0
HGRO.US,D,20250624,000000,25.3436,25.525,25.3436,25.525,24639,0
HGRO.US,D,20250625,000000,25.5922,25.6394,25.51,25.5393,45003,0
HGRO.US,D,20250626,000000,25.65,25.8176,25.65,25.8172,8537,0
HGRO.US,D,20250627,000000,25.89,26.0205,25.835,25.9656,14810,0
HGRO.US,D,20250630,000000,26.06,26.18,26.02,26.1713,60155,0
HGRO.US,D,20250701,000000,26.0971,26.129,25.78,25.9157,39376,0
HGRO.US,D,20250702,000000,25.8645,26.02,25.8645,25.9905,63847,0
HGRO.US,D,20250703,000000,26.1586,26.29,26.15,26.2563,18349,0
HGRO.US,D,20250707,000000,26.25,26.31,26,26.158,78084,0
HGRO.US,D,20250708,000000,26.16,26.16,25.9604,26.0398,66865,0
HGRO.US,D,20250709,000000,26.1874,26.26,26.12,26.1645,36267,0
HGRO.US,D,20250710,000000,26.23,26.26,26.08,26.2216,82397,0
HGRO.US,D,20250711,000000,26.15,26.22,26.06,26.22,26436,0
HGRO.US,D,20250714,000000,26.1,26.26,26.07,26.231,53143,0
HGRO.US,D,20250715,000000,26.34,26.34,26.155,26.19,27834,0
HGRO.US,D,20250716,000000,26.1768,26.29,26,26.28,27201,0
HGRO.US,D,20250717,000000,26.22,26.37,26.2,26.3513,20787,0
HGRO.US,D,20250718,000000,26.41,26.5,26.33,26.378,53752,0
HGRO.US,D,20250721,000000,26.375,26.5,26.35,26.3889,26448,0
HGRO.US,D,20250722,000000,26.34,26.39,26.12,26.25,43408,0
HGRO.US,D,20250723,000000,26.37,26.52,26.29,26.48,21716,0
HGRO.US,D,20250724,000000,26.625,26.7,26.58,26.65,33489,0
HGRO.US,D,20250725,000000,26.664,26.75,26.65,26.72,27731,0
HGRO.US,D,20250728,000000,26.7336,26.77,26.65,26.67,32664,0
HGRO.US,D,20250729,000000,26.735,26.78,26.585,26.6,36567,0
HGRO.US,D,20250730,000000,26.65,26.77,26.53,26.67,47717,0
HGRO.US,D,20250731,000000,26.7918,26.9,26.5,26.62,42164,0
HGRO.US,D,20250801,000000,26.21,26.26,25.9302,26.0408,142324,0
HGRO.US,D,20250804,000000,26.2428,26.43,26.2187,26.43,31385,0
HGRO.US,D,20250805,000000,26.44,26.49,26.2,26.23,26953,0
HGRO.US,D,20250806,000000,26.139,26.37,26.139,26.37,17661,0
HGRO.US,D,20250807,000000,26.475,26.509,26.18,26.32,32282,0
HGRO.US,D,20250808,000000,26.3299,26.5,26.3299,26.49,30079,0
HGRO.US,D,20250811,000000,26.49,26.52,26.39,26.39,22656,0
HGRO.US,D,20250812,000000,26.6,26.7,26.4974,26.68,51970,0
