<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIYY.US,D,20250923,000000,48.3223,49.11,48.087,48.3223,2837,0
HIYY.US,D,20250924,000000,47.5,47.58,46.03,46.0856,3779,0
HIYY.US,D,20250925,000000,45.66,47.2308,45.14,47.2308,7837,0
HIYY.US,D,20250926,000000,48.8151,49.9991,48.8,49.9991,1116,0
HIYY.US,D,20250929,000000,50.78,50.78,50.41,50.4856,793,0
HIYY.US,D,20250930,000000,50.2,50.2,48.6867,48.6867,171,0
HIYY.US,D,20251001,000000,48.91,49.03,48.5876,48.5876,4355,0
HIYY.US,D,20251002,000000,50.06,50.11,49.9297,49.9297,475,0
HIYY.US,D,20251003,000000,48.675,48.675,45.78,45.78,14123,0
HIYY.US,D,20251006,000000,46.11,47.704,46.01,47.704,12178,0
HIYY.US,D,20251007,000000,48.88,50.2425,47.8,50.2425,665,0
HIYY.US,D,20251009,000000,48.999,49.9996,48.9,49.9996,862,0
HIYY.US,D,20251010,000000,49.9144,49.9144,46.7743,46.7743,2849,0
HIYY.US,D,20251014,000000,46.98,47.54,46.78,47.0583,2382,0
HIYY.US,D,20251015,000000,47.7,53.97,47.7,53.1794,12427,0
HIYY.US,D,20251016,000000,51.15,51.15,47.44,48.32,20067,0
HIYY.US,D,20251017,000000,46.45,46.45,40.9223,40.9223,5244,0
HIYY.US,D,20251020,000000,41.92,42.93,41.597,42.4,653893,0
HIYY.US,D,20251021,000000,41.66,42.21,40.75,40.8676,23400,0
HIYY.US,D,20251022,000000,39.53,40.29,38.32,39.18,14510,0
HIYY.US,D,20251023,000000,38.36,39.1793,38.23,39.1793,12914,0
HIYY.US,D,20251024,000000,40.4,40.6741,39.595,39.595,3500,0
HIYY.US,D,20251027,000000,39.97,39.97,39.2061,39.2061,3521,0
HIYY.US,D,20251028,000000,39.39,39.39,38.6241,38.6241,4597,0
HIYY.US,D,20251029,000000,38.4,39.26,37.89,38.1585,21125,0
HIYY.US,D,20251030,000000,37.44,37.5448,35.5872,35.5872,6154,0
HIYY.US,D,20251031,000000,36.5731,37.3849,36.43,36.8372,6005,0
HIYY.US,D,20251103,000000,37.15,37.15,35.8505,35.8505,6765,0
HIYY.US,D,20251104,000000,37.15,38.88,34.8958,34.8958,12374,0
HIYY.US,D,20251105,000000,36.53,37.7,35.56,35.75,25027,0
