<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JFLX.US,D,20250929,000000,50.18,50.5,50.01,50.2243,19819,0
JFLX.US,D,20250930,000000,50.2,50.39,50.02,50.215,107128,0
JFLX.US,D,20251001,000000,50.245,50.45,50.08,50.35,178570,0
JFLX.US,D,20251002,000000,50.2604,50.3593,50.1301,50.325,35097,0
JFLX.US,D,20251003,000000,50.31,50.36,50.18,50.305,41029,0
JFLX.US,D,20251006,000000,50.23,50.45,50.21,50.275,63710,0
JFLX.US,D,20251007,000000,50.27,50.295,50.15,50.25,146889,0
JFLX.US,D,20251008,000000,50.21,50.32,50.05,50.2303,77375,0
JFLX.US,D,20251009,000000,50.1917,50.275,50.15,50.2,58588,0
JFLX.US,D,20251010,000000,50.2691,50.2691,50.07,50.0893,33643,0
JFLX.US,D,20251013,000000,50.15,50.265,50.12,50.21,35982,0
JFLX.US,D,20251014,000000,50.1628,50.44,50.1506,50.295,63124,0
JFLX.US,D,20251015,000000,50.38,50.44,50.33,50.3888,35338,0
JFLX.US,D,20251016,000000,50.41,50.48,50.32,50.4,317925,0
JFLX.US,D,20251017,000000,50.39,50.4299,50.35,50.42,46642,0
JFLX.US,D,20251020,000000,50.4613,50.51,50.46,50.505,54325,0
JFLX.US,D,20251021,000000,50.5229,50.54,50.45,50.49,37068,0
JFLX.US,D,20251022,000000,50.5229,50.5229,50.42,50.475,36233,0
JFLX.US,D,20251023,000000,50.48,50.5397,50.44,50.515,83862,0
JFLX.US,D,20251024,000000,50.57,50.6,50.5001,50.565,85927,0
JFLX.US,D,20251027,000000,50.57,50.59,50.56,50.59,49502,0
JFLX.US,D,20251028,000000,50.635,50.68,50.6,50.632,41408,0
JFLX.US,D,20251029,000000,50.6243,50.63,50.51,50.54,26082,0
JFLX.US,D,20251030,000000,50.4793,50.5299,50.38,50.463,177557,0
JFLX.US,D,20251031,000000,50.4832,50.4987,50.39,50.46,179409,0
JFLX.US,D,20251103,000000,50.27,50.28,50.21,50.275,56670,0
JFLX.US,D,20251104,000000,50.255,50.28,50.22,50.23,68939,0
JFLX.US,D,20251105,000000,50.261,50.285,50.24,50.26,25380,0
