<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRSP-U.US,D,20251001,000000,10.13,10.375,10.12,10.3,6051127,0
KRSP-U.US,D,20251002,000000,10.25,10.6,10.25,10.41,984484,0
KRSP-U.US,D,20251003,000000,10.45,10.58,10.4,10.47,309275,0
KRSP-U.US,D,20251006,000000,10.534,10.6,10.47,10.59,480281,0
KRSP-U.US,D,20251007,000000,10.6,10.64,10.457,10.6,66122,0
KRSP-U.US,D,20251008,000000,10.595,10.65,10.5,10.65,83778,0
KRSP-U.US,D,20251009,000000,10.49,10.7395,10.49,10.67,196571,0
KRSP-U.US,D,20251010,000000,10.6,10.74,10.6,10.63,32799,0
KRSP-U.US,D,20251013,000000,10.6,10.74,10.6,10.74,154550,0
KRSP-U.US,D,20251014,000000,10.74,10.74,10.66,10.705,84116,0
KRSP-U.US,D,20251015,000000,10.72,10.74,10.68,10.735,75025,0
KRSP-U.US,D,20251016,000000,10.73,10.97,10.725,10.9,721407,0
KRSP-U.US,D,20251017,000000,10.9,10.95,10.85,10.9,531795,0
KRSP-U.US,D,20251020,000000,10.9,10.94,10.86,10.9,29156,0
KRSP-U.US,D,20251021,000000,10.9,10.9,10.8807,10.9,179266,0
KRSP-U.US,D,20251022,000000,10.9,10.95,10.88,10.88,269683,0
KRSP-U.US,D,20251023,000000,10.815,10.95,10.77,10.83,4406,0
KRSP-U.US,D,20251024,000000,10.9,10.9,10.81,10.84,9634,0
KRSP-U.US,D,20251027,000000,10.8429,10.9,10.77,10.81,3357,0
KRSP-U.US,D,20251028,000000,10.75,10.9,10.75,10.9,1867,0
KRSP-U.US,D,20251029,000000,10.8526,10.9,10.81,10.86,78381,0
KRSP-U.US,D,20251030,000000,10.9,10.9,10.78,10.8,77079,0
KRSP-U.US,D,20251031,000000,10.8238,10.9,10.81,10.9,55733,0
KRSP-U.US,D,20251103,000000,10.85,10.89,10.7001,10.8,67522,0
KRSP-U.US,D,20251104,000000,10.8,10.89,10.74,10.83,97940,0
KRSP-U.US,D,20251105,000000,10.8,10.9,10.8,10.82,141114,0
