<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MHY.US,D,20250919,000000,25.2201,25.29,25.2201,25.243,5055,0
MHY.US,D,20250922,000000,25.2632,25.2718,25.245,25.2718,2433,0
MHY.US,D,20250923,000000,25.27,25.29,25.2562,25.2562,6247,0
MHY.US,D,20250924,000000,25.24,25.24,25.24,25.24,186,0
MHY.US,D,20250925,000000,25.19,25.19,25.19,25.19,160,0
MHY.US,D,20250926,000000,25.3,25.31,25.2725,25.2725,2163,0
MHY.US,D,20250930,000000,25.31,25.31,25.25,25.29,1063,0
MHY.US,D,20251006,000000,25.3134,25.3134,25.3,25.3098,257,0
MHY.US,D,20251015,000000,25.26,25.37,25.23,25.2468,8055,0
MHY.US,D,20251020,000000,25.34,25.34,25.3112,25.3112,2226,0
MHY.US,D,20251021,000000,25.3128,25.3128,25.2693,25.2693,100,0
MHY.US,D,20251028,000000,25.42,25.425,25.3867,25.425,2407,0
MHY.US,D,20251030,000000,25.32,25.33,25.315,25.33,1340,0
