<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUNB.US,D,20250820,000000,100.0749,100.0749,100.0749,100.0749,7,0
MUNB.US,D,20250821,000000,100.145,100.145,100.145,100.145,8,0
MUNB.US,D,20250822,000000,100.125,100.125,100.125,100.125,4,0
MUNB.US,D,20250826,000000,100.285,100.285,100.285,100.285,2,0
MUNB.US,D,20250827,000000,100.2915,100.2915,100.2915,100.2915,2,0
MUNB.US,D,20250828,000000,100.315,100.315,100.315,100.315,2,0
MUNB.US,D,20250829,000000,100.3256,100.3256,100.3256,100.3256,1,0
MUNB.US,D,20250903,000000,100.2629,100.2629,100.2629,100.2629,2,0
MUNB.US,D,20250904,000000,100.28,100.28,100.28,100.28,2,0
MUNB.US,D,20250905,000000,100.455,100.455,100.455,100.455,2,0
MUNB.US,D,20250909,000000,101.09,101.09,101.09,101.09,2,0
MUNB.US,D,20250910,000000,101.093,101.093,101.093,101.093,2,0
MUNB.US,D,20250911,000000,101.37,101.37,101.37,101.37,3,0
MUNB.US,D,20250912,000000,101.53,101.53,101.495,101.495,451,0
MUNB.US,D,20251008,000000,100.96,100.96,100.96,100.96,100,0
MUNB.US,D,20251013,000000,101.04,101.09,101.01,101.09,601,0
MUNB.US,D,20251014,000000,101.05,101.14,101.05,101.14,678,0
MUNB.US,D,20251020,000000,101.21,101.285,101.21,101.285,100,0
MUNB.US,D,20251021,000000,101.27,101.325,101.27,101.325,100,0
MUNB.US,D,20251022,000000,101.27,101.315,101.27,101.315,100,0
MUNB.US,D,20251027,000000,101.24,101.26,101.23,101.25,1936,0
MUNB.US,D,20251028,000000,101.26,101.26,101.23,101.23,1048,0
MUNB.US,D,20251029,000000,101.28,101.28,101.22,101.22,1600,0
MUNB.US,D,20251104,000000,101.115,101.115,101.115,101.115,108,0
MUNB.US,D,20251105,000000,100.8556,100.8556,100.8556,100.8556,200,0
