<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAII.US,D,20250910,000000,9.94,9.94,9.94,9.94,50002,0
PAII.US,D,20250911,000000,9.935,9.94,9.92,9.93,1820325,0
PAII.US,D,20250912,000000,9.93,9.93,9.92,9.92,563497,0
PAII.US,D,20250915,000000,9.93,9.94,9.93,9.94,25694,0
PAII.US,D,20250916,000000,9.94,9.94,9.92,9.93,1058883,0
PAII.US,D,20250917,000000,9.93,9.93,9.92,9.92,191058,0
PAII.US,D,20250918,000000,9.92,9.92,9.92,9.92,20272,0
PAII.US,D,20250919,000000,9.9253,9.94,9.9253,9.93,191912,0
PAII.US,D,20250922,000000,9.93,9.93,9.93,9.93,400,0
PAII.US,D,20250923,000000,9.94,9.94,9.94,9.94,191,0
PAII.US,D,20250924,000000,9.94,9.95,9.94,9.95,2103,0
PAII.US,D,20250925,000000,9.95,9.97,9.945,9.95,43248,0
PAII.US,D,20250926,000000,9.945,9.945,9.94,9.94,10593,0
PAII.US,D,20250929,000000,9.97,9.97,9.96,9.96,1066,0
PAII.US,D,20250930,000000,9.96,9.96,9.95,9.96,11364,0
PAII.US,D,20251001,000000,9.94,9.96,9.94,9.95,4134,0
PAII.US,D,20251002,000000,9.94,9.95,9.94,9.95,224623,0
PAII.US,D,20251003,000000,9.95,9.96,9.95,9.95,98147,0
PAII.US,D,20251006,000000,9.95,9.95,9.95,9.95,34616,0
PAII.US,D,20251007,000000,9.94,9.96,9.94,9.95,107472,0
PAII.US,D,20251008,000000,9.95,9.95,9.94,9.95,509764,0
PAII.US,D,20251009,000000,9.97,9.99,9.9663,9.98,20251,0
PAII.US,D,20251010,000000,9.98,9.99,9.98,9.99,30634,0
PAII.US,D,20251013,000000,10.01,10.035,9.96,10.035,22103,0
PAII.US,D,20251014,000000,10.0598,10.06,10.03,10.05,3748,0
PAII.US,D,20251015,000000,10.05,10.06,10.03,10.06,27878,0
PAII.US,D,20251016,000000,10.02,10.03,10.02,10.03,6519,0
PAII.US,D,20251017,000000,10.03,10.05,10.02,10.03,223529,0
PAII.US,D,20251020,000000,10.02,10.05,10.02,10.05,61128,0
PAII.US,D,20251021,000000,10.04,10.1,10.04,10.1,427230,0
PAII.US,D,20251023,000000,10.05,10.08,10.04,10.04,36337,0
PAII.US,D,20251024,000000,10.04,10.06,10.04,10.04,303,0
PAII.US,D,20251027,000000,10.04,10.06,10.04,10.04,175415,0
PAII.US,D,20251028,000000,10.06,10.08,10.06,10.08,409185,0
PAII.US,D,20251030,000000,10.0636,10.0636,10.0636,10.0636,1700,0
PAII.US,D,20251104,000000,10.08,10.08,10.08,10.08,57500,0
