<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEW.US,D,20250716,000000,14.9,21.4,12.3,13.12,12290614,0
PEW.US,D,20250717,000000,11.9,11.96,9.24,10.12,8367901,0
PEW.US,D,20250718,000000,10.5,11.1983,9.85,10.01,4570265,0
PEW.US,D,20250721,000000,10.04,10.04,7.62,8.35,9541733,0
PEW.US,D,20250722,000000,8.6,8.95,8.16,8.31,2876773,0
PEW.US,D,20250723,000000,8.21,8.2999,7.83,7.89,2336347,0
PEW.US,D,20250724,000000,7.84,8.1,7.165,7.31,2695586,0
PEW.US,D,20250725,000000,7.21,7.7,6.71,6.78,2906558,0
PEW.US,D,20250728,000000,6.825,7.25,6.4395,6.7,2187369,0
PEW.US,D,20250729,000000,6.75,7.13,6.0748,6.2,2591725,0
PEW.US,D,20250730,000000,6.02,6.19,5.85,6.13,2013736,0
PEW.US,D,20250731,000000,6.16,6.74,6.14,6.42,2129795,0
PEW.US,D,20250801,000000,6.25,6.84,6.14,6.44,2023317,0
PEW.US,D,20250804,000000,6.88,7.19,6.31,7.17,4548746,0
PEW.US,D,20250805,000000,7.14,7.18,6.61,6.76,1594763,0
PEW.US,D,20250806,000000,6.7286,6.82,6.3701,6.69,1208582,0
PEW.US,D,20250807,000000,6.73,6.74,6.16,6.3,1457544,0
PEW.US,D,20250808,000000,6.25,6.38,5.97,6.09,1039644,0
PEW.US,D,20250811,000000,6.115,6.36,6.1,6.16,926407,0
PEW.US,D,20250812,000000,6.195,6.52,6.01,6.38,816153,0
PEW.US,D,20250813,000000,6.429,6.86,6.32,6.7,1244154,0
PEW.US,D,20250814,000000,6.67,6.9125,6.5,6.55,1882001,0
PEW.US,D,20250815,000000,6,6.0532,5.2,5.35,4088063,0
PEW.US,D,20250818,000000,5.27,5.32,5.0155,5.02,1322902,0
PEW.US,D,20250819,000000,5.025,5.35,4.88,5.34,1691343,0
