<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCLO.US,D,20251022,000000,25.1,25.11,25.086,25.1,23715,0
RCLO.US,D,20251023,000000,25.095,25.1,25.09,25.095,5691,0
RCLO.US,D,20251024,000000,25.129,25.14,25.12,25.12,4425,0
RCLO.US,D,20251027,000000,25.13,25.14,25.1,25.125,7681,0
RCLO.US,D,20251028,000000,25.13,25.13,25.11,25.125,2603,0
RCLO.US,D,20251030,000000,25.1257,25.14,25.1257,25.135,2506,0
RCLO.US,D,20251031,000000,25.16,25.16,25.16,25.16,7151,0
RCLO.US,D,20251103,000000,25.16,25.16,25.16,25.16,3150,0
RCLO.US,D,20251104,000000,25.1686,25.17,25.155,25.165,2597,0
RCLO.US,D,20251105,000000,25.18,25.18,25.18,25.18,8308,0
