<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEPI.US,D,20250909,000000,25.07,25.13,25.06,25.1177,29038,0
SEPI.US,D,20250910,000000,25.32,25.32,25.23,25.2769,42382,0
SEPI.US,D,20250911,000000,25.29,25.41,25.29,25.3884,40977,0
SEPI.US,D,20250912,000000,25.35,25.38,25.31,25.3342,32169,0
SEPI.US,D,20250915,000000,25.4086,25.45,25.4,25.4445,28339,0
SEPI.US,D,20250916,000000,25.43,25.47,25.3515,25.4445,405023,0
SEPI.US,D,20250917,000000,25.4677,25.52,25.43,25.45,22325,0
SEPI.US,D,20250918,000000,25.57,25.68,25.5025,25.5025,26735,0
SEPI.US,D,20250919,000000,25.62,25.66,25.6045,25.6404,41039,0
SEPI.US,D,20250922,000000,25.66,25.73,25.66,25.7223,26421,0
SEPI.US,D,20250923,000000,25.74,25.74,25.61,25.6276,20362,0
SEPI.US,D,20250924,000000,25.59,25.6,25.53,25.544,20217,0
SEPI.US,D,20250925,000000,25.48,25.5,25.365,25.4863,19209,0
SEPI.US,D,20250926,000000,25.6292,25.64,25.55,25.6086,19739,0
SEPI.US,D,20250929,000000,25.71,25.71,25.577,25.6091,23652,0
SEPI.US,D,20250930,000000,25.61,25.67,25.54,25.6556,19674,0
SEPI.US,D,20251001,000000,25.518,25.72,25.51,25.6518,26635,0
SEPI.US,D,20251002,000000,25.68,25.78,25.62,25.77,22396,0
SEPI.US,D,20251003,000000,25.84,25.9499,25.81,25.82,124457,0
SEPI.US,D,20251006,000000,26.21,26.26,25.87,25.93,37424,0
SEPI.US,D,20251007,000000,26.24,26.26,25.66,25.84,27008,0
SEPI.US,D,20251008,000000,26.08,26.1,25.27,25.9996,21971,0
SEPI.US,D,20251009,000000,25.9399,25.94,25.8799,25.892,19719,0
SEPI.US,D,20251010,000000,25.93,25.93,25.39,25.39,35031,0
SEPI.US,D,20251013,000000,25.71,25.78,25.71,25.7166,22046,0
SEPI.US,D,20251014,000000,25.7999,25.84,25.67,25.72,18788,0
SEPI.US,D,20251015,000000,25.8345,26.74,25.51,25.8034,51239,0
SEPI.US,D,20251016,000000,25.94,25.97,25.67,25.7273,32530,0
SEPI.US,D,20251017,000000,26.05,26.05,25.65,25.8675,24455,0
SEPI.US,D,20251020,000000,25.932,26.56,25.93,26.126,25156,0
SEPI.US,D,20251021,000000,26,26.72,26,26.09,28564,0
SEPI.US,D,20251022,000000,26,26,25.7899,25.92,22494,0
SEPI.US,D,20251023,000000,25.96,26.15,25.74,26.0344,24030,0
SEPI.US,D,20251024,000000,26.17,27.24,26.17,26.28,24575,0
SEPI.US,D,20251027,000000,26.42,26.48,26.38,26.48,31148,0
SEPI.US,D,20251028,000000,26.58,26.58,26.4,26.49,23724,0
SEPI.US,D,20251029,000000,26.63,26.64,26.51,26.6,24163,0
SEPI.US,D,20251030,000000,26.32,26.32,25.57,26.162,20230,0
SEPI.US,D,20251031,000000,26.25,26.32,26.0799,26.2144,25498,0
SEPI.US,D,20251103,000000,26.58,26.58,26.1,26.13,36727,0
SEPI.US,D,20251104,000000,26,26.33,25.95,25.9639,33072,0
SEPI.US,D,20251105,000000,26.03,26.16,26.01,26.08,29840,0
