<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLON.US,D,20250715,000000,39.39,39.52,37.01,38.1942,18209,0
SLON.US,D,20250716,000000,41.72,45.225,40.71,44.83,101608,0
SLON.US,D,20250717,000000,45.8384,45.8384,43.62,44.245,100767,0
SLON.US,D,20250718,000000,48.04,49.0998,45.41,46.24,161125,0
SLON.US,D,20250721,000000,53.727,58.13,53.7201,55.56,872175,0
SLON.US,D,20250722,000000,59.65,61.5,56.98,57.4954,480311,0
SLON.US,D,20250723,000000,54.4031,54.68,50,51.32,371537,0
SLON.US,D,20250724,000000,49.6,52.25,47.9292,50.21,111244,0
SLON.US,D,20250725,000000,45.48,46.8779,43.71,46.42,155690,0
SLON.US,D,20250728,000000,50.895,51.1741,47.1218,47.78,130576,0
SLON.US,D,20250729,000000,47.41,47.48,43.8201,45.33,111904,0
SLON.US,D,20250730,000000,43.61,45.06,40.01,42.77,119805,0
SLON.US,D,20250731,000000,43.7,44.48,41.995,42.15,87543,0
SLON.US,D,20250801,000000,38.885,39.555,37.2526,37.87,85387,0
SLON.US,D,20250804,000000,36.57,39.4099,36.52,37.64,66954,0
SLON.US,D,20250805,000000,38.19,38.49,35.91,36.09,40551,0
SLON.US,D,20250806,000000,36.72,39.29,36.52,38.5019,65565,0
SLON.US,D,20250807,000000,40.178,40.38,37.86,40.14,55841,0
SLON.US,D,20250808,000000,42.4,43.69,41.28,43.3,86810,0
SLON.US,D,20250811,000000,42.71,44.4,41.68,42.09,86498,0
SLON.US,D,20250812,000000,42.75,49.23,41.85,48.91,159327,0
SLON.US,D,20250813,000000,55.43,56.43,51.08,55.1,273745,0
SLON.US,D,20250814,000000,49.5601,53,48.82,49.77,218719,0
SLON.US,D,20250815,000000,49.7218,49.93,44.68,44.94,118805,0
SLON.US,D,20250818,000000,44.29,45.8,43.2322,44.47,100604,0
SLON.US,D,20250819,000000,44.34,44.5081,40.77,41.07,116832,0
SLON.US,D,20250820,000000,43.01,46.63,41.61,46.41,261096,0
SLON.US,D,20250821,000000,44.85,45.8099,42.315,42.44,171455,0
SLON.US,D,20250822,000000,41.6404,51.88,41.3914,51.43,238107,0
SLON.US,D,20250825,000000,50.69,51.5899,47.13,47.54,139440,0
SLON.US,D,20250826,000000,45.98,50.13,45.33,50.095,172610,0
SLON.US,D,20250827,000000,52.54,57.19,52.48,54.52,253827,0
SLON.US,D,20250828,000000,59,59.8,54.773,56.44,213103,0
SLON.US,D,20250829,000000,56.565,56.9,51.02,52.12,152665,0
SLON.US,D,20250902,000000,50.0501,54.19,49.67,53.36,165845,0
SLON.US,D,20250903,000000,55.9,57.41,55.2,55.95,159507,0
SLON.US,D,20250904,000000,54.62,54.73,51.27,51.27,85183,0
SLON.US,D,20250905,000000,55.08,55.6299,51.1857,53.15,95829,0
SLON.US,D,20250908,000000,58.02,59.29,57.0513,58.82,272988,0
SLON.US,D,20250909,000000,59.34,60.02,56.28,58.68,132092,0
SLON.US,D,20250910,000000,62.45,63.89,60.8906,61.53,160751,0
SLON.US,D,20250911,000000,64.94,65.5,63.7092,64.18,127602,0
SLON.US,D,20250912,000000,71.72,72.92,70.69,72.62,319525,0
SLON.US,D,20250915,000000,69.47,70.06,65.65,67.18,212104,0
SLON.US,D,20250916,000000,68.65,72,66.33,70.18,146505,0
SLON.US,D,20250917,000000,68.6,70.39,66.5,70.3,206619,0
SLON.US,D,20250918,000000,75.41,79.06,74.15,76.11,303321,0
SLON.US,D,20250919,000000,71.5,72.439,67.84,68.22,279677,0
SLON.US,D,20250922,000000,60.65,61.26,56.78,57.01,313803,0
SLON.US,D,20250923,000000,58,59.3,55.49,55.56,186122,0
SLON.US,D,20250924,000000,54.02,56.2327,53.9,54.82,183005,0
SLON.US,D,20250925,000000,48.2575,49.9,44.86,46.88,293419,0
SLON.US,D,20250926,000000,45.1386,49.25,44.71,48.3,385028,0
SLON.US,D,20250929,000000,50.55,54.82,50.55,54.23,210655,0
SLON.US,D,20250930,000000,51.54,52.145,49.53,51.72,188595,0
