<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STUB.US,D,20250917,000000,27.89,27.89,22,22,40143711,0
STUB.US,D,20250918,000000,21.73,21.8,20,20.5,15734910,0
STUB.US,D,20250919,000000,20.43,20.5648,18.46,18.46,14942196,0
STUB.US,D,20250922,000000,18.44,18.5836,17.355,17.41,10585101,0
STUB.US,D,20250923,000000,17.525,18.97,17,18.8,6923911,0
STUB.US,D,20250924,000000,18.625,20.3,17.38,17.42,8661360,0
STUB.US,D,20250925,000000,17.365,18.08,16.53,17.89,6352984,0
STUB.US,D,20250926,000000,17.75,17.8,16.82,16.86,3282739,0
STUB.US,D,20250929,000000,16.94,17.32,16.89,17.18,2755079,0
STUB.US,D,20250930,000000,17.15,17.46,16.75,16.84,3175717,0
STUB.US,D,20251001,000000,16.8,17.25,16.76,17.11,2304906,0
STUB.US,D,20251002,000000,17.1,17.1307,16.25,16.6,4236224,0
STUB.US,D,20251003,000000,16.53,17.28,16.11,16.95,6341819,0
STUB.US,D,20251006,000000,16.9783,17.08,16.56,16.92,2867956,0
STUB.US,D,20251007,000000,16.91,17.8,16.51,17.37,3082856,0
STUB.US,D,20251008,000000,17.6,20.17,17.6,19.72,10541112,0
STUB.US,D,20251009,000000,19.5,19.58,18.68,19.06,3436790,0
STUB.US,D,20251010,000000,19.22,20.15,18.78,18.89,4203757,0
STUB.US,D,20251013,000000,20,20.14,19.46,19.61,4680544,0
STUB.US,D,20251014,000000,19.5,19.5,18.08,18.68,2711395,0
STUB.US,D,20251015,000000,18.91,19.8,18.16,19.25,3311844,0
STUB.US,D,20251016,000000,19.555,20.1,17.6,17.84,3829583,0
STUB.US,D,20251017,000000,17.82,17.92,17.11,17.15,2283711,0
STUB.US,D,20251020,000000,17.32,18.96,17.2,18.95,3681299,0
STUB.US,D,20251021,000000,18.5,19.305,18.1,19.04,2588086,0
STUB.US,D,20251022,000000,18.5,20,18.5,19.62,2699097,0
STUB.US,D,20251023,000000,19.61,19.675,19.01,19.15,1711039,0
STUB.US,D,20251024,000000,19.44,21.49,19.2433,20.13,3667170,0
STUB.US,D,20251027,000000,20.395,20.54,19.3,20,1688795,0
STUB.US,D,20251028,000000,20,20.07,19.2901,19.62,3147747,0
STUB.US,D,20251029,000000,19.5738,20.2729,19.32,19.6,2072086,0
STUB.US,D,20251030,000000,19.495,19.5514,18.12,18.85,1493463,0
STUB.US,D,20251031,000000,18.98,19.5,18.6,19.15,1160014,0
STUB.US,D,20251103,000000,19.19,19.19,17.6101,17.92,2350005,0
STUB.US,D,20251104,000000,17.8,18.31,16.995,17.12,2300084,0
STUB.US,D,20251105,000000,17.18,18.15,16.99,18.13,2762346,0
