<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIPB.US,D,20250820,000000,100.1368,100.1368,100.1368,100.1368,4,0
TIPB.US,D,20250821,000000,100.2066,100.2066,100.2066,100.2066,5,0
TIPB.US,D,20250822,000000,100.1699,100.1699,100.1699,100.1699,6,0
TIPB.US,D,20250826,000000,100.6811,100.6811,100.6811,100.6811,2,0
TIPB.US,D,20250827,000000,100.9751,100.9751,100.9751,100.9751,2,0
TIPB.US,D,20250828,000000,101.2316,101.2316,101.2316,101.2316,2,0
TIPB.US,D,20250829,000000,101.2123,101.2123,101.2123,101.2123,2,0
TIPB.US,D,20250903,000000,100.8252,100.8252,100.8252,100.8252,6,0
TIPB.US,D,20250904,000000,100.9645,100.9645,100.9645,100.9645,7,0
TIPB.US,D,20250905,000000,101.108,101.108,101.108,101.108,5,0
TIPB.US,D,20250909,000000,101.5069,101.5069,101.5069,101.5069,3,0
TIPB.US,D,20250910,000000,101.3687,101.3687,101.3687,101.3687,3,0
TIPB.US,D,20250911,000000,101.4711,101.4711,101.4711,101.4711,24,0
TIPB.US,D,20250912,000000,101.5279,101.5279,101.5279,101.5279,100,0
TIPB.US,D,20250916,000000,101.4748,101.4748,101.4748,101.4748,80,0
TIPB.US,D,20250917,000000,101.5761,101.5761,101.5761,101.5761,70,0
TIPB.US,D,20250918,000000,101.4882,101.4882,101.4882,101.4882,69,0
TIPB.US,D,20250919,000000,101.3107,101.3107,101.3107,101.3107,148,0
TIPB.US,D,20250923,000000,101.0586,101.0586,101.0586,101.0586,1,0
TIPB.US,D,20250924,000000,101.2604,101.2604,101.2604,101.2604,21,0
TIPB.US,D,20250925,000000,101.1109,101.1109,101.1109,101.1109,20,0
TIPB.US,D,20250926,000000,100.945,100.945,100.945,100.945,21,0
TIPB.US,D,20250930,000000,100.9849,100.9849,100.9849,100.9849,1,0
TIPB.US,D,20251001,000000,101.0058,101.0058,101.0058,101.0058,1,0
TIPB.US,D,20251002,000000,100.9372,100.9372,100.9372,100.9372,1,0
TIPB.US,D,20251003,000000,100.9003,100.9003,100.9003,100.9003,1,0
TIPB.US,D,20251007,000000,100.6687,100.6687,100.6687,100.6687,3,0
TIPB.US,D,20251008,000000,100.8871,100.8871,100.8871,100.8871,2,0
TIPB.US,D,20251009,000000,100.92,100.92,100.8328,100.8328,259,0
