<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
URSP.US,D,20250827,000000,40.4,40.556,40.17,40.3875,12022,0
URSP.US,D,20250828,000000,40.51,40.6,40.085,40.3138,6665,0
URSP.US,D,20250829,000000,40.35,40.35,40.0796,40.1299,2689,0
URSP.US,D,20250902,000000,39.545,39.545,39.435,39.5345,1829,0
URSP.US,D,20250903,000000,39.5,39.5,39.1008,39.4317,5000,0
URSP.US,D,20250904,000000,39.48,39.9826,39.48,39.9826,2024,0
URSP.US,D,20250905,000000,40.4,40.43,39.75,40.0213,5185,0
URSP.US,D,20250908,000000,40.1,40.1,39.51,40.0072,2483,0
URSP.US,D,20250909,000000,39.8,39.8,39.6531,39.7918,645,0
URSP.US,D,20250910,000000,39.88,39.89,39.46,39.645,2304,0
URSP.US,D,20250911,000000,40.33,40.8401,40.33,40.8401,1247,0
URSP.US,D,20250912,000000,41,41,40.195,40.195,22218,0
URSP.US,D,20250915,000000,40.1,40.1155,40.02,40.08,1119,0
URSP.US,D,20250916,000000,39.9,39.9,39.61,39.74,59269,0
URSP.US,D,20250917,000000,40.26,40.83,39.82,39.94,105096,0
URSP.US,D,20250918,000000,40.5,40.5,40.195,40.4387,1022,0
URSP.US,D,20250919,000000,40.28,40.38,40.28,40.2805,3403,0
URSP.US,D,20250922,000000,40.01,40.41,40.01,40.327,3542,0
URSP.US,D,20250923,000000,40.58,40.77,40.29,40.3388,2895,0
URSP.US,D,20250924,000000,40.397,40.397,40.1601,40.1601,763,0
URSP.US,D,20250925,000000,39.59,39.59,39.31,39.4683,3564,0
URSP.US,D,20250926,000000,40.03,40.2477,39.89,40.2477,462,0
URSP.US,D,20250929,000000,40.32,40.5299,40.23,40.4566,7699,0
URSP.US,D,20250930,000000,40.63,40.77,40.2299,40.77,910,0
URSP.US,D,20251001,000000,40.61,40.92,39.42,40.9179,4139,0
URSP.US,D,20251002,000000,40.82,41.0899,40.81,41.0337,1245,0
URSP.US,D,20251003,000000,41.52,41.8,41.3594,41.3594,2048,0
URSP.US,D,20251006,000000,41.26,41.4923,41.2599,41.3807,980,0
URSP.US,D,20251007,000000,41.18,41.2097,40.8699,40.9,4377,0
URSP.US,D,20251008,000000,40.68,41.22,40.68,41.1944,3951,0
URSP.US,D,20251009,000000,40.74,40.78,40.45,40.4541,1782,0
URSP.US,D,20251010,000000,40.6199,40.6199,38.659,38.659,3033,0
URSP.US,D,20251013,000000,39.38,39.56,39.36,39.36,4779,0
URSP.US,D,20251014,000000,39.1,40.21,39.0635,40.0258,5811,0
URSP.US,D,20251015,000000,40.56,40.73,40.12,40.18,28253,0
URSP.US,D,20251016,000000,40.11,40.33,39.4247,39.4247,866,0
URSP.US,D,20251017,000000,39.5,39.8234,39.5,39.8234,389,0
URSP.US,D,20251020,000000,40.39,40.6904,40.39,40.602,1850,0
URSP.US,D,20251021,000000,40.63,41.001,40.63,41.0008,3519,0
URSP.US,D,20251022,000000,40.94,40.94,40.5499,40.5508,3018,0
URSP.US,D,20251023,000000,40.8385,40.9435,40.66,40.9435,1310,0
URSP.US,D,20251024,000000,41.4285,41.44,41.1474,41.1474,4024,0
URSP.US,D,20251027,000000,41.46,41.46,41.39,41.39,1217,0
URSP.US,D,20251028,000000,41.135,41.135,40.74,40.7468,3798,0
URSP.US,D,20251029,000000,40.5595,40.5595,39.56,39.7546,3526,0
URSP.US,D,20251030,000000,39.75,40.07,39.4889,39.4889,3741,0
URSP.US,D,20251031,000000,39.65,39.87,39.65,39.727,1241,0
URSP.US,D,20251103,000000,39.0875,39.4014,39.0875,39.4014,589,0
URSP.US,D,20251104,000000,38.95,38.99,38.86,38.8933,14142,0
URSP.US,D,20251105,000000,39.44,39.44,39.44,39.44,826,0
