<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USNG.US,D,20250522,000000,24.7025,24.803,24.59,24.7011,4364,0
USNG.US,D,20250523,000000,24.79,25.0596,24.49,25.0497,4154,0
USNG.US,D,20250527,000000,25.28,25.47,25.275,25.4419,6487,0
USNG.US,D,20250528,000000,25.49,25.49,25.32,25.3287,5128,0
USNG.US,D,20250529,000000,25.24,25.3,25.0805,25.1926,4614,0
USNG.US,D,20250530,000000,25.13,25.27,25.07,25.27,1383,0
USNG.US,D,20250602,000000,25.25,25.6018,25.25,25.6018,225,0
USNG.US,D,20250604,000000,25.975,25.975,25.6044,25.6044,334,0
USNG.US,D,20250605,000000,25.682,25.7716,25.641,25.641,2870,0
USNG.US,D,20250606,000000,25.77,25.99,25.77,25.9727,3769,0
USNG.US,D,20250609,000000,25.78,25.78,25.5565,25.5565,2009,0
USNG.US,D,20250610,000000,25.62,25.62,25.3145,25.3145,148,0
USNG.US,D,20250611,000000,25.48,25.5451,25.42,25.5451,1518,0
USNG.US,D,20250612,000000,25.55,25.85,25.55,25.85,912,0
USNG.US,D,20250613,000000,25.9,25.9,25.8185,25.8185,953,0
USNG.US,D,20250617,000000,25.832,25.832,25.7048,25.7048,413,0
USNG.US,D,20250618,000000,25.72,25.85,25.7199,25.7695,961,0
USNG.US,D,20250620,000000,25.864,25.864,25.79,25.8605,642,0
USNG.US,D,20250623,000000,25.665,25.98,25.6408,25.6408,755,0
USNG.US,D,20250624,000000,25.89,25.8997,25.89,25.8997,503,0
USNG.US,D,20250627,000000,26.1801,26.2266,26.1801,26.2266,268,0
USNG.US,D,20250630,000000,26.263,26.263,26.2532,26.2532,557,0
USNG.US,D,20250701,000000,26,26,25.6982,25.6982,663,0
USNG.US,D,20250703,000000,26.0876,26.125,26.0876,26.125,306,0
USNG.US,D,20250707,000000,25.8,26.07,25.8,25.8624,300,0
USNG.US,D,20250708,000000,25.83,25.88,25.83,25.88,1018,0
USNG.US,D,20250709,000000,25.9393,25.9393,25.7787,25.7787,149,0
USNG.US,D,20250711,000000,25.89,25.8993,25.89,25.8993,250,0
USNG.US,D,20250714,000000,25.985,26.1302,25.985,26.1302,346,0
USNG.US,D,20250716,000000,25.7,25.7003,25.7,25.7003,386,0
USNG.US,D,20250717,000000,25.5,25.6457,25.5,25.6457,190,0
USNG.US,D,20250721,000000,25.35,25.3578,25.35,25.3578,207,0
USNG.US,D,20250725,000000,25.85,25.8682,25.84,25.855,1097,0
USNG.US,D,20250728,000000,25.86,25.867,25.86,25.867,502,0
USNG.US,D,20250729,000000,26.1494,26.4012,26.1494,26.4012,1168,0
USNG.US,D,20250730,000000,26.53,26.53,26.4488,26.4488,2905,0
USNG.US,D,20250801,000000,26.23,26.45,26.23,26.3661,289,0
USNG.US,D,20250804,000000,26.58,26.6102,26.5,26.6102,1189,0
USNG.US,D,20250805,000000,26.5,26.5,26.29,26.3817,253,0
USNG.US,D,20250807,000000,26.42,26.42,26.2228,26.2228,459,0
USNG.US,D,20250808,000000,26.18,26.18,26.0919,26.0919,533,0
USNG.US,D,20250815,000000,26.2,26.2,26.1105,26.1105,219,0
USNG.US,D,20250821,000000,26.3716,26.3716,26.335,26.335,413,0
USNG.US,D,20250825,000000,26.4,26.42,26.34,26.34,1520,0
USNG.US,D,20250904,000000,26.46,26.5135,26.46,26.5135,514,0
USNG.US,D,20250908,000000,26.14,26.15,26.0999,26.1387,1327,0
USNG.US,D,20250911,000000,27.06,27.06,27.0242,27.0242,381,0
USNG.US,D,20250916,000000,27,27.07,27,27.07,1260,0
USNG.US,D,20250918,000000,27.435,27.6314,27.435,27.6314,159,0
USNG.US,D,20250919,000000,27.7,27.7,27.5436,27.5436,870,0
USNG.US,D,20250924,000000,27.75,27.8706,27.75,27.7539,1987,0
USNG.US,D,20250925,000000,27.8388,27.8709,27.8388,27.858,3147,0
USNG.US,D,20250929,000000,28,28,27.835,27.835,1753,0
USNG.US,D,20250930,000000,27.67,27.8884,27.67,27.8884,417,0
USNG.US,D,20251003,000000,28.3173,28.3173,28.1101,28.1101,557,0
USNG.US,D,20251007,000000,27.78,27.7801,27.744,27.7794,1192,0
USNG.US,D,20251008,000000,28.045,28.1228,27.91,28.1228,1855,0
USNG.US,D,20251009,000000,27.91,27.93,27.7161,27.7161,370,0
USNG.US,D,20251010,000000,27.21,27.21,26.975,26.975,376,0
USNG.US,D,20251013,000000,27.57,27.7829,27.57,27.7829,461,0
USNG.US,D,20251014,000000,27.79,27.8278,27.51,27.8278,729,0
USNG.US,D,20251016,000000,27.81,27.8102,27.8094,27.8102,1678,0
USNG.US,D,20251017,000000,27.45,27.6053,27.45,27.6053,121,0
USNG.US,D,20251020,000000,27.98,28.01,27.76,27.76,1817,0
USNG.US,D,20251021,000000,27.48,27.67,27.48,27.4851,433,0
USNG.US,D,20251022,000000,27.06,27.54,27.034,27.41,995,0
USNG.US,D,20251023,000000,27.3,27.3,27.3,27.3,440,0
USNG.US,D,20251027,000000,27.66,27.66,27.41,27.41,2507,0
USNG.US,D,20251028,000000,27.3,27.55,27.3,27.4724,1960,0
USNG.US,D,20251029,000000,27.96,27.98,27.6237,27.6237,6999,0
USNG.US,D,20251030,000000,27.77,28.01,27.7061,27.7061,1531,0
USNG.US,D,20251031,000000,27.76,27.82,27.64,27.8175,2164,0
USNG.US,D,20251103,000000,27.88,28.1125,27.8315,28.0557,2196,0
USNG.US,D,20251104,000000,27.79,27.79,27.56,27.6208,1618,0
USNG.US,D,20251105,000000,27.64,28.02,27.64,27.95,1500,0
