<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VEXC.US,D,20251002,000000,76.58,76.58,76.2212,76.3611,5252,0
VEXC.US,D,20251003,000000,76.6792,76.79,76.535,76.6203,16410,0
VEXC.US,D,20251006,000000,76.86,77,76.785,76.8267,29409,0
VEXC.US,D,20251007,000000,77.43,77.44,76.855,76.8848,31967,0
VEXC.US,D,20251008,000000,76.59,77.36,76.57,77.3591,152033,0
VEXC.US,D,20251009,000000,77.42,77.47,76.6,76.9254,34971,0
VEXC.US,D,20251010,000000,77.03,77.11,74.9746,74.9746,18650,0
VEXC.US,D,20251013,000000,76.5033,77.08,76.5033,76.9649,7517,0
VEXC.US,D,20251014,000000,75.83,76.71,75.83,76.3518,3473,0
VEXC.US,D,20251015,000000,77.48,77.73,77.17,77.54,6466,0
VEXC.US,D,20251016,000000,77.9,78.16,77.5104,77.7121,9367,0
VEXC.US,D,20251017,000000,77.485,77.8392,77.485,77.6724,10591,0
VEXC.US,D,20251020,000000,78.37,78.69,78.36,78.548,14954,0
VEXC.US,D,20251021,000000,78.01,78.21,77.9407,77.9407,12927,0
VEXC.US,D,20251022,000000,78.27,78.27,77.69,77.95,5517,0
VEXC.US,D,20251023,000000,78.1106,78.3499,78.1106,78.26,8148,0
VEXC.US,D,20251024,000000,78.65,78.66,78.52,78.52,6454,0
VEXC.US,D,20251027,000000,79.08,79.18,78.875,79.1717,28036,0
VEXC.US,D,20251028,000000,78.77,79.25,78.735,79.1264,8423,0
VEXC.US,D,20251029,000000,79.618,79.8,79.1,79.2,16361,0
VEXC.US,D,20251030,000000,78.8,78.99,78.72,78.72,19100,0
VEXC.US,D,20251031,000000,78.65,78.65,78.28,78.53,9074,0
VEXC.US,D,20251103,000000,78.7501,78.98,78.656,78.91,9035,0
VEXC.US,D,20251104,000000,78.04,78.26,77.77,77.7716,7319,0
VEXC.US,D,20251105,000000,77.9402,78.51,77.9402,78.45,7802,0
