<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTP.US,D,20250710,000000,75.1576,75.2701,75.15,75.2701,10004,0
VTP.US,D,20250711,000000,75.119,75.16,75.085,75.1376,8123,0
VTP.US,D,20250714,000000,75.17,75.185,75.1,75.185,20959,0
VTP.US,D,20250715,000000,75.27,75.27,74.995,74.995,9166,0
VTP.US,D,20250716,000000,75.03,75.28,75.02,75.225,4544,0
VTP.US,D,20250717,000000,75.31,75.36,75.295,75.3159,8872,0
VTP.US,D,20250718,000000,75.48,75.53,75.3654,75.3654,8271,0
VTP.US,D,20250721,000000,75.4904,75.68,75.4904,75.5915,1670,0
VTP.US,D,20250722,000000,75.69,75.69,75.65,75.65,5432,0
VTP.US,D,20250723,000000,75.479,75.48,75.31,75.31,6781,0
VTP.US,D,20250724,000000,75.28,75.469,75.28,75.41,4625,0
VTP.US,D,20250725,000000,75.405,75.55,75.38,75.51,6287,0
VTP.US,D,20250728,000000,75.4,75.48,75.35,75.41,11746,0
VTP.US,D,20250729,000000,75.5,75.7654,75.5,75.7654,6300,0
VTP.US,D,20250730,000000,75.64,75.73,75.5442,75.5442,4371,0
VTP.US,D,20250731,000000,75.605,75.63,75.4172,75.4172,27706,0
VTP.US,D,20250801,000000,75.84,75.9121,75.755,75.9121,3480,0
VTP.US,D,20250804,000000,76.02,76.145,75.95,76.14,6191,0
VTP.US,D,20250805,000000,76.08,76.135,76.04,76.04,25627,0
VTP.US,D,20250806,000000,76.05,76.08,75.89,75.9951,6713,0
VTP.US,D,20250807,000000,76.05,76.05,75.98,76.0352,2625,0
VTP.US,D,20250808,000000,75.98,76.0301,75.881,76.0301,17970,0
VTP.US,D,20250811,000000,76.0799,76.16,76.05,76.0582,24744,0
VTP.US,D,20250812,000000,75.84,75.939,75.79,75.9146,11010,0
VTP.US,D,20250813,000000,76.125,76.22,76.125,76.145,13145,0
VTP.US,D,20250814,000000,76.055,76.055,75.985,75.985,775,0
