<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XV.US,D,20250421,000000,24.31,24.3147,24.31,24.3147,329,0
XV.US,D,20250422,000000,25.06,25.2888,25.06,25.2888,79330,0
XV.US,D,20250423,000000,25.16,25.28,25.14,25.14,988,0
XV.US,D,20250424,000000,25.38,25.38,25.18,25.3799,4723,0
XV.US,D,20250425,000000,25.505,25.6196,25.384,25.6196,1936,0
XV.US,D,20250428,000000,25.56,25.92,25.31,25.6698,3200,0
XV.US,D,20250429,000000,25.77,25.8,25.46,25.8,1868,0
XV.US,D,20250430,000000,25.64,25.79,25.6379,25.7453,1986,0
XV.US,D,20250501,000000,25.87,26.11,25.87,25.98,6445,0
XV.US,D,20250502,000000,26.15,26.24,25.86,26.08,9478,0
XV.US,D,20250505,000000,25.83,26.2387,25.83,26.2387,1194,0
XV.US,D,20250506,000000,25.77,26.03,25.77,25.95,798,0
XV.US,D,20250507,000000,26.16,27.29,26,26.0102,221415,0
XV.US,D,20250508,000000,26.19,27.21,26.19,26.1982,5961,0
XV.US,D,20250509,000000,26.25,26.255,25.95,26.0927,1745,0
XV.US,D,20250512,000000,26.515,26.74,26.41,26.59,8194,0
XV.US,D,20250513,000000,26.41,26.92,26.1,26.45,15393,0
XV.US,D,20250514,000000,26.4099,26.41,26.1855,26.3692,2308,0
XV.US,D,20250515,000000,26.235,26.29,26.03,26.29,13960,0
XV.US,D,20250516,000000,26.235,26.8,26.16,26.2999,2640,0
XV.US,D,20250519,000000,26.18,26.4,26.07,26.26,13471,0
XV.US,D,20250520,000000,26.14,26.87,26.14,26.18,36524,0
XV.US,D,20250521,000000,26.02,26.75,25.94,25.94,18094,0
XV.US,D,20250522,000000,25.87,26.62,25.76,25.76,11307,0
XV.US,D,20250523,000000,26.65,26.79,25.8221,25.92,143498,0
XV.US,D,20250527,000000,26.03,26.04,25.62,25.9761,13720,0
XV.US,D,20250528,000000,25.82,25.96,25.67,25.76,4459,0
XV.US,D,20250529,000000,25.92,26.01,25.8,25.89,2463,0
XV.US,D,20250530,000000,25.92,26,25.66,25.66,12059,0
XV.US,D,20250602,000000,25.66,26.06,25.66,25.9139,5352,0
XV.US,D,20250603,000000,25.75,26.2599,25.75,26.12,5732,0
XV.US,D,20250604,000000,26.26,26.31,26.08,26.08,12900,0
XV.US,D,20250605,000000,26.05,26.26,25.9,25.9821,16114,0
XV.US,D,20250606,000000,26.42,26.42,26.1,26.3786,9711,0
XV.US,D,20250609,000000,26.24,26.51,26.24,26.29,12081,0
XV.US,D,20250610,000000,26.5,26.57,26.345,26.44,9385,0
XV.US,D,20250611,000000,26.37,26.7,26.1,26.1,10178,0
XV.US,D,20250612,000000,26.46,26.56,26.24,26.24,10383,0
XV.US,D,20250613,000000,26.24,26.43,26.07,26.1417,5611,0
XV.US,D,20250616,000000,26.88,26.9,26.56,26.6882,3920,0
XV.US,D,20250617,000000,26.58,26.62,26.3,26.42,21713,0
XV.US,D,20250618,000000,26.2955,26.65,26.2955,26.4837,2909,0
XV.US,D,20250620,000000,26.64,26.67,26.36,26.36,21566,0
XV.US,D,20250623,000000,26.56,26.73,26.26,26.6443,139614,0
XV.US,D,20250624,000000,26.65,26.9299,26.47,26.6,18943,0
XV.US,D,20250625,000000,26.3,26.53,26.2818,26.32,3912,0
XV.US,D,20250626,000000,26.52,26.71,26.394,26.64,11214,0
XV.US,D,20250627,000000,26.38,26.63,26.3,26.585,9818,0
XV.US,D,20250630,000000,26.63,26.77,26.42,26.63,31193,0
XV.US,D,20250701,000000,26.37,26.6682,26.37,26.51,7686,0
XV.US,D,20250702,000000,26.69,26.99,26.59,26.59,124413,0
XV.US,D,20250703,000000,26.51,27.43,26.5,27.08,14371,0
XV.US,D,20250707,000000,26.6,26.7,26.53,26.53,10243,0
XV.US,D,20250708,000000,26.47,26.71,26.47,26.56,7251,0
XV.US,D,20250709,000000,26.56,26.78,26.56,26.68,8593,0
XV.US,D,20250710,000000,26.6595,26.76,26.64,26.76,7095,0
XV.US,D,20250711,000000,26.702,26.7399,26.5,26.61,4278,0
XV.US,D,20250714,000000,26.72,26.79,26.45,26.68,15611,0
XV.US,D,20250715,000000,26.645,26.7078,26.42,26.48,14443,0
XV.US,D,20250716,000000,26.575,26.7867,26.46,26.67,9120,0
XV.US,D,20250717,000000,26.79,26.8599,26.58,26.58,9464,0
XV.US,D,20250718,000000,26.725,26.9,26.6,26.64,8056,0
XV.US,D,20250721,000000,26.91,26.93,26.6,26.73,21277,0
XV.US,D,20250722,000000,26.83,26.89,26.74,26.77,12147,0
XV.US,D,20250723,000000,26.914,27,26.82,26.82,17704,0
XV.US,D,20250724,000000,26.88,26.98,26.8,26.82,16063,0
XV.US,D,20250725,000000,26.91,27,26.788,27,16042,0
XV.US,D,20250728,000000,26.7,26.78,26.54,26.56,34922,0
XV.US,D,20250729,000000,26.69,26.69,26.46,26.59,30700,0
XV.US,D,20250730,000000,26.649,26.68,26.45,26.45,13056,0
XV.US,D,20250731,000000,26.4201,26.63,26.4,26.4,16280,0
XV.US,D,20250801,000000,26.34,26.4,26.07,26.33,20120,0
XV.US,D,20250804,000000,26.3,26.5999,26.3,26.45,15441,0
XV.US,D,20250805,000000,26.5092,26.95,26.4,26.4,18578,0
XV.US,D,20250806,000000,26.4,26.6999,26.36,26.57,25233,0
XV.US,D,20250807,000000,26.73,26.73,26.4,26.52,26574,0
XV.US,D,20250808,000000,26.99,27.16,26.54,26.66,11729,0
XV.US,D,20250811,000000,26.73,27.07,26.44,26.73,49152,0
XV.US,D,20250812,000000,26.6193,26.98,26.6193,26.91,10118,0
XV.US,D,20250813,000000,26.85,26.97,26.8,26.88,14472,0
XV.US,D,20250814,000000,26.86,26.89,26.76,26.79,13926,0
XV.US,D,20250815,000000,26.73,26.92,26.68,26.75,159410,0
XV.US,D,20250818,000000,26.89,26.91,26.74,26.83,13415,0
XV.US,D,20250819,000000,26.65,26.9396,26.65,26.72,21582,0
XV.US,D,20250820,000000,26.8282,26.8282,26.5,26.6787,19928,0
XV.US,D,20250821,000000,26.625,26.77,26.6,26.66,12887,0
XV.US,D,20250822,000000,26.8774,27.1899,26.62,27.08,9735,0
XV.US,D,20250825,000000,26.91,27.05,26.86,26.86,27983,0
XV.US,D,20250826,000000,26.41,26.6474,26.41,26.64,22066,0
XV.US,D,20250827,000000,26.49,26.75,26.4501,26.6251,5644,0
XV.US,D,20250828,000000,26.62,26.76,26.52,26.67,7477,0
XV.US,D,20250829,000000,26.7259,26.86,26.57,26.6,9747,0
XV.US,D,20250902,000000,26.5324,26.63,26.52,26.56,9623,0
XV.US,D,20250903,000000,26.6,26.6678,26.4677,26.57,10264,0
XV.US,D,20250904,000000,26.68,26.87,26.45,26.87,110714,0
XV.US,D,20250905,000000,26.83,26.84,26.53,26.7,12321,0
XV.US,D,20250908,000000,26.68,26.85,26.68,26.74,25827,0
XV.US,D,20250909,000000,26.8,26.86,26.75,26.78,14429,0
XV.US,D,20250910,000000,26.78,26.79,26.68,26.77,18131,0
XV.US,D,20250911,000000,26.78,26.88,26.78,26.88,16380,0
XV.US,D,20250912,000000,26.63,26.93,26.45,26.82,20597,0
XV.US,D,20250915,000000,26.75,27.09,26.75,26.9,20038,0
XV.US,D,20250916,000000,26.6301,26.94,26.6301,26.76,7749,0
XV.US,D,20250917,000000,26.833,26.92,26.7355,26.85,14431,0
XV.US,D,20250918,000000,26.9825,27.06,26.76,26.99,16376,0
XV.US,D,20250919,000000,26.975,27.1,26.8,27.01,23123,0
XV.US,D,20250922,000000,26.89,26.9899,26.79,26.82,18742,0
XV.US,D,20250923,000000,26.8556,26.98,26.83,26.8829,11416,0
XV.US,D,20250924,000000,26.926,26.97,26.85,26.9,8362,0
XV.US,D,20250925,000000,26.37,26.54,26.37,26.47,13263,0
XV.US,D,20250926,000000,26.74,26.74,26.4622,26.68,45695,0
XV.US,D,20250929,000000,26.77,26.77,26.58,26.75,6392,0
XV.US,D,20250930,000000,26.59,26.66,26.45,26.6057,21770,0
XV.US,D,20251001,000000,26.622,26.7799,26.52,26.66,26617,0
XV.US,D,20251002,000000,26.7799,26.81,26.61,26.75,21387,0
XV.US,D,20251003,000000,26.67,26.85,26.6,26.74,24434,0
XV.US,D,20251006,000000,26.89,26.9,26.59,26.81,54595,0
XV.US,D,20251007,000000,26.77,26.8869,26.62,26.72,29991,0
XV.US,D,20251008,000000,26.668,26.9,26.641,26.83,19621,0
XV.US,D,20251009,000000,26.8025,26.85,26.6653,26.725,9876,0
XV.US,D,20251010,000000,26.89,26.9,26.55,26.55,18658,0
XV.US,D,20251013,000000,26.9,26.9,26.6519,26.84,13531,0
XV.US,D,20251014,000000,26.68,26.95,26.64,26.75,26875,0
XV.US,D,20251015,000000,26.8064,27.01,26.72,26.82,23410,0
XV.US,D,20251016,000000,26.9,26.91,26.61,26.61,6572,0
XV.US,D,20251017,000000,26.81,27.22,26.67,26.79,20912,0
XV.US,D,20251020,000000,26.8525,27.055,26.8525,26.99,21201,0
XV.US,D,20251021,000000,26.805,26.99,26.7101,26.91,29885,0
XV.US,D,20251022,000000,26.8656,26.98,26.815,26.82,23794,0
XV.US,D,20251023,000000,26.95,27.07,26.8305,26.99,11661,0
XV.US,D,20251024,000000,26.99,27.21,26.9478,27.15,33267,0
