<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGEN.US,D,20250730,000000,7.61,8.73,7.52,8.38,1034957,0
TGEN.US,D,20250731,000000,8.65,10.04,8.38,9.68,1654789,0
TGEN.US,D,20250801,000000,8.52,9.49,8.16,9.18,975396,0
TGEN.US,D,20250804,000000,9.41,10.22,8.85,9.1,768900,0
TGEN.US,D,20250805,000000,9.315,9.87,8.42,8.48,613060,0
TGEN.US,D,20250806,000000,8.78,10.02,8.22,9.19,1172539,0
TGEN.US,D,20250807,000000,9.49,9.75,8.25,8.36,959807,0
TGEN.US,D,20250808,000000,8.55,9.73,8.51,9.43,1293246,0
TGEN.US,D,20250811,000000,9.46,9.4986,8.5,9.02,779475,0
TGEN.US,D,20250812,000000,9.1133,9.49,8.41,8.82,1130404,0
TGEN.US,D,20250813,000000,10.95,11.55,8.42,8.61,2544992,0
TGEN.US,D,20250814,000000,8.69,8.935,7.74,8.93,1513735,0
TGEN.US,D,20250815,000000,8.81,9.01,8.185,8.29,775339,0
TGEN.US,D,20250818,000000,8.9095,9.66,8.56,9.52,1112369,0
TGEN.US,D,20250819,000000,9.525,9.55,8.27,8.56,979004,0
TGEN.US,D,20250820,000000,8.45,8.45,7.6,8.19,1097740,0
TGEN.US,D,20250821,000000,8.145,8.77,8.032,8.49,327686,0
TGEN.US,D,20250822,000000,8.61,9.2293,8.34,9.09,585800,0
TGEN.US,D,20250825,000000,9,9.21,8.585,8.63,579969,0
TGEN.US,D,20250826,000000,8.785,8.93,8.01,8.33,554219,0
TGEN.US,D,20250827,000000,8.33,8.4242,7.79,7.89,495222,0
TGEN.US,D,20250828,000000,7.93,8.35,7.61,7.73,496630,0
TGEN.US,D,20250829,000000,7.67,7.93,7.2,7.64,520569,0
TGEN.US,D,20250902,000000,7.54,7.6208,7.26,7.4,522969,0
TGEN.US,D,20250903,000000,7.5,7.83,6.9404,7.02,825999,0
TGEN.US,D,20250904,000000,7.055,7.2,6.78,7.01,566159,0
TGEN.US,D,20250905,000000,7.2564,7.2564,6.64,7.04,561966,0
TGEN.US,D,20250908,000000,7.08,7.115,6.33,6.61,1233310,0
TGEN.US,D,20250909,000000,6.985,7.2,6.61,6.63,1105093,0
TGEN.US,D,20250910,000000,6.95,7.38,6.85,7.17,704348,0
TGEN.US,D,20250911,000000,7.23,7.2485,6.91,7.09,459637,0
TGEN.US,D,20250912,000000,7.0725,7.19,6.85,6.85,358973,0
TGEN.US,D,20250915,000000,7.07,7.39,7,7.35,495331,0
TGEN.US,D,20250916,000000,7.44,7.6,6.92,7.01,541307,0
TGEN.US,D,20250917,000000,6.998,7.41,6.9,7.11,432305,0
TGEN.US,D,20250918,000000,7.32,7.64,7.17,7.29,556664,0
TGEN.US,D,20250919,000000,7.44,8.95,7.44,8.75,1668120,0
TGEN.US,D,20250922,000000,8.78,9.59,8,9.06,1186266,0
TGEN.US,D,20250923,000000,9.5881,10.25,8.6,8.72,1288085,0
TGEN.US,D,20250924,000000,9.08,9.0872,8.2249,8.55,503227,0
TGEN.US,D,20250925,000000,8,8.48,7.65,8.17,661385,0
TGEN.US,D,20250926,000000,8.17,8.2491,7.64,7.85,580002,0
TGEN.US,D,20250929,000000,8.0088,8.6,7.98,8.21,728100,0
TGEN.US,D,20250930,000000,8.265,8.95,8.16,8.81,616147,0
TGEN.US,D,20251001,000000,8.81,8.925,8.27,8.4,457693,0
TGEN.US,D,20251002,000000,8.51,9.3799,8.51,9.1,814342,0
TGEN.US,D,20251003,000000,9.1499,9.83,9.07,9.22,819444,0
TGEN.US,D,20251006,000000,9.15,10.17,9.04,9.8,924845,0
TGEN.US,D,20251007,000000,9.95,9.95,8.9304,9.18,818252,0
TGEN.US,D,20251008,000000,9.07,9.44,8.8,8.91,494206,0
TGEN.US,D,20251009,000000,8.815,9.29,8.59,8.95,371400,0
TGEN.US,D,20251010,000000,9.015,9.4,7.822,7.94,1140905,0
TGEN.US,D,20251013,000000,8.42,9.2,8.18,8.92,940938,0
TGEN.US,D,20251014,000000,8.7,10.2,8.09,9.53,1366476,0
TGEN.US,D,20251015,000000,10.03,12.07,9.9,12.07,2810288,0
TGEN.US,D,20251016,000000,11.9,11.9,10.35,10.36,1349778,0
TGEN.US,D,20251017,000000,10.21,10.47,8.29,9.39,2056664,0
TGEN.US,D,20251020,000000,9.95,10.15,8.79,8.96,731238,0
TGEN.US,D,20251021,000000,8.8,9.25,8.42,8.89,618622,0
TGEN.US,D,20251022,000000,8.95,9,8.09,8.42,843948,0
TGEN.US,D,20251023,000000,8.5298,8.8223,8.32,8.46,368246,0
TGEN.US,D,20251024,000000,8.77,9.08,8.61,8.74,447150,0
TGEN.US,D,20251027,000000,8.98,9.18,8.525,8.66,340184,0
TGEN.US,D,20251028,000000,8.65,8.74,8.22,8.27,301328,0
TGEN.US,D,20251029,000000,8.4,9.6357,8.28,9.48,1182142,0
TGEN.US,D,20251030,000000,9.3,11.07,9.21,9.59,1807769,0
TGEN.US,D,20251031,000000,9.85,10.29,9.09,9.98,591949,0
TGEN.US,D,20251103,000000,9.8131,10.47,9.63,9.73,527714,0
TGEN.US,D,20251104,000000,9.4353,9.78,9.01,9.35,475979,0
TGEN.US,D,20251105,000000,9.188,9.45,8.72,8.82,511305,0
