<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHGX.US,D,20241127,000000,25.64,25.64,25.6144,25.6144,3522.99,0
CHGX.US,D,20241206,000000,25.7829,25.81,25.7829,25.7852,6392.99,0
CHGX.US,D,20241211,000000,25.62,25.63,25.5837,25.5837,1103.99,0
CHGX.US,D,20241213,000000,25.43,26.4699,25.4146,25.4146,8710.99,0
CHGX.US,D,20241216,000000,25.55,25.55,25.4686,25.4686,6245.99,0
CHGX.US,D,20241218,000000,25.29,25.29,24.5341,24.5341,2719.99,0
CHGX.US,D,20241220,000000,24.81,24.81,24.7342,24.7342,509.999,0
CHGX.US,D,20241223,000000,24.81,24.8208,24.81,24.8208,10915,0
CHGX.US,D,20241224,000000,25.01,25.0333,25.01,25.0333,2166,0
CHGX.US,D,20241226,000000,25.07,25.09,25.0562,25.0562,581,0
CHGX.US,D,20241227,000000,24.97,24.97,24.813,24.813,4790,0
CHGX.US,D,20241230,000000,24.45,24.4957,24.38,24.4957,714,0
CHGX.US,D,20241231,000000,24.55,24.55,24.4166,24.4166,111,0
CHGX.US,D,20250102,000000,24.42,24.42,24.33,24.3826,860,0
CHGX.US,D,20250106,000000,24.7,24.7,24.6906,24.6906,100,0
CHGX.US,D,20250107,000000,24.62,24.62,24.5468,24.5468,2230,0
CHGX.US,D,20250108,000000,24.59,24.631,24.59,24.631,1902,0
CHGX.US,D,20250113,000000,24.1,24.2404,24.1,24.2404,13642,0
CHGX.US,D,20250114,000000,24.39,24.39,24.3683,24.3683,21068,0
CHGX.US,D,20250116,000000,24.86,24.86,24.8256,24.8256,100,0
CHGX.US,D,20250117,000000,24.95,25.03,24.46,24.9991,27001,0
CHGX.US,D,20250122,000000,25.5,25.52,25.45,25.475,5703,0
CHGX.US,D,20250130,000000,25.44,25.47,25.44,25.4579,20046,0
CHGX.US,D,20250131,000000,25.58,25.58,25.345,25.345,101,0
CHGX.US,D,20250203,000000,25.19,25.225,25.19,25.225,100,0
CHGX.US,D,20250204,000000,25.15,25.1922,25.15,25.1922,529,0
CHGX.US,D,20250210,000000,25.31,25.4,25.31,25.3601,2610,0
CHGX.US,D,20250211,000000,25.36,25.36,25.3433,25.3433,100,0
CHGX.US,D,20250218,000000,25.4893,25.5447,25.4893,25.5447,210,0
CHGX.US,D,20250221,000000,25.21,25.21,25.0196,25.0196,398,0
CHGX.US,D,20250224,000000,25.115,25.115,25.115,25.115,795,0
CHGX.US,D,20250225,000000,25.0117,25.0117,24.9694,24.9694,274,0
CHGX.US,D,20250226,000000,25.02,25.02,24.9992,24.9992,132,0
CHGX.US,D,20250227,000000,25.07,25.07,24.6965,24.6965,1312,0
CHGX.US,D,20250228,000000,24.7998,25.006,24.7998,25.006,102,0
CHGX.US,D,20250303,000000,25.13,25.13,24.7132,24.7132,405,0
