<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVIN.US,D,20250724,000000,25.8641,25.8641,25.8641,25.8641,1012,0
DVIN.US,D,20250725,000000,26.25,26.2965,26.25,26.2965,120,0
DVIN.US,D,20250729,000000,25.79,25.79,25.5213,25.5213,320,0
DVIN.US,D,20250730,000000,25.14,25.3005,25.14,25.3005,201,0
DVIN.US,D,20250820,000000,24.8156,25.005,24.8156,25.005,300,0
DVIN.US,D,20250821,000000,24.93,24.93,24.728,24.728,500,0
DVIN.US,D,20250822,000000,25.76,25.76,25.615,25.615,100,0
DVIN.US,D,20250825,000000,25.49,25.49,25.0257,25.0257,202,0
DVIN.US,D,20250917,000000,24.97,24.97,24.7289,24.7289,200,0
DVIN.US,D,20250918,000000,25.26,25.2767,25.26,25.2767,203,0
DVIN.US,D,20250924,000000,25.33,25.33,25.2828,25.2828,207,0
DVIN.US,D,20250925,000000,25.05,25.05,24.9263,24.9263,202,0
DVIN.US,D,20251002,000000,25.74,25.8642,25.74,25.8642,201,0
DVIN.US,D,20251003,000000,25.92,25.9341,25.92,25.9341,200,0
DVIN.US,D,20251021,000000,26,26,25.9502,25.9502,102,0
DVIN.US,D,20251022,000000,25.78,25.78,25.3102,25.3102,101,0
