<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRDU.US,D,20250724,000000,25.463,25.463,25.3816,25.3816,128,0
FRDU.US,D,20250725,000000,25.42,26.2065,25.42,26.2065,1402,0
FRDU.US,D,20250728,000000,25.7,25.7,25.2908,25.2908,1706,0
FRDU.US,D,20250729,000000,25.31,25.31,24.4042,24.4042,3398,0
FRDU.US,D,20250730,000000,24.3,24.3,23.46,23.5264,940,0
FRDU.US,D,20250731,000000,24.1,24.48,24.1,24.3383,496,0
FRDU.US,D,20250804,000000,23.6,23.7574,23.6,23.7574,509,0
FRDU.US,D,20250806,000000,24.951,25.0024,24.951,25.0024,449,0
FRDU.US,D,20250811,000000,25.75,25.75,25.2491,25.2491,446,0
FRDU.US,D,20250812,000000,25.53,25.85,25.18,25.6319,726,0
FRDU.US,D,20250814,000000,26.23,26.5742,26.23,26.5742,262,0
FRDU.US,D,20250818,000000,26.62,26.62,26.55,26.5961,825,0
FRDU.US,D,20250819,000000,27.73,27.77,27.151,27.151,2028,0
FRDU.US,D,20250820,000000,26.94,26.9401,26.7792,26.7792,364,0
FRDU.US,D,20250825,000000,28.285,28.285,28.0925,28.0925,1281,0
FRDU.US,D,20250827,000000,28.91,28.919,28.6886,28.6886,1862,0
FRDU.US,D,20250828,000000,27.949,27.95,27.6787,27.6787,2048,0
FRDU.US,D,20250829,000000,27.8095,28.0075,27.76,28.0075,1988,0
FRDU.US,D,20250902,000000,28.27,28.28,27.39,27.5516,1830,0
FRDU.US,D,20250903,000000,27.351,27.351,27.1009,27.1009,1401,0
FRDU.US,D,20250908,000000,27.55,27.56,27.3803,27.3803,2089,0
FRDU.US,D,20250910,000000,25.911,26.2492,25.91,26.2492,2174,0
FRDU.US,D,20250911,000000,27.37,27.72,27.37,27.7109,645,0
FRDU.US,D,20250912,000000,27.56,27.6,27.3654,27.3654,2055,0
FRDU.US,D,20250915,000000,27.38,27.4274,27.205,27.2797,2899,0
FRDU.US,D,20250916,000000,26.98,26.982,26.98,26.982,215,0
FRDU.US,D,20250917,000000,27.391,27.55,27.1499,27.1499,3313,0
FRDU.US,D,20250918,000000,27.34,27.58,27.34,27.58,313,0
FRDU.US,D,20250922,000000,26.91,27.2453,26.87,27.2453,1349,0
FRDU.US,D,20250923,000000,27.21,27.3648,27.21,27.3648,204,0
FRDU.US,D,20250924,000000,27.55,27.5531,26.696,26.8047,1363,0
FRDU.US,D,20250926,000000,27.17,28.65,27.161,28.5796,2855,0
FRDU.US,D,20250929,000000,28.22,28.9371,28.22,28.9371,4750,0
FRDU.US,D,20250930,000000,28.82,28.84,28.2924,28.2924,1622,0
FRDU.US,D,20251001,000000,29.2,29.6772,28.9,29.6772,2331,0
FRDU.US,D,20251003,000000,30.04,31.5311,30.04,31.5311,9504,0
FRDU.US,D,20251006,000000,31.79,31.8999,31.53,31.8999,10092,0
FRDU.US,D,20251007,000000,28.8701,29.0099,27.2,27.95,44864,0
FRDU.US,D,20251008,000000,27.9,27.9,26.84,27.1041,11628,0
FRDU.US,D,20251009,000000,26.51,26.51,25.9156,25.9156,6783,0
FRDU.US,D,20251010,000000,25.95,25.95,25.3,25.5367,2951,0
FRDU.US,D,20251013,000000,25.711,26.09,25.71,26.09,1578,0
FRDU.US,D,20251014,000000,26.37,26.54,26.37,26.54,1534,0
FRDU.US,D,20251015,000000,26.54,26.9608,26.54,26.9529,769,0
FRDU.US,D,20251016,000000,26.65,26.9156,26.6,26.9156,7059,0
FRDU.US,D,20251017,000000,27.9,27.96,27.7245,27.7386,3584,0
FRDU.US,D,20251020,000000,28.05,28.23,28.05,28.0904,2061,0
FRDU.US,D,20251021,000000,29.94,30.8253,29.7,30.8253,4266,0
FRDU.US,D,20251022,000000,30.35,30.41,28.84,30.0921,6318,0
FRDU.US,D,20251023,000000,30,30,29.24,29.5874,6394,0
FRDU.US,D,20251024,000000,33.44,36.7,33.44,36.6875,18039,0
FRDU.US,D,20251027,000000,34.8,35.34,33.49,33.5054,16520,0
FRDU.US,D,20251028,000000,32.86,33.61,32.771,33.1,6179,0
FRDU.US,D,20251029,000000,33.718,34.13,33.5519,33.5519,6114,0
FRDU.US,D,20251030,000000,32.96,33.65,32.6659,32.6659,2524,0
FRDU.US,D,20251031,000000,32.4725,32.9286,32.47,32.9286,2704,0
FRDU.US,D,20251103,000000,31.875,32.3357,31.875,32.3357,2189,0
FRDU.US,D,20251104,000000,31.18,31.2327,31.18,31.2327,2273,0
FRDU.US,D,20251105,000000,32.05,33.13,31.83,33.13,1525,0
