<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMTS.US,D,20250807,000000,24.6375,24.6375,24.6375,24.6375,3,0
LMTS.US,D,20250808,000000,24.85,25.1618,24.85,25.1618,402,0
LMTS.US,D,20250811,000000,25.199,25.199,25.1409,25.1409,217,0
LMTS.US,D,20250814,000000,24.51,24.51,24.4805,24.4805,256,0
LMTS.US,D,20250908,000000,23.299,23.3,23.2595,23.2595,3592,0
LMTS.US,D,20250917,000000,22.57,22.5722,22.57,22.5722,210,0
LMTS.US,D,20250924,000000,21.899,21.899,21.8872,21.8872,660,0
LMTS.US,D,20250925,000000,21.86,21.9586,21.86,21.9586,663,0
LMTS.US,D,20251001,000000,21.28,21.3466,21.21,21.3466,321,0
LMTS.US,D,20251010,000000,20.79,21.1,20.79,21.1,2263,0
LMTS.US,D,20251015,000000,21.21,21.79,21.21,21.3497,355,0
LMTS.US,D,20251021,000000,21.66,21.7844,21.46,21.7844,1943,0
LMTS.US,D,20251022,000000,21.73,21.8945,21.68,21.8945,1456,0
LMTS.US,D,20251023,000000,21.67,21.835,21.6,21.835,1061,0
LMTS.US,D,20251027,000000,22.04,22.06,21.9,21.9,1212,0
LMTS.US,D,20251028,000000,21.97,22.0199,21.92,21.9665,1269,0
LMTS.US,D,20251104,000000,22.02,22.03,22.02,22.03,105,0
LMTS.US,D,20251105,000000,22.15,22.2,22.13,22.2,1000,0
