<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAXT.US,D,20250819,000000,50.14,50.14,50.115,50.115,202,0
TAXT.US,D,20251013,000000,51.3,51.395,51.3,51.395,2301,0
TAXT.US,D,20251014,000000,51.34,51.39,51.34,51.39,200,0
TAXT.US,D,20251017,000000,51.5,51.54,51.5,51.54,100,0
TAXT.US,D,20251020,000000,51.59,51.59,51.56,51.585,600,0
TAXT.US,D,20251021,000000,51.6306,51.6306,51.56,51.615,320,0
TAXT.US,D,20251022,000000,51.6,51.64,51.6,51.64,100,0
TAXT.US,D,20251028,000000,51.62,51.63,51.62,51.63,120,0
TAXT.US,D,20251029,000000,51.61,51.61,51.545,51.545,100,0
TAXT.US,D,20251030,000000,51.43,51.495,51.43,51.495,5820,0
TAXT.US,D,20251105,000000,51.34,51.34,51.301,51.34,12294,0
