<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TQQY.US,D,20250226,000000,25.27,25.27,25.0131,25.0131,1548,0
TQQY.US,D,20250227,000000,25.3747,25.3747,24.0948,24.0948,3621,0
TQQY.US,D,20250228,000000,24.03,24.6983,23.72,24.6983,33995,0
TQQY.US,D,20250303,000000,24.6,24.6,23.594,23.594,2753,0
TQQY.US,D,20250304,000000,23.38,23.86,23.127,23.56,3184,0
TQQY.US,D,20250305,000000,23.58,24.02,23.4199,24.02,1417,0
TQQY.US,D,20250306,000000,23.21,23.62,22.8,22.89,2186,0
TQQY.US,D,20250307,000000,22.69,22.82,22.19,22.72,1411,0
TQQY.US,D,20250310,000000,22.13,22.161,21.77,21.8,1824,0
TQQY.US,D,20250311,000000,21.7,21.9197,21.66,21.66,1283,0
TQQY.US,D,20250312,000000,21.89,21.9093,21.79,21.79,2060,0
TQQY.US,D,20250313,000000,21.59,21.75,21.1899,21.23,17989,0
TQQY.US,D,20250314,000000,21.34,21.54,21.2829,21.54,3481,0
TQQY.US,D,20250317,000000,21.26,21.64,21.26,21.62,4158,0
TQQY.US,D,20250318,000000,21.1234,21.23,21.1234,21.23,1575,0
TQQY.US,D,20250319,000000,21.3798,21.776,21.35,21.68,9904,0
TQQY.US,D,20250320,000000,21.42,21.8299,21.42,21.7,2875,0
TQQY.US,D,20250321,000000,21.23,22.0378,21.23,22.0378,2364,0
TQQY.US,D,20250324,000000,22.29,22.29,22.1768,22.279,6529,0
TQQY.US,D,20250325,000000,22.18,22.41,22.12,22.39,3147,0
TQQY.US,D,20250326,000000,22.33,22.33,22.0799,22.16,10983,0
TQQY.US,D,20250327,000000,22.04,22.18,21.9618,22.1497,7654,0
TQQY.US,D,20250328,000000,20.6,20.6,19.76,19.83,2640,0
TQQY.US,D,20250331,000000,19.48,19.82,19.48,19.82,1686,0
TQQY.US,D,20250401,000000,19.77,19.92,19.73,19.92,1789,0
TQQY.US,D,20250402,000000,19.8067,20.09,19.8067,20.09,6654,0
TQQY.US,D,20250403,000000,19.29,19.29,18.75,18.84,3560,0
TQQY.US,D,20250404,000000,18.48,18.5,18.43,18.5,3788,0
TQQY.US,D,20250407,000000,18,18.4874,18,18.48,3725,0
TQQY.US,D,20250408,000000,18.695,18.76,18.31,18.31,2886,0
TQQY.US,D,20250409,000000,18.32,19.06,18.27,19.06,19314,0
TQQY.US,D,20250410,000000,18.85,18.95,18.59,18.95,8885,0
TQQY.US,D,20250411,000000,18.936,19.12,18.936,19.12,9882,0
TQQY.US,D,20250414,000000,19.2,19.275,19.025,19.23,2469,0
TQQY.US,D,20250415,000000,19.292,19.35,19.23,19.35,3428,0
TQQY.US,D,20250416,000000,19,19,18.01,18.6,9446,0
TQQY.US,D,20250417,000000,18.72,18.72,18.39,18.39,3183,0
TQQY.US,D,20250421,000000,18.1,18.1,17.6449,17.84,4369,0
TQQY.US,D,20250422,000000,18.07,18.325,18.07,18.3,6515,0
TQQY.US,D,20250423,000000,18.7,18.72,18.64,18.67,9039,0
TQQY.US,D,20250424,000000,18.745,18.84,18.7299,18.84,13221,0
TQQY.US,D,20250425,000000,18.14,18.14,18.05,18.11,6002,0
TQQY.US,D,20250428,000000,18.18,18.1848,17.9,18.11,27265,0
TQQY.US,D,20250429,000000,18.07,18.23,18.05,18.2,8363,0
TQQY.US,D,20250430,000000,17.75,18.29,17.67,18.29,12234,0
TQQY.US,D,20250501,000000,18.52,18.57,18.52,18.57,1100,0
TQQY.US,D,20250502,000000,18.64,18.69,18.62,18.69,1710,0
TQQY.US,D,20250505,000000,18.53,18.64,18.53,18.58,2486,0
TQQY.US,D,20250506,000000,18.33,18.37,18.33,18.33,1492,0
TQQY.US,D,20250507,000000,18.42,18.47,18.28,18.47,921,0
TQQY.US,D,20250508,000000,18.67,19,18.67,18.89,1935,0
