<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCHL.US,D,20250904,000000,3.9,4.56,3.9,4.25,3080541,0
FCHL.US,D,20250905,000000,4.3,5.05,4.3,4.6,2668050,0
FCHL.US,D,20250908,000000,4.62,4.94,4.62,4.88,890791,0
FCHL.US,D,20250909,000000,4.9,4.92,4.43,4.55,3906999,0
FCHL.US,D,20250910,000000,4.49,4.75,4.16,4.16,3310256,0
FCHL.US,D,20250911,000000,4.5035,5.35,4.43,5.24,8008102,0
FCHL.US,D,20250912,000000,5.21,5.65,5.21,5.54,4073099,0
FCHL.US,D,20250915,000000,5.5,5.6499,5.1,5.19,641218,0
FCHL.US,D,20250916,000000,5.27,6.18,5.27,6.17,876158,0
FCHL.US,D,20250917,000000,6.33,6.85,5.61,6.55,603509,0
FCHL.US,D,20250918,000000,6.53,6.9,6.1,6.87,6900239,0
FCHL.US,D,20250919,000000,6.8,7.64,6.32,7.2,13264855,0
FCHL.US,D,20250922,000000,6.83,7.2,6.18,6.95,6442563,0
FCHL.US,D,20250923,000000,7.35,7.37,1.02,1.07,19268278,0
FCHL.US,D,20250924,000000,0.9731,1.03,0.6666,0.6955,10337685,0
FCHL.US,D,20250925,000000,0.6722,0.7492,0.6538,0.7,2514117,0
FCHL.US,D,20250926,000000,0.67,0.69,0.6155,0.645,2028917,0
FCHL.US,D,20250929,000000,0.6381,0.6532,0.6,0.6,1192661,0
FCHL.US,D,20250930,000000,0.618,0.62,0.561,0.5617,1074186,0
FCHL.US,D,20251001,000000,0.5666,0.64,0.5666,0.6268,904922,0
FCHL.US,D,20251002,000000,0.6136,0.6248,0.6046,0.623,383963,0
FCHL.US,D,20251003,000000,0.619,0.63,0.611,0.627,245685,0
FCHL.US,D,20251006,000000,0.627,0.63,0.6,0.607,266643,0
FCHL.US,D,20251007,000000,0.6,0.6195,0.5546,0.5566,619379,0
FCHL.US,D,20251008,000000,0.568,0.568,0.5112,0.5262,795979,0
FCHL.US,D,20251009,000000,0.5309,0.545599,0.5152,0.529,453764,0
FCHL.US,D,20251010,000000,0.529,0.533999,0.5011,0.5013,610507,0
FCHL.US,D,20251013,000000,0.5,0.51,0.491,0.5024,207684,0
FCHL.US,D,20251014,000000,0.5,0.5045,0.4793,0.4857,349342,0
FCHL.US,D,20251015,000000,0.49,0.51,0.487,0.4878,368691,0
FCHL.US,D,20251016,000000,0.48,0.5021,0.44,0.4459,754770,0
FCHL.US,D,20251017,000000,0.4449,0.47,0.428499,0.4342,641636,0
FCHL.US,D,20251020,000000,0.4342,0.4932,0.4342,0.4824,325750,0
FCHL.US,D,20251021,000000,0.488,0.488,0.4311,0.4571,281953,0
FCHL.US,D,20251022,000000,0.47405,0.48,0.432,0.4591,332199,0
FCHL.US,D,20251023,000000,0.46,0.4865,0.4436,0.465,394277,0
FCHL.US,D,20251024,000000,0.466,0.468,0.4458,0.448,215369,0
FCHL.US,D,20251027,000000,0.45,0.4823,0.4311,0.4372,379751,0
FCHL.US,D,20251028,000000,0.4383,0.4747,0.4294,0.4733,477098,0
FCHL.US,D,20251029,000000,0.464,0.52,0.4569,0.51075,1253440,0
FCHL.US,D,20251030,000000,0.4901,0.5058,0.47,0.4839,285860,0
FCHL.US,D,20251031,000000,0.48,0.483,0.46,0.4652,223598,0
FCHL.US,D,20251103,000000,0.4985,0.4985,0.451,0.4587,142345,0
FCHL.US,D,20251104,000000,0.449,0.4699,0.41,0.4108,596964,0
FCHL.US,D,20251105,000000,0.4119,0.425,0.4005,0.404899,234285,0
