<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUTG.US,D,20251014,000000,14.34,14.4277,14.34,14.4277,726,0
FUTG.US,D,20251015,000000,14.88,15.44,14.2,14.2152,19761,0
FUTG.US,D,20251016,000000,14.58,14.6386,14,14.1038,39921,0
FUTG.US,D,20251017,000000,13.7,15.61,13.7,15.27,42974,0
FUTG.US,D,20251020,000000,15.66,16.16,15.2143,16.1216,27356,0
FUTG.US,D,20251021,000000,15.99,16.395,15.5702,16.395,26514,0
FUTG.US,D,20251022,000000,16,16,15.4769,15.4769,12614,0
FUTG.US,D,20251023,000000,15.53,16.66,15.5,16.6206,20607,0
FUTG.US,D,20251024,000000,17.49,19.04,17.49,18.0291,185547,0
FUTG.US,D,20251027,000000,19.16,19.63,18.72,18.9,59566,0
FUTG.US,D,20251028,000000,18.6,20.35,18.04,19.9474,37502,0
FUTG.US,D,20251029,000000,21,22.54,21,22.0709,85725,0
FUTG.US,D,20251030,000000,20.4,22,20.14,20.2741,65396,0
FUTG.US,D,20251031,000000,20.61,22.75,20.61,22.2991,51405,0
FUTG.US,D,20251103,000000,22.9,22.9,20.71,21.1787,53313,0
FUTG.US,D,20251104,000000,19.33,19.68,17.88,18.05,55144,0
FUTG.US,D,20251105,000000,18.43,20.194,17.99,20.194,24520,0
