<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRAN.US,D,20250701,000000,5.9,6.47,4.54,4.6,2010178,0
GRAN.US,D,20250702,000000,4.8,5.44,4.7,4.79,756840,0
GRAN.US,D,20250703,000000,4.9,5.3,4.5502,5.12,1505545,0
GRAN.US,D,20250707,000000,4.99,5.03,4.6,4.77,81856,0
GRAN.US,D,20250708,000000,4.76,5.95,4.76,5.15,316655,0
GRAN.US,D,20250709,000000,5.01,5.59,4.95,5.1,488547,0
GRAN.US,D,20250710,000000,5.24,5.8,5.2,5.49,330610,0
GRAN.US,D,20250711,000000,5.21,5.54,5.109,5.215,93461,0
GRAN.US,D,20250714,000000,5.5,5.83,5.1,5.79,278601,0
GRAN.US,D,20250715,000000,5.8,6.26,5.8,6.0884,211203,0
GRAN.US,D,20250716,000000,6.33,6.7,5.28,5.4,372865,0
GRAN.US,D,20250717,000000,5.47,5.77,5.2,5.28,152550,0
GRAN.US,D,20250718,000000,5.51,5.51,4.775,5.25,141914,0
GRAN.US,D,20250721,000000,5.33,5.33,4.3,4.94,178132,0
GRAN.US,D,20250722,000000,4.68,5.6357,4.6,5.22,75849,0
GRAN.US,D,20250723,000000,5.01,5.28,4.9,4.95,93056,0
GRAN.US,D,20250724,000000,5.03,5.03,4.89,4.91,14804,0
GRAN.US,D,20250725,000000,5.24,5.24,4.87,4.87,31917,0
GRAN.US,D,20250728,000000,4.78,5.2,4.55,5.04,34506,0
GRAN.US,D,20250729,000000,4.815,4.99,4.72,4.99,6586,0
GRAN.US,D,20250730,000000,4.795,4.99,4.3102,4.6,147552,0
GRAN.US,D,20250731,000000,4.41,4.7,4.05,4.57,58435,0
GRAN.US,D,20250801,000000,4.43,4.99,4.38,4.52,82163,0
GRAN.US,D,20250804,000000,4.44,4.91,4.21,4.6,127401,0
GRAN.US,D,20250805,000000,4.79,4.91,4.52,4.54,118198,0
GRAN.US,D,20250806,000000,4.6,4.6999,4.55,4.59,96902,0
GRAN.US,D,20250807,000000,4.51,4.6,4.45,4.6,59673,0
GRAN.US,D,20250808,000000,4.31,5.05,4.3,4.76,84651,0
GRAN.US,D,20250811,000000,4.64,4.8,4.3,4.43,267430,0
GRAN.US,D,20250812,000000,4.41,4.53,4.32,4.41,337665,0
GRAN.US,D,20250813,000000,4.45,4.46,3.85,4.13,224044,0
GRAN.US,D,20250814,000000,4.04,5.48,3.92,5.45,95820,0
GRAN.US,D,20250815,000000,5.42,5.5,4.7,4.97,69945,0
GRAN.US,D,20250818,000000,4.9075,4.99,4.672,4.99,5802,0
GRAN.US,D,20250819,000000,4.8555,5.3249,4.58,4.84,20162,0
GRAN.US,D,20250820,000000,4.9,4.97,4.415,4.65,17675,0
GRAN.US,D,20250821,000000,4.68,4.68,4.202,4.25,24691,0
GRAN.US,D,20250822,000000,4.54,4.74,4.09,4.18,103656,0
GRAN.US,D,20250825,000000,4.45,4.49,3.71,4.22,41427,0
GRAN.US,D,20250826,000000,4.07,4.3211,3.45,3.54,48241,0
GRAN.US,D,20250827,000000,3.81,3.9807,3.5294,3.79,25754,0
GRAN.US,D,20250828,000000,3.78,4.2099,3.76,4.01,79709,0
GRAN.US,D,20250829,000000,4.01,4.2498,3.9,3.9,20853,0
GRAN.US,D,20250902,000000,3.98,4.5,3.98,4.49,28242,0
GRAN.US,D,20250903,000000,4.53,4.69,4.08,4.39,53768,0
GRAN.US,D,20250904,000000,4.3585,4.59,4.21,4.47,39906,0
GRAN.US,D,20250905,000000,4.11,4.355,4.11,4.31,6771,0
GRAN.US,D,20250908,000000,4.04,4.29,4.04,4.12,14911,0
GRAN.US,D,20250909,000000,4.13,4.13,3.74,3.74,42277,0
GRAN.US,D,20250910,000000,3.96,4.263,3.96,4.14,11477,0
GRAN.US,D,20250911,000000,4.19,4.19,3.75,3.99,34753,0
GRAN.US,D,20250912,000000,3.84,3.99,3.8062,3.99,2513,0
GRAN.US,D,20250915,000000,3.94,4.16,3.8101,4,6376,0
GRAN.US,D,20250916,000000,3.8862,4.0909,3.8862,4.05,3191,0
GRAN.US,D,20250917,000000,3.98,3.98,3.8,3.86,26556,0
GRAN.US,D,20250918,000000,3.8299,3.8435,3.7,3.8,8049,0
GRAN.US,D,20250919,000000,3.7,3.7,3.1,3.42,58513,0
GRAN.US,D,20250922,000000,3.6,4.33,3.5059,4.3,59501,0
GRAN.US,D,20250923,000000,4.0437,4.67,3.5062,4,54454,0
GRAN.US,D,20250924,000000,3.75,4.3,3.6,3.9322,41082,0
GRAN.US,D,20250925,000000,3.73,4.03,3.53,3.7,78719,0
GRAN.US,D,20250926,000000,3.7,3.7,2.98,3.41,214909,0
GRAN.US,D,20250929,000000,3.41,3.41,2.8,3.04,525917,0
GRAN.US,D,20250930,000000,3.15,3.3,2.9,2.9,142751,0
GRAN.US,D,20251001,000000,2.93,3.0393,2.9,3,13140,0
GRAN.US,D,20251002,000000,2.9,3.38,2.9,3.17,46617,0
GRAN.US,D,20251003,000000,3.2985,3.2985,3.0747,3.21,9011,0
GRAN.US,D,20251006,000000,3.7,4.18,3.14,3.73,1323496,0
GRAN.US,D,20251007,000000,3.48,3.7199,3.1,3.33,108858,0
GRAN.US,D,20251008,000000,3.29,3.6,3.2,3.32,34830,0
GRAN.US,D,20251009,000000,3.28,3.43,3.1861,3.39,27357,0
GRAN.US,D,20251010,000000,3.29,3.35,3,3,172636,0
GRAN.US,D,20251013,000000,3.22,3.23,3,3.12,20458,0
GRAN.US,D,20251014,000000,3,3.3889,2.9,3.17,44764,0
GRAN.US,D,20251015,000000,3.24,3.28,2.984,3.12,99681,0
GRAN.US,D,20251016,000000,3.16,3.25,2.9538,3.11,38129,0
GRAN.US,D,20251017,000000,2.98,3.02,2.83,2.91,20182,0
GRAN.US,D,20251020,000000,3.05,3.07,2.88,3.07,5705,0
GRAN.US,D,20251021,000000,2.93,3.15,2.86,3,27427,0
GRAN.US,D,20251022,000000,2.98,3.38,2.85,3.35,117642,0
GRAN.US,D,20251023,000000,3.35,3.5,2.8601,2.8601,42540,0
GRAN.US,D,20251024,000000,3.08,3.08,2.96,3.02,6675,0
