<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KYIV.US,D,20250818,000000,12.33,15.15,12.33,13.5,5065079,0
KYIV.US,D,20250819,000000,15.075,16.48,14.04,15.17,4480916,0
KYIV.US,D,20250820,000000,15.51,15.99,12.62,13.26,4567543,0
KYIV.US,D,20250821,000000,13.5,13.77,12.9,13.08,1567552,0
KYIV.US,D,20250822,000000,13.3,14.35,13.19,13.45,2079946,0
KYIV.US,D,20250825,000000,13.36,13.36,12.23,12.77,1513989,0
KYIV.US,D,20250826,000000,13.11,13.11,11.52,11.82,1955377,0
KYIV.US,D,20250827,000000,11.82,12.25,11.612,12.22,962459,0
KYIV.US,D,20250828,000000,12.2,12.84,12.0945,12.74,953293,0
KYIV.US,D,20250829,000000,12.7,13.2392,12,12.19,886124,0
KYIV.US,D,20250902,000000,11.6,11.6933,10.86,11.07,1855198,0
KYIV.US,D,20250903,000000,11.27,11.84,11.07,11.76,784928,0
KYIV.US,D,20250904,000000,11.59,11.61,11.09,11.29,560481,0
KYIV.US,D,20250905,000000,11.05,11.1,10.52,10.84,1384690,0
KYIV.US,D,20250908,000000,10.5,10.6215,10.16,10.57,1369325,0
KYIV.US,D,20250909,000000,10.6,10.88,10.25,10.88,570832,0
KYIV.US,D,20250910,000000,10.8,10.92,10.615,10.86,361766,0
KYIV.US,D,20250911,000000,10.95,11.98,10.9,11.75,753425,0
KYIV.US,D,20250912,000000,11.57,11.87,10.9,10.95,463782,0
KYIV.US,D,20250915,000000,11.2,11.36,10.47,10.68,772996,0
KYIV.US,D,20250916,000000,10.75,10.96,10.39,10.43,617064,0
KYIV.US,D,20250917,000000,10.55,10.86,10.31,10.71,406806,0
KYIV.US,D,20250918,000000,10.83,11.53,10.83,11.25,635569,0
KYIV.US,D,20250919,000000,11.3,11.33,10.96,11.27,790536,0
KYIV.US,D,20250922,000000,10.8,11.19,10.77,11.14,367832,0
KYIV.US,D,20250923,000000,10.9,12.36,10.86,11.78,1057733,0
KYIV.US,D,20250924,000000,12.03,12.75,11.38,12.29,1104115,0
KYIV.US,D,20250925,000000,11.88,12.13,11.51,12.13,467050,0
KYIV.US,D,20250926,000000,12.05,12.4,11.75,11.92,404576,0
KYIV.US,D,20250929,000000,12.1,12.86,12.1,12.31,425962,0
KYIV.US,D,20250930,000000,12.23,12.54,12.1,12.5,345675,0
KYIV.US,D,20251001,000000,12.24,12.51,11.93,11.94,416638,0
KYIV.US,D,20251002,000000,12.27,12.27,11.5,12.04,370598,0
KYIV.US,D,20251003,000000,12.11,12.2,11.8,12.07,263831,0
KYIV.US,D,20251006,000000,12.15,12.366,11.78,12.14,360055,0
KYIV.US,D,20251007,000000,12,12.16,11.62,12.03,479639,0
KYIV.US,D,20251008,000000,12,12.24,11.902,12.04,333449,0
KYIV.US,D,20251009,000000,12.05,12.2,11.78,12.11,294142,0
KYIV.US,D,20251010,000000,12.11,12.64,11.78,11.98,775929,0
KYIV.US,D,20251013,000000,11.97,12.48,11.85,12.39,272171,0
KYIV.US,D,20251014,000000,12.01,12.44,11.72,12.2,629467,0
KYIV.US,D,20251015,000000,12.13,13.09,12.13,12.74,656110,0
KYIV.US,D,20251016,000000,12.94,14.11,12.89,13.93,1882022,0
KYIV.US,D,20251017,000000,13.24,13.86,12.78,13.71,1661769,0
KYIV.US,D,20251020,000000,13.58,13.79,13.125,13.54,533098,0
KYIV.US,D,20251021,000000,13.75,14.17,12.7,12.73,764322,0
KYIV.US,D,20251022,000000,12.68,12.82,12.13,12.82,676121,0
KYIV.US,D,20251023,000000,12.79,13.53,12.5001,13.25,432883,0
KYIV.US,D,20251024,000000,13.69,13.84,13.14,13.33,331490,0
KYIV.US,D,20251027,000000,13.4,13.58,12.735,13.21,348937,0
KYIV.US,D,20251028,000000,13.02,13.3,12.94,13.07,220327,0
KYIV.US,D,20251029,000000,13.02,13.75,13,13.6,284830,0
KYIV.US,D,20251030,000000,13.58,13.6,13.2,13.46,307340,0
KYIV.US,D,20251031,000000,13.5,14.29,13.5,14.14,567190,0
KYIV.US,D,20251103,000000,14.1,14.16,13.71,13.87,251694,0
KYIV.US,D,20251104,000000,13.38,13.6073,13.15,13.4,292555,0
KYIV.US,D,20251105,000000,13.26,13.75,13.26,13.45,181642,0
