<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBVIW.US,D,20251017,000000,0.6,0.65,0.6,0.625,179709,0
MBVIW.US,D,20251020,000000,0.65,0.8,0.61,0.7,34160,0
MBVIW.US,D,20251021,000000,1.14,1.14,0.7,0.7,337107,0
MBVIW.US,D,20251022,000000,0.7,0.7,0.6126,0.67,24712,0
MBVIW.US,D,20251023,000000,0.6883,0.7,0.63,0.7,2099,0
MBVIW.US,D,20251024,000000,0.63,0.7,0.63,0.7,1285,0
MBVIW.US,D,20251027,000000,0.685,0.685,0.65,0.65,29833,0
MBVIW.US,D,20251028,000000,0.67,0.67,0.625099,0.6698,27002,0
MBVIW.US,D,20251029,000000,0.6364,0.6364,0.61,0.61,6120,0
MBVIW.US,D,20251031,000000,0.61,0.6698,0.61,0.6698,11795,0
MBVIW.US,D,20251103,000000,0.6001,0.6001,0.5501,0.5501,332,0
MBVIW.US,D,20251104,000000,0.595,0.595,0.595,0.595,750,0
MBVIW.US,D,20251105,000000,0.56,0.56,0.5,0.5,24452,0
