<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCO.US,D,20250917,000000,25.01,25.01,24.9666,24.9666,252,0
MYCO.US,D,20250918,000000,24.93,24.93,24.89,24.9253,4904,0
MYCO.US,D,20250919,000000,24.93,24.93,24.9171,24.9171,802,0
MYCO.US,D,20250923,000000,24.93,24.93,24.9063,24.9063,104,0
MYCO.US,D,20251001,000000,24.89,24.9249,24.89,24.9249,1341,0
MYCO.US,D,20251002,000000,24.9095,25.03,24.9095,24.9653,12064,0
MYCO.US,D,20251003,000000,24.94,24.94,24.9232,24.9232,108,0
MYCO.US,D,20251006,000000,24.9,24.9,24.865,24.865,4571,0
MYCO.US,D,20251022,000000,25.13,25.145,25.13,25.145,220,0
MYCO.US,D,20251027,000000,25.22,25.22,25.2,25.2,216,0
MYCO.US,D,20251029,000000,25.19,25.19,25.0599,25.0599,18400,0
MYCO.US,D,20251103,000000,24.76,24.76,24.7352,24.7352,101,0
