<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDACR.US,D,20250421,000000,0.186,0.2,0.186,0.19,114886,0
RDACR.US,D,20250430,000000,0.1758,0.1765,0.1707,0.1707,1600,0
RDACR.US,D,20250501,000000,0.1708,0.1708,0.1708,0.1708,2813,0
RDACR.US,D,20250516,000000,0.18,0.18,0.18,0.18,804,0
RDACR.US,D,20250523,000000,0.1808,0.1808,0.18,0.18,4651,0
RDACR.US,D,20250605,000000,0.1717,0.1717,0.1717,0.1717,204,0
RDACR.US,D,20250611,000000,0.1717,0.1717,0.1707,0.1707,2731,0
RDACR.US,D,20250612,000000,0.1679,0.1679,0.1572,0.1572,1120,0
RDACR.US,D,20250613,000000,0.1612,0.1612,0.16,0.16,590,0
RDACR.US,D,20250617,000000,0.1532,0.1532,0.1521,0.1521,314,0
RDACR.US,D,20250714,000000,0.2,0.2,0.2,0.2,513,0
RDACR.US,D,20250716,000000,0.2,0.2,0.2,0.2,688,0
RDACR.US,D,20250728,000000,0.18,0.18,0.18,0.18,412,0
RDACR.US,D,20250805,000000,0.18,0.18,0.179,0.179,40050,0
RDACR.US,D,20250814,000000,0.18,0.18,0.170799,0.173285,3600,0
RDACR.US,D,20250815,000000,0.1616,0.1616,0.15575,0.1599,94087,0
RDACR.US,D,20250820,000000,0.18,0.18,0.18,0.18,1200,0
RDACR.US,D,20250827,000000,0.1572,0.1572,0.1572,0.1572,239,0
RDACR.US,D,20250902,000000,0.17,0.17,0.17,0.17,115,0
RDACR.US,D,20250903,000000,0.1596,0.165,0.1596,0.165,600,0
RDACR.US,D,20250904,000000,0.16,0.16,0.1598,0.1598,37429,0
RDACR.US,D,20250905,000000,0.155,0.1599,0.155,0.1599,15002,0
RDACR.US,D,20250909,000000,0.1548,0.1751,0.1548,0.1699,59304,0
RDACR.US,D,20250910,000000,0.17,0.175,0.17,0.175,1417,0
RDACR.US,D,20250911,000000,0.18,0.18,0.18,0.18,5000,0
RDACR.US,D,20250915,000000,0.18,0.18,0.18,0.18,6000,0
RDACR.US,D,20250916,000000,0.18,0.18,0.18,0.18,34300,0
RDACR.US,D,20250929,000000,0.19,0.2253,0.1698,0.1698,39465,0
RDACR.US,D,20251002,000000,0.24,0.26,0.23,0.25,1040,0
RDACR.US,D,20251003,000000,0.202,0.208,0.2,0.2,13852,0
RDACR.US,D,20251006,000000,0.2,0.2208,0.18,0.18,86040,0
RDACR.US,D,20251007,000000,0.2183,0.2357,0.2183,0.22,2023,0
RDACR.US,D,20251008,000000,0.2142,0.2142,0.18,0.18,58407,0
RDACR.US,D,20251009,000000,0.22,0.24,0.18,0.24,3034,0
RDACR.US,D,20251010,000000,0.242,0.242,0.2,0.2,1733,0
RDACR.US,D,20251013,000000,0.215,0.22,0.215,0.22,6798,0
RDACR.US,D,20251014,000000,0.26,0.33985,0.2,0.2,60233,0
RDACR.US,D,20251015,000000,0.236,0.28,0.22,0.2231,31093,0
RDACR.US,D,20251016,000000,0.28655,0.28655,0.215,0.215,12832,0
RDACR.US,D,20251017,000000,0.26,0.26,0.21,0.21,782,0
RDACR.US,D,20251020,000000,0.21,0.21,0.21,0.21,122,0
RDACR.US,D,20251021,000000,0.25,0.27,0.25,0.27,2339,0
RDACR.US,D,20251022,000000,0.26,0.26,0.26,0.26,142196,0
RDACR.US,D,20251023,000000,0.22,0.22,0.21,0.21,662,0
RDACR.US,D,20251028,000000,0.2,0.22,0.2,0.22,8531,0
RDACR.US,D,20251029,000000,0.17,0.2585,0.17,0.2338,4341,0
RDACR.US,D,20251030,000000,0.2847,0.2847,0.2847,0.2847,2049,0
RDACR.US,D,20251031,000000,0.1643,0.22,0.1643,0.1999,5603,0
RDACR.US,D,20251103,000000,0.199,0.24,0.18,0.24,6087,0
RDACR.US,D,20251104,000000,0.234985,0.234985,0.19,0.19,483,0
RDACR.US,D,20251105,000000,0.2493,0.2493,0.18001,0.19,955,0
