<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDIC.US,D,20250723,000000,3.5,6.1,3.35,4.38,1985000,0
TDIC.US,D,20250724,000000,3.8,4.89,3.48,4.22,706300,0
TDIC.US,D,20250725,000000,3.99,4.4,3.53,3.75,642600,0
TDIC.US,D,20250728,000000,4,4.3,3.78,4.11,294300,0
TDIC.US,D,20250729,000000,4.02,4.19,3.94,4.1,53600,0
TDIC.US,D,20250730,000000,4.01,4.39,4.01,4.27,47900,0
TDIC.US,D,20250731,000000,4.08,4.2699,3.6105,3.65,54027,0
TDIC.US,D,20250801,000000,3.51,3.705,3.11,3.5,50638,0
TDIC.US,D,20250804,000000,3.46,3.98,3.43,3.87,21373,0
TDIC.US,D,20250805,000000,3.69,3.88,3.575,3.88,37025,0
TDIC.US,D,20250806,000000,3.6542,3.88,3.46,3.69,12116,0
TDIC.US,D,20250807,000000,3.7,3.908,3.56,3.73,12320,0
TDIC.US,D,20250808,000000,3.52,3.88,3.52,3.74,13933,0
TDIC.US,D,20250811,000000,3.55,3.77,3.55,3.7,20366,0
TDIC.US,D,20250812,000000,3.6,3.9,3.4,3.87,100394,0
TDIC.US,D,20250813,000000,3.9,4,3.4,3.75,25648,0
TDIC.US,D,20250814,000000,3.4816,3.97,3.4816,3.89,14011,0
TDIC.US,D,20250815,000000,3.89,4.18,3.85,4,13738,0
TDIC.US,D,20250818,000000,3.91,4,3.85,3.99,12103,0
TDIC.US,D,20250819,000000,3.83,4.1,3.83,3.96,44307,0
TDIC.US,D,20250820,000000,3.9,3.99,3.83,3.98,7467,0
TDIC.US,D,20250821,000000,3.99,4,3.865,3.97,5099,0
TDIC.US,D,20250822,000000,3.86,3.95,3.7686,3.95,4792,0
TDIC.US,D,20250825,000000,3.97,4.02,3.92,3.99,4487,0
TDIC.US,D,20250826,000000,3.95,3.98,3.76,3.96,10763,0
TDIC.US,D,20250827,000000,3.9101,3.9502,3.79,3.8,45359,0
TDIC.US,D,20250828,000000,3.76,3.81,3.75,3.8067,16796,0
TDIC.US,D,20250829,000000,3.66,3.83,3.66,3.83,6537,0
TDIC.US,D,20250902,000000,3.76,3.85,3.75,3.8,11669,0
TDIC.US,D,20250903,000000,3.49,3.99,3.46,3.98,26756,0
TDIC.US,D,20250904,000000,3.81,3.96,3.75,3.75,2619,0
TDIC.US,D,20250905,000000,3.75,3.8,3.48,3.73,1866,0
TDIC.US,D,20250908,000000,3.48,3.95,3.48,3.8,27753,0
TDIC.US,D,20250909,000000,3.8,3.8,3.6238,3.7611,7304,0
TDIC.US,D,20250910,000000,3.735,3.94,3.6475,3.82,3424,0
TDIC.US,D,20250911,000000,3.72,3.88,3.605,3.85,24474,0
TDIC.US,D,20250912,000000,3.69,3.9,3.69,3.8483,2516,0
TDIC.US,D,20250915,000000,3.8733,3.97,3.8,3.97,16936,0
TDIC.US,D,20250916,000000,3.75,3.98,3.7101,3.9134,8406,0
TDIC.US,D,20250917,000000,3.67,3.97,3.65,3.91,7242,0
TDIC.US,D,20250918,000000,3.68,3.93,3.68,3.9,13759,0
TDIC.US,D,20250919,000000,3.89,3.9301,3.77,3.77,63445,0
TDIC.US,D,20250922,000000,3.9,4,3.52,3.9,29227,0
TDIC.US,D,20250923,000000,3.95,4.59,3.95,4.46,23129,0
TDIC.US,D,20250924,000000,4.15,5.4249,4.1,5.16,22993,0
TDIC.US,D,20250925,000000,5.1686,5.883,5.013,5.4894,22235,0
TDIC.US,D,20250926,000000,5.68,6.75,4.83,5.6637,1070379,0
TDIC.US,D,20250929,000000,5.7101,5.85,5.6,5.6,97217,0
TDIC.US,D,20250930,000000,5.55,5.8,5.4,5.72,158757,0
TDIC.US,D,20251001,000000,5.62,5.72,5.6,5.6544,7490,0
TDIC.US,D,20251002,000000,5.75,6.71,5.65,6.71,2861812,0
TDIC.US,D,20251003,000000,6.7,7.39,6.01,6.98,7278080,0
TDIC.US,D,20251006,000000,6.86,7.3,6.2,7.16,3586952,0
TDIC.US,D,20251007,000000,7.1,7.9,6.8,7.27,5837276,0
TDIC.US,D,20251008,000000,6.56,6.65,4.5,6.31,2374201,0
TDIC.US,D,20251009,000000,5.53,6.55,5.53,6.1,1230940,0
TDIC.US,D,20251010,000000,6.08,6.11,0.844,1.16,19433934,0
TDIC.US,D,20251013,000000,0.8221,1.12,0.6021,1.01,12980310,0
TDIC.US,D,20251014,000000,0.87,0.93,0.6666,0.75,2716606,0
TDIC.US,D,20251015,000000,0.75,0.8198,0.691,0.71,988923,0
TDIC.US,D,20251016,000000,0.6938,0.7,0.523,0.535,1409830,0
TDIC.US,D,20251017,000000,0.6688,0.67059,0.565,0.63,16608398,0
TDIC.US,D,20251020,000000,0.612,0.66,0.58,0.5999,789041,0
TDIC.US,D,20251021,000000,0.56,0.6003,0.5506,0.593,536586,0
TDIC.US,D,20251022,000000,0.58,0.6177,0.5659,0.5936,676391,0
TDIC.US,D,20251023,000000,0.536,0.5563,0.4947,0.52,1171726,0
TDIC.US,D,20251024,000000,0.48,0.5097,0.422,0.43,2209128,0
