<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WOK.US,D,20240823,000000,360,420,350,360,10727,0
WOK.US,D,20240826,000000,361,399,355,370,3830,0
WOK.US,D,20240827,000000,360,370,326,353,2307.4,0
WOK.US,D,20240828,000000,351,405,351,375,3396.71,0
WOK.US,D,20240829,000000,384,529,371,393,12443.43,0
WOK.US,D,20240830,000000,405,580,405,481,27230.98,0
WOK.US,D,20240903,000000,476,660,447,631,11101.11,0
WOK.US,D,20240904,000000,647,807.69,620.04,757,8029.52,0
WOK.US,D,20240905,000000,768,793,415.01,535,7207.96,0
WOK.US,D,20240906,000000,483,553.58,450,455,2108.96,0
WOK.US,D,20240909,000000,479,540,450,505,1362.31,0
WOK.US,D,20240910,000000,500,548.27,484.01,504,854.73,0
WOK.US,D,20240911,000000,492,522,472.03,487,807.41,0
WOK.US,D,20240912,000000,495,544,491,515,963.24,0
WOK.US,D,20240913,000000,507,520,466,466,549.1800000000001,0
WOK.US,D,20240916,000000,460,477,411,434,942.57,0
WOK.US,D,20240917,000000,450,450,420,420,136.37,0
WOK.US,D,20240918,000000,426,460,420.1,436,1079.8600000000001,0
WOK.US,D,20240919,000000,429,454.99,420.01,444,331.96,0
WOK.US,D,20240920,000000,446,480,444,450,401.7,0
WOK.US,D,20240923,000000,445,467,439,439,177.42000000000002,0
WOK.US,D,20240924,000000,439,537.42,439,526,1414.84,0
WOK.US,D,20240925,000000,542,542,440.01,494,1453.66,0
WOK.US,D,20240926,000000,480,600,480,538,1231.93,0
WOK.US,D,20240927,000000,520.5,580,504,552,370.26,0
WOK.US,D,20240930,000000,545,591.66,490,514.01,1761.21,0
WOK.US,D,20241001,000000,545,545,479,480,545.79,0
WOK.US,D,20241002,000000,479,529.99,466,490,583.01,0
WOK.US,D,20241003,000000,487,490,470,476,158.98,0
WOK.US,D,20241004,000000,480,512,471,471,132.99,0
WOK.US,D,20241007,000000,480,563.6,476,545,611.67,0
WOK.US,D,20241008,000000,534,559.99,504,540,337.43,0
WOK.US,D,20241009,000000,542,586,516,537,581.5500000000001,0
WOK.US,D,20241010,000000,516,561,516,539,190.81,0
WOK.US,D,20241011,000000,539,558,519.01,553,392.15000000000003,0
WOK.US,D,20241014,000000,540,660,522.8,554,2297.71,0
WOK.US,D,20241015,000000,545,597,536,597,191.48000000000002,0
WOK.US,D,20241016,000000,580,653,570,648,599.49,0
WOK.US,D,20241017,000000,673,673,619,635,240.63,0
WOK.US,D,20241018,000000,650,655.5,616,626,157.42000000000002,0
WOK.US,D,20241021,000000,628,668.96,612,620,523.48,0
WOK.US,D,20241022,000000,640,652,571.1,599,803.3000000000001,0
WOK.US,D,20241023,000000,631.31,668.99,609,626.69,180.52,0
WOK.US,D,20241024,000000,626,689,626,651,791.02,0
WOK.US,D,20241025,000000,614.94,677.63,613,641,372.93,0
WOK.US,D,20241028,000000,616,705.5,607.08,650,936.47,0
WOK.US,D,20241029,000000,651,669,633.01,635,200.92000000000002,0
WOK.US,D,20241030,000000,647.36,659,613,616,304.84000000000003,0
