<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGIQ.US,D,20250904,000000,20,20,19.6376,19.9691,43378,0
AGIQ.US,D,20250905,000000,20.19,20.24,19.93,20.13,49817,0
AGIQ.US,D,20250908,000000,20.32,20.33,20.23,20.2653,27072,0
AGIQ.US,D,20250909,000000,20.35,20.4,20.16,20.3171,17965,0
AGIQ.US,D,20250910,000000,20.54,20.6436,20.3138,20.3911,33813,0
AGIQ.US,D,20250911,000000,20.5591,20.83,20.42,20.7861,37874,0
AGIQ.US,D,20250912,000000,20.8,20.81,20.6207,20.6951,34027,0
AGIQ.US,D,20250915,000000,20.85,20.97,20.75,20.9285,46561,0
AGIQ.US,D,20250916,000000,21.01,21.06,20.85,21.0496,23694,0
AGIQ.US,D,20250917,000000,21.039,21.08,20.64,21.0112,34807,0
AGIQ.US,D,20250918,000000,21.33,21.63,21.32,21.6295,31550,0
AGIQ.US,D,20250919,000000,21.78,21.87,21.662,21.8268,32566,0
AGIQ.US,D,20250922,000000,21.85,22.04,21.76,22.01,44587,0
AGIQ.US,D,20250923,000000,22.11,22.12,21.7613,21.849,34451,0
AGIQ.US,D,20250924,000000,21.9355,21.9355,21.63,21.7191,21251,0
AGIQ.US,D,20250925,000000,21.51,21.64,21.2261,21.545,14353,0
AGIQ.US,D,20250926,000000,21.64,21.7196,21.51,21.709,8199,0
AGIQ.US,D,20250929,000000,21.9799,21.98,21.8035,21.8065,16125,0
AGIQ.US,D,20250930,000000,21.928,22.022,21.76,22.022,14170,0
AGIQ.US,D,20251001,000000,22.02,22.3895,21.989,22.3877,15784,0
AGIQ.US,D,20251002,000000,22.63,22.64,22.3569,22.4602,19526,0
AGIQ.US,D,20251003,000000,22.65,22.6745,22.455,22.4841,14883,0
AGIQ.US,D,20251006,000000,22.8299,22.935,22.73,22.832,23528,0
AGIQ.US,D,20251007,000000,22.9599,22.9993,22.43,22.5279,20160,0
AGIQ.US,D,20251008,000000,22.6095,22.9737,22.6095,22.9737,12884,0
AGIQ.US,D,20251009,000000,23.04,23.04,22.825,22.9495,16492,0
AGIQ.US,D,20251010,000000,22.95,23.06,22.02,22.0348,21972,0
AGIQ.US,D,20251013,000000,22.3101,22.56,22.3101,22.5063,12210,0
AGIQ.US,D,20251014,000000,22.03,22.45,21.85,22.2017,12228,0
AGIQ.US,D,20251015,000000,22.4999,22.5738,22.0508,22.2447,11343,0
AGIQ.US,D,20251016,000000,22.58,22.58,22.095,22.1826,6816,0
AGIQ.US,D,20251017,000000,22.06,22.2,21.96,22.0632,9891,0
AGIQ.US,D,20251020,000000,22.44,22.62,22.35,22.5896,19907,0
AGIQ.US,D,20251021,000000,22.58,22.89,22.55,22.84,13995,0
AGIQ.US,D,20251022,000000,22.97,22.98,22.3,22.551,21305,0
AGIQ.US,D,20251023,000000,22.525,23.0996,22.525,23.0769,23474,0
AGIQ.US,D,20251024,000000,23.36,23.36,23.17,23.235,42081,0
AGIQ.US,D,20251027,000000,23.6188,23.75,23.49,23.6554,24732,0
AGIQ.US,D,20251028,000000,23.7,23.73,23.5799,23.5805,32352,0
AGIQ.US,D,20251029,000000,23.76,24.05,23.73,23.92,48479,0
AGIQ.US,D,20251030,000000,23.775,23.99,23.71,23.745,21676,0
AGIQ.US,D,20251031,000000,24.009,24.3093,23.98,24.2794,30289,0
AGIQ.US,D,20251103,000000,24.385,24.45,24.04,24.32,48472,0
AGIQ.US,D,20251104,000000,23.8,24.07,23.51,23.58,47775,0
AGIQ.US,D,20251105,000000,23.51,23.72,23.35,23.66,12680,0
