<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AII.US,D,20250508,000000,16.9,19.45,16.7,16.9,3693277,0
AII.US,D,20250509,000000,17.5786,18.06,16.11,17.25,824850,0
AII.US,D,20250512,000000,17.5,17.56,16.81,17.25,143210,0
AII.US,D,20250513,000000,16.93,17.48,16.93,17.41,86331,0
AII.US,D,20250514,000000,17.075,17.325,17,17.25,75658,0
AII.US,D,20250515,000000,17.25,17.25,16.445,16.7,188892,0
AII.US,D,20250516,000000,16.54,16.72,16.3927,16.43,51798,0
AII.US,D,20250519,000000,16.2,16.44,16.02,16.43,106654,0
AII.US,D,20250520,000000,16.34,16.95,16.15,16.89,103077,0
AII.US,D,20250521,000000,16.61,16.9,16.34,16.67,31730,0
AII.US,D,20250522,000000,16.8425,16.8425,16.5,16.54,45633,0
AII.US,D,20250523,000000,16.674,16.674,16.3,16.54,63381,0
AII.US,D,20250527,000000,16.5,16.65,16.39,16.49,76035,0
AII.US,D,20250528,000000,16.34,16.8,16.3,16.8,68582,0
AII.US,D,20250529,000000,16.59,16.9,16.58,16.75,25499,0
AII.US,D,20250530,000000,16.46,16.95,16.46,16.57,105901,0
AII.US,D,20250602,000000,16.3414,16.63,16.285,16.6,353650,0
AII.US,D,20250603,000000,16.44,16.73,16.305,16.68,177541,0
AII.US,D,20250604,000000,16.8,16.96,16.34,16.49,107581,0
AII.US,D,20250605,000000,16.5,16.7,16.319,16.57,87731,0
AII.US,D,20250606,000000,16.87,17.45,16.68,17,90634,0
AII.US,D,20250609,000000,17.01,17.4,16.5977,17,181805,0
AII.US,D,20250610,000000,17.48,17.53,16.39,16.41,134770,0
AII.US,D,20250611,000000,16.96,17.03,16.09,16.11,107600,0
AII.US,D,20250612,000000,16.01,16.105,15.775,16,253614,0
AII.US,D,20250613,000000,15.895,16.62,15.775,16.46,191483,0
AII.US,D,20250616,000000,16.3134,16.68,16.14,16.54,198191,0
AII.US,D,20250617,000000,16.5145,16.77,16.16,16.49,146512,0
AII.US,D,20250618,000000,16.5,16.85,16.33,16.72,135403,0
AII.US,D,20250620,000000,16.8,16.94,16.42,16.63,618329,0
AII.US,D,20250623,000000,16.56,17.01,16.425,17.01,175846,0
AII.US,D,20250624,000000,16.988,17.99,16.95,17.86,407739,0
AII.US,D,20250625,000000,17.7712,18,17.3019,17.65,148455,0
AII.US,D,20250626,000000,17.61,18,17.59,17.98,100868,0
AII.US,D,20250627,000000,17.9372,17.99,17.55,17.82,112823,0
AII.US,D,20250630,000000,17.62,18.5,17.615,18.39,478323,0
AII.US,D,20250701,000000,18.315,19,18.14,18.43,395357,0
AII.US,D,20250702,000000,18.5,19.17,17.745,17.85,280651,0
AII.US,D,20250703,000000,18.37,18.5,17.765,17.81,27752,0
AII.US,D,20250707,000000,18.02,18.48,17.29,17.53,95888,0
AII.US,D,20250708,000000,17.55,17.99,17.4,17.78,132301,0
AII.US,D,20250709,000000,17.8,17.89,17.465,17.76,278956,0
AII.US,D,20250710,000000,17.94,18.02,17.2,17.24,69095,0
AII.US,D,20250711,000000,17.08,17.67,17.03,17.34,31888,0
AII.US,D,20250714,000000,17.422,18.07,17.28,18.07,48100,0
AII.US,D,20250715,000000,18.035,18.43,17.66,17.67,172986,0
AII.US,D,20250716,000000,18.19,18.19,17.65,17.73,105362,0
AII.US,D,20250717,000000,17.5208,17.99,17.51,17.83,99652,0
AII.US,D,20250718,000000,17.82,18,17.51,17.66,57660,0
AII.US,D,20250721,000000,17.61,17.8,16.88,16.89,72868,0
AII.US,D,20250722,000000,16.8,17.59,16.8,17.5,89726,0
AII.US,D,20250723,000000,17.735,17.75,17.37,17.55,90300,0
AII.US,D,20250724,000000,17.7,17.95,17.35,17.51,81636,0
AII.US,D,20250725,000000,17.51,17.51,17.22,17.33,41427,0
AII.US,D,20250728,000000,17.4907,17.57,17.1,17.18,36275,0
AII.US,D,20250729,000000,17.04,17.68,16.9605,17.6,123737,0
AII.US,D,20250730,000000,17.87,18.78,17.69,18.6,66682,0
AII.US,D,20250731,000000,18.545,18.865,18.5212,18.66,40226,0
AII.US,D,20250801,000000,18.56,18.77,18.13,18.48,52060,0
AII.US,D,20250804,000000,18.595,18.995,18.4,18.58,60064,0
AII.US,D,20250805,000000,18.66,18.8789,18.55,18.72,48850,0
AII.US,D,20250806,000000,18.725,19,18.13,18.19,52600,0
AII.US,D,20250807,000000,18.12,18.315,17.6,17.65,40068,0
AII.US,D,20250808,000000,17.78,18.095,17.15,17.57,45364,0
AII.US,D,20250811,000000,17.45,17.8,17.02,17.79,72613,0
AII.US,D,20250812,000000,18.045,18.06,17.55,17.77,47797,0
AII.US,D,20250813,000000,17.75,18.73,16.9,17.59,75827,0
AII.US,D,20250814,000000,17.385,18.82,17.38,18.66,91410,0
AII.US,D,20250815,000000,18.69,19.61,18.415,19.07,116736,0
AII.US,D,20250818,000000,19.08,19.46,18.56,18.76,58475,0
AII.US,D,20250819,000000,18.82,19.09,18.15,18.32,31995,0
