<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASCE.US,D,20250708,000000,24.85,24.85,24.755,24.755,233099,0
ASCE.US,D,20250709,000000,24.939,24.939,24.725,24.8672,14813,0
ASCE.US,D,20250710,000000,24.93,25.1899,24.93,25.0634,646,0
ASCE.US,D,20250711,000000,24.87,24.87,24.7533,24.7533,616,0
ASCE.US,D,20250714,000000,24.73,24.9,24.73,24.8974,905,0
ASCE.US,D,20250715,000000,24.76,24.76,24.5465,24.5465,81603,0
ASCE.US,D,20250716,000000,24.58,24.5896,24.4037,24.5896,2842,0
ASCE.US,D,20250717,000000,24.9,24.9296,24.87,24.9296,16293,0
ASCE.US,D,20250718,000000,24.86,24.86,24.75,24.758,8059,0
ASCE.US,D,20250721,000000,24.7896,24.85,24.6397,24.6397,15778,0
ASCE.US,D,20250722,000000,24.69,24.8007,24.69,24.8007,809,0
ASCE.US,D,20250723,000000,25.04,25.155,25.04,25.155,769,0
ASCE.US,D,20250724,000000,25.06,25.06,24.94,24.94,4810,0
ASCE.US,D,20250725,000000,25,25.17,25,25.1357,33397,0
ASCE.US,D,20250728,000000,25.29,25.29,25.2399,25.28,2557,0
ASCE.US,D,20250729,000000,25.25,25.27,25.0556,25.0556,5497,0
ASCE.US,D,20250730,000000,25.15,25.23,24.92,25.0119,3738,0
ASCE.US,D,20250731,000000,25.09,25.09,24.8013,24.8013,1213,0
ASCE.US,D,20250801,000000,24.12,24.37,24.12,24.3567,961,0
ASCE.US,D,20250804,000000,24.61,24.855,24.61,24.855,533,0
ASCE.US,D,20250805,000000,24.94,25.0041,24.93,25.0041,501,0
ASCE.US,D,20250806,000000,24.76,24.79,24.6988,24.7653,231755,0
ASCE.US,D,20250807,000000,25.18,25.18,24.7299,24.833,8233,0
ASCE.US,D,20250808,000000,25.22,25.4597,25.22,25.3483,2354,0
ASCE.US,D,20250811,000000,25.39,25.39,25.2488,25.2488,796,0
ASCE.US,D,20250812,000000,25.6,25.9269,25.6,25.9269,367,0
ASCE.US,D,20250813,000000,26.0408,26.157,25.92,26.157,4887,0
ASCE.US,D,20250814,000000,25.7201,25.8826,25.7201,25.8826,1817,0
ASCE.US,D,20250815,000000,25.64,25.684,25.61,25.684,3959,0
ASCE.US,D,20250818,000000,25.67,25.81,25.63,25.7922,10999,0
ASCE.US,D,20250819,000000,25.59,25.59,25.47,25.4856,436,0
ASCE.US,D,20250820,000000,25.43,25.43,25.1505,25.3404,19363,0
ASCE.US,D,20250821,000000,25.36,25.45,25.2905,25.4149,9611,0
ASCE.US,D,20250822,000000,25.54,26.23,25.54,26.1768,11273,0
ASCE.US,D,20250825,000000,26.26,26.28,26.1841,26.1841,14508,0
ASCE.US,D,20250826,000000,26.29,26.4338,26.28,26.4296,4429,0
ASCE.US,D,20250827,000000,26.49,26.6914,26.35,26.6794,2015,0
ASCE.US,D,20250828,000000,26.7,26.76,26.68,26.7308,6412,0
ASCE.US,D,20250829,000000,26.48,26.48,26.3694,26.3979,267927,0
ASCE.US,D,20250902,000000,26.22,26.5054,25.4,26.5054,3998,0
ASCE.US,D,20250903,000000,26.64,26.64,26.32,26.4404,7822,0
ASCE.US,D,20250904,000000,26.43,26.6085,26.43,26.6085,2191,0
ASCE.US,D,20250905,000000,26.86,26.86,26.44,26.5918,3166,0
ASCE.US,D,20250908,000000,26.55,26.63,26.46,26.5356,6956,0
ASCE.US,D,20250909,000000,26.5,26.5111,26.36,26.5111,1171,0
ASCE.US,D,20250910,000000,26.67,26.67,26.45,26.5412,7728,0
ASCE.US,D,20250911,000000,26.67,27.0231,26.66,27.0231,102617,0
ASCE.US,D,20250912,000000,26.8902,26.8902,26.715,26.72,59087,0
ASCE.US,D,20250915,000000,26.71,26.8,26.69,26.7034,39668,0
ASCE.US,D,20250916,000000,26.52,26.5245,26.38,26.5228,27547,0
ASCE.US,D,20250917,000000,26.68,26.9185,26.4,26.61,11886,0
ASCE.US,D,20250918,000000,27.03,27.15,26.96,27.15,2507,0
ASCE.US,D,20250919,000000,26.98,26.9801,26.88,26.88,1357,0
ASCE.US,D,20250922,000000,26.86,26.91,26.78,26.89,4924,0
ASCE.US,D,20250923,000000,27.13,27.13,26.77,26.77,1848,0
ASCE.US,D,20250924,000000,26.6924,26.6924,26.53,26.53,4573,0
ASCE.US,D,20250925,000000,26.23,26.33,26.18,26.33,15292,0
ASCE.US,D,20250926,000000,26.38,26.5206,26.38,26.5146,601,0
ASCE.US,D,20250929,000000,26.4465,26.4465,26.4429,26.4429,659,0
ASCE.US,D,20250930,000000,26.19,26.38,26.19,26.38,2728,0
ASCE.US,D,20251001,000000,26.41,26.5059,26.41,26.5059,739,0
ASCE.US,D,20251002,000000,26.437,26.56,26.437,26.5293,15890,0
ASCE.US,D,20251003,000000,26.73,26.73,26.5099,26.51,19056,0
ASCE.US,D,20251006,000000,26.43,26.69,26.42,26.42,9348,0
ASCE.US,D,20251007,000000,26.38,26.38,26.1798,26.2031,5245,0
ASCE.US,D,20251008,000000,26.199,26.3331,26.199,26.3331,349,0
ASCE.US,D,20251009,000000,26.18,26.18,26.1043,26.1043,481,0
ASCE.US,D,20251010,000000,25.82,25.82,25.1805,25.1805,3666,0
ASCE.US,D,20251013,000000,25.66,25.66,25.56,25.6176,1079,0
ASCE.US,D,20251014,000000,25.65,25.96,25.65,25.8645,550,0
ASCE.US,D,20251015,000000,26.29,26.29,26.02,26.1861,5370,0
ASCE.US,D,20251016,000000,26.15,26.15,25.71,25.7462,5062,0
ASCE.US,D,20251017,000000,25.7135,25.83,25.56,25.83,33542,0
ASCE.US,D,20251020,000000,26.08,26.1,25.94,26.0796,3297,0
ASCE.US,D,20251021,000000,25.94,26.15,25.92,26.1412,191089,0
ASCE.US,D,20251022,000000,26.01,26.01,25.6799,25.85,251923,0
ASCE.US,D,20251023,000000,26.0599,26.3305,26.0599,26.31,106511,0
ASCE.US,D,20251024,000000,26.7,26.73,26.5784,26.6,20341,0
ASCE.US,D,20251027,000000,26.83,26.85,26.607,26.68,6512,0
ASCE.US,D,20251028,000000,26.43,26.57,26.43,26.5,5860,0
ASCE.US,D,20251029,000000,26.5828,26.72,26.42,26.43,12548,0
ASCE.US,D,20251030,000000,26.4,26.44,25.95,25.95,6796,0
ASCE.US,D,20251031,000000,26.13,26.29,26.01,26.28,12053,0
ASCE.US,D,20251103,000000,26.01,26.38,25.98,26.09,7865,0
ASCE.US,D,20251104,000000,25.88,25.96,25.72,25.72,7318,0
ASCE.US,D,20251105,000000,25.93,26.28,25.93,26.27,3108,0
