<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRSH.US,D,20240503,000000,19.9423,20.13,19.8,20.07,4525,0
CRSH.US,D,20240506,000000,22.06,22.06,19.63,19.7798,5860,0
CRSH.US,D,20240507,000000,20.15,20.439,20.15,20.3897,5703,0
CRSH.US,D,20240508,000000,20.81,20.83,20.63,20.6549,17444,0
CRSH.US,D,20240509,000000,20.11,20.8884,20.11,20.8848,35676,0
CRSH.US,D,20240510,000000,21.07,21.07,20.88,20.9782,15748,0
CRSH.US,D,20240513,000000,21.36,21.36,20.39,20.6955,11449,0
CRSH.US,D,20240514,000000,20.44,20.44,19.945,20.1007,13392,0
CRSH.US,D,20240515,000000,20.1,20.67,20.1,20.4846,18919,0
CRSH.US,D,20240516,000000,20.65,20.69,20.39,20.4354,5693,0
CRSH.US,D,20240517,000000,21.08,21.08,19.86,20.1573,12919,0
CRSH.US,D,20240520,000000,20.3,20.48,20.26,20.4086,4187,0
CRSH.US,D,20240521,000000,20.18,20.18,19.35,19.3509,14221,0
CRSH.US,D,20240522,000000,19.79,20.14,19.79,20.0211,5855,0
CRSH.US,D,20240523,000000,19.45,20.57,19.45,20.545,9655,0
CRSH.US,D,20240524,000000,20.5,20.5,20.1,20.1596,8223,0
CRSH.US,D,20240528,000000,20.51,20.56,20.37,20.3846,6193,0
CRSH.US,D,20240529,000000,20.6,20.6,20.39,20.4333,3556,0
CRSH.US,D,20240530,000000,20.37,20.4609,19.9201,20.2727,3602,0
CRSH.US,D,20240531,000000,20.42,20.7399,20.24,20.4221,10349,0
CRSH.US,D,20240603,000000,20.53,20.74,20.1532,20.6409,9607,0
CRSH.US,D,20240604,000000,20.31,20.84,20.31,20.8102,11752,0
CRSH.US,D,20240605,000000,21.11,21.11,20.78,20.9222,18720,0
CRSH.US,D,20240606,000000,19.97,20.18,19.5143,19.6671,30032,0
CRSH.US,D,20240607,000000,20.07,20.07,19.5999,19.7693,19214,0
CRSH.US,D,20240610,000000,20.16,20.33,19.76,20.07,47270,0
CRSH.US,D,20240611,000000,20.4,20.49,20.07,20.2723,32771,0
CRSH.US,D,20240612,000000,20.15,20.27,19.44,19.6834,103295,0
CRSH.US,D,20240613,000000,18.77,19.33,18.33,19.28,93621,0
CRSH.US,D,20240614,000000,19.42,19.71,19,19.6942,25658,0
CRSH.US,D,20240617,000000,19.8,19.8,18.8,18.8767,78674,0
CRSH.US,D,20240618,000000,19.22,19.34,19.1134,19.1842,30019,0
CRSH.US,D,20240620,000000,19.25,19.6,19.1931,19.5491,43969,0
CRSH.US,D,20240621,000000,19.58,19.59,19.3208,19.3604,27204,0
CRSH.US,D,20240624,000000,19.42,19.49,18.975,19.49,38289,0
CRSH.US,D,20240625,000000,19.44,19.52,19.08,19.15,40252,0
CRSH.US,D,20240626,000000,19.24,19.24,18.1001,18.1944,81941,0
CRSH.US,D,20240627,000000,18.39,18.4,18.09,18.1068,38852,0
CRSH.US,D,20240628,000000,18.04,18.3398,17.69,18.125,40206,0
CRSH.US,D,20240701,000000,18.1,18.1,16.95,17.1539,60512,0
CRSH.US,D,20240702,000000,16.54,16.54,15.2,15.2,95262,0
CRSH.US,D,20240703,000000,14.9,15.0399,14.3001,14.38,78802,0
CRSH.US,D,20240705,000000,13.18,13.79,13.18,13.2,77373,0
CRSH.US,D,20240708,000000,13.26,13.48,13.071,13.256,84505,0
CRSH.US,D,20240709,000000,13.45,13.45,12.9026,12.9653,56779,0
CRSH.US,D,20240710,000000,12.95,13.06,12.57,12.75,85462,0
CRSH.US,D,20240711,000000,12.75,13.86,12.47,13.86,81459,0
CRSH.US,D,20240712,000000,14.12,14.12,13.44,13.5707,65262,0
CRSH.US,D,20240715,000000,13.41,13.48,12.82,13.48,73928,0
CRSH.US,D,20240716,000000,13.25,13.6523,13.14,13.37,43631,0
CRSH.US,D,20240717,000000,13.38,13.74,13.2,13.64,27799,0
CRSH.US,D,20240718,000000,13.74,13.8,13.3388,13.7042,14405,0
CRSH.US,D,20240719,000000,13.8,14.24,13.75,14.1924,42469,0
CRSH.US,D,20240722,000000,13.92,14,13.5,13.7,43429,0
CRSH.US,D,20240723,000000,13.41,13.97,13.41,13.95,51705,0
CRSH.US,D,20240724,000000,14.75,15.4299,14.75,15.4,113185,0
CRSH.US,D,20240725,000000,15.47,15.47,15.0801,15.3749,63474,0
CRSH.US,D,20240726,000000,15.44,15.4999,15.37,15.465,57756,0
CRSH.US,D,20240729,000000,15.31,15.31,14.6598,14.86,52733,0
CRSH.US,D,20240730,000000,14.93,15.54,14.8565,15.5,33614,0
CRSH.US,D,20240731,000000,14.88,15.0174,14.689,14.83,53536,0
CRSH.US,D,20240801,000000,14.8,15.85,14.8,15.72,48980,0
CRSH.US,D,20240802,000000,15.88,16.25,15.7701,16.2345,33478,0
CRSH.US,D,20240805,000000,17.62,17.67,16.3812,16.68,76020,0
CRSH.US,D,20240806,000000,17,17,16.52,16.65,77486,0
CRSH.US,D,20240807,000000,15.75,16.28,15.694,16.25,44260,0
CRSH.US,D,20240808,000000,15.83,16.32,15.83,16.04,42674,0
CRSH.US,D,20240809,000000,16.48,16.48,15.97,16.05,43665,0
CRSH.US,D,20240812,000000,16.36,16.3875,16,16.29,50157,0
CRSH.US,D,20240813,000000,16.36,16.36,15.6,15.71,41418,0
CRSH.US,D,20240814,000000,15.6,16.25,15.6,16.1228,23989,0
CRSH.US,D,20240815,000000,15.8,15.8,15.04,15.252,51553,0
CRSH.US,D,20240816,000000,15.37,15.37,14.81,15.04,27343,0
CRSH.US,D,20240819,000000,15,15.1,14.73,14.798,32528,0
CRSH.US,D,20240820,000000,14.66,14.94,14.5,14.81,43789,0
CRSH.US,D,20240821,000000,14.8,14.95,14.7301,14.79,23188,0
CRSH.US,D,20240822,000000,14.85,15.4,14.76,15.4,27820,0
CRSH.US,D,20240823,000000,15.27,15.27,14.93,14.9784,39181,0
CRSH.US,D,20240826,000000,14.84,15.4,14.84,15.3,27840,0
CRSH.US,D,20240827,000000,15.4,15.55,15.2699,15.5352,59955,0
CRSH.US,D,20240828,000000,15.5,15.7485,15.4801,15.65,35955,0
CRSH.US,D,20240829,000000,15.36,15.76,15.27,15.65,27185,0
CRSH.US,D,20240830,000000,15.74,15.7829,15.5,15.5,17835,0
CRSH.US,D,20240903,000000,15.57,15.7499,15.16,15.7,27768,0
CRSH.US,D,20240904,000000,15.94,15.94,15.08,15.2969,48920,0
CRSH.US,D,20240905,000000,15.24,15.24,14.28,14.62,107302,0
CRSH.US,D,20240906,000000,13.51,14.27,13.498,14.22,56612,0
CRSH.US,D,20240909,000000,14.25,14.3,14.0801,14.3,39893,0
CRSH.US,D,20240910,000000,14.51,14.51,13.9014,13.97,31373,0
CRSH.US,D,20240911,000000,14.12,14.32,13.8401,13.88,25364,0
CRSH.US,D,20240912,000000,13.87,14.02,13.7399,13.79,28401,0
CRSH.US,D,20240913,000000,13.75,14,13.69,13.8011,19889,0
CRSH.US,D,20240916,000000,13.9,14.055,13.898,13.9605,22959,0
CRSH.US,D,20240917,000000,13.76,13.9913,13.66,13.95,21320,0
CRSH.US,D,20240918,000000,14.005,14.07,13.7013,14.07,12195,0
CRSH.US,D,20240919,000000,13.8,13.8,13.17,13.27,75549,0
CRSH.US,D,20240920,000000,13.49,13.56,13.24,13.55,44489,0
CRSH.US,D,20240923,000000,13.5,13.5,13.02,13.11,73455,0
CRSH.US,D,20240924,000000,13,13.07,12.71,12.87,66872,0
CRSH.US,D,20240925,000000,12.94,12.94,12.75,12.8,56572,0
