<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPIN.US,D,20250623,000000,19.93,20.0522,19.93,20.0522,100,0
EPIN.US,D,20250724,000000,21.38,21.38,21.3115,21.3115,2020,0
EPIN.US,D,20250725,000000,21.21,21.31,21.21,21.2812,2981,0
EPIN.US,D,20250917,000000,21.84,21.95,21.8141,21.8141,302,0
EPIN.US,D,20250919,000000,21.79,21.79,21.7603,21.7603,285,0
EPIN.US,D,20250923,000000,22.08,22.08,21.92,21.92,200,0
EPIN.US,D,20250924,000000,21.91,21.91,21.7493,21.7493,101,0
EPIN.US,D,20250925,000000,21.63,21.638,21.63,21.638,105,0
EPIN.US,D,20250930,000000,21.86,21.9374,21.86,21.9374,100,0
EPIN.US,D,20251001,000000,22.04,22.1194,22.04,22.1194,100,0
EPIN.US,D,20251006,000000,22.45,22.46,22.45,22.46,111,0
EPIN.US,D,20251009,000000,22.17,22.17,22.1056,22.1056,100,0
EPIN.US,D,20251010,000000,21.56,21.59,21.4782,21.4782,4501,0
