<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGGY.US,D,20250918,000000,30.4609,30.4609,30.25,30.4609,327,0
IGGY.US,D,20250923,000000,30.64,30.65,30.36,30.4046,4263,0
IGGY.US,D,20250925,000000,29.9072,29.9072,29.8509,29.8509,201,0
IGGY.US,D,20250926,000000,29.785,29.8846,29.75,29.8846,376,0
IGGY.US,D,20250930,000000,29.9472,30.0211,29.9472,30.0211,100,0
IGGY.US,D,20251001,000000,30.18,30.1967,30.18,30.1967,168,0
IGGY.US,D,20251003,000000,30.7,30.7,30.6642,30.6642,117,0
IGGY.US,D,20251006,000000,30.8272,30.95,30.8272,30.8802,1875,0
IGGY.US,D,20251007,000000,30.5572,30.5572,30.5199,30.5199,207,0
IGGY.US,D,20251008,000000,30.675,30.7066,30.675,30.7066,301,0
IGGY.US,D,20251009,000000,30.43,30.4336,30.381,30.4329,605,0
IGGY.US,D,20251013,000000,30.09,30.09,30.0823,30.0823,443,0
IGGY.US,D,20251016,000000,29.95,30.02,29.95,29.9503,232,0
IGGY.US,D,20251028,000000,30.92,31.03,30.8873,30.8873,4439,0
IGGY.US,D,20251030,000000,30.4448,30.4448,30.4015,30.4015,1639,0
IGGY.US,D,20251031,000000,30.28,30.455,30.28,30.3699,6217,0
IGGY.US,D,20251104,000000,29.8875,29.8875,29.74,29.7403,1765,0
IGGY.US,D,20251105,000000,29.84,29.84,29.8399,29.8399,170,0
