<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NP.US,D,20251001,000000,22.46,25.45,22.3,24.8,13033974,0
NP.US,D,20251002,000000,24.235,28.71,24.18,28.45,2362718,0
NP.US,D,20251003,000000,28.19,33.2346,27.71,30.4,1682639,0
NP.US,D,20251006,000000,30.75,31.75,29.2,29.99,758587,0
NP.US,D,20251007,000000,30.235,30.76,26.7208,27.38,2616664,0
NP.US,D,20251008,000000,26.19,27.8,26.19,27.1,381454,0
NP.US,D,20251009,000000,26.68,27.61,26,27.44,338129,0
NP.US,D,20251010,000000,27.42,27.85,26.28,26.48,394127,0
NP.US,D,20251013,000000,25.9,28.9,25.9,28.37,442805,0
NP.US,D,20251014,000000,28.1853,28.54,27.04,27.34,171551,0
NP.US,D,20251015,000000,27.1159,27.73,25.265,26.39,327077,0
NP.US,D,20251016,000000,25.94,26.3442,24.43,25.34,219532,0
NP.US,D,20251017,000000,25.25,26,24.67,25.13,200622,0
NP.US,D,20251020,000000,25,25.51,24.25,25,137329,0
NP.US,D,20251021,000000,25.245,25.763,25,25.49,172130,0
NP.US,D,20251022,000000,25.455,25.455,24.5,24.8,145477,0
NP.US,D,20251023,000000,24.875,26,24.62,25.09,299174,0
NP.US,D,20251024,000000,25.39,26.97,25.1,26.37,362298,0
NP.US,D,20251027,000000,26.35,26.76,25,25.5,247558,0
NP.US,D,20251028,000000,25.91,26.48,25.2,25.69,290810,0
NP.US,D,20251029,000000,25.67,26.31,25.09,25.27,261356,0
NP.US,D,20251030,000000,25.36,26.875,25.01,26.49,214817,0
NP.US,D,20251031,000000,26.7,27.265,25.655,25.68,236284,0
NP.US,D,20251103,000000,25.77,26.72,24.83,25.26,342817,0
NP.US,D,20251104,000000,25.33,25.42,24.5,25.42,504114,0
NP.US,D,20251105,000000,25.3,25.89,25.123,25.61,120512,0
