<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCLG.US,D,20251001,000000,25.0454,25.17,25.0454,25.128,3128,0
PCLG.US,D,20251002,000000,25.1588,25.2131,25.1588,25.2131,259,0
PCLG.US,D,20251003,000000,25.44,25.44,25.3255,25.3255,1525,0
PCLG.US,D,20251007,000000,25.4199,25.42,25.41,25.415,1684,0
PCLG.US,D,20251008,000000,25.45,25.4655,25.45,25.4655,540,0
PCLG.US,D,20251009,000000,25.44,25.44,25.4356,25.4356,719,0
PCLG.US,D,20251010,000000,24.84,24.84,24.802,24.802,155,0
PCLG.US,D,20251013,000000,25.161,25.27,25.161,25.2421,3120,0
PCLG.US,D,20251014,000000,24.959,25.1172,24.9315,25.1172,5863,0
PCLG.US,D,20251016,000000,25.35,25.35,25.0583,25.0583,183,0
PCLG.US,D,20251020,000000,25.13,25.1792,25.13,25.1792,4753,0
PCLG.US,D,20251022,000000,25.12,25.1285,25.12,25.1285,1034,0
PCLG.US,D,20251023,000000,25.232,25.2775,24.9701,25.2775,34686,0
PCLG.US,D,20251024,000000,25.56,25.5875,25.522,25.522,1587,0
PCLG.US,D,20251027,000000,25.6864,25.7427,25.6846,25.7427,2075,0
PCLG.US,D,20251028,000000,25.8275,25.8936,25.8,25.8936,2503,0
PCLG.US,D,20251030,000000,25.5,25.5,25.3802,25.3802,115,0
PCLG.US,D,20251031,000000,25.72,25.72,25.6231,25.6231,108,0
PCLG.US,D,20251103,000000,25.67,25.7299,25.67,25.7299,175,0
PCLG.US,D,20251104,000000,25.49,25.49,25.1835,25.2005,338,0
PCLG.US,D,20251105,000000,25.24,25.3149,25.19,25.3,2204,0
