<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGE-WS.US,D,20250730,000000,0.54,0.54,0.54,0.54,272,0
TGE-WS.US,D,20250801,000000,0.33,0.33,0.32,0.32,710,0
TGE-WS.US,D,20250804,000000,0.33,0.37,0.3002,0.37,6700,0
TGE-WS.US,D,20250805,000000,0.47,0.47,0.3002,0.36,1343,0
TGE-WS.US,D,20250806,000000,0.46,0.46,0.33,0.33,292,0
TGE-WS.US,D,20250807,000000,0.3001,0.35,0.3,0.32,3276,0
TGE-WS.US,D,20250808,000000,0.3,0.33,0.29,0.3,60948,0
TGE-WS.US,D,20250811,000000,0.44,0.44,0.35,0.35,200,0
TGE-WS.US,D,20250812,000000,0.3,0.43,0.3,0.3,5592,0
TGE-WS.US,D,20250813,000000,0.3,0.4401,0.3,0.325,80176,0
TGE-WS.US,D,20250814,000000,0.311,0.33,0.25,0.3,30086,0
TGE-WS.US,D,20250815,000000,0.44,0.44,0.44,0.44,150,0
TGE-WS.US,D,20250818,000000,0.3,0.3,0.3,0.3,2189,0
TGE-WS.US,D,20250819,000000,0.31,0.336,0.3,0.3,23270,0
TGE-WS.US,D,20250820,000000,0.3,0.31,0.3,0.3,2967,0
TGE-WS.US,D,20250821,000000,0.31,0.31,0.3,0.3,2367,0
TGE-WS.US,D,20250822,000000,0.42,0.42,0.28,0.3,5933,0
TGE-WS.US,D,20250825,000000,0.3,0.3,0.3,0.3,5230,0
TGE-WS.US,D,20250826,000000,0.3,0.3085,0.2701,0.3,19661,0
TGE-WS.US,D,20250827,000000,0.3,0.3,0.3,0.3,2902,0
TGE-WS.US,D,20250828,000000,0.3,0.35,0.3,0.35,5026,0
TGE-WS.US,D,20250829,000000,0.3,0.3,0.3,0.3,5000,0
TGE-WS.US,D,20250902,000000,0.3,0.3,0.27,0.2741,3190,0
TGE-WS.US,D,20250903,000000,0.3,0.31,0.29,0.3,3737,0
TGE-WS.US,D,20250904,000000,0.3,0.3001,0.29,0.29,8339,0
TGE-WS.US,D,20250905,000000,0.3,0.3,0.3,0.3,4612,0
TGE-WS.US,D,20250908,000000,0.3,0.3,0.29,0.3,8883,0
TGE-WS.US,D,20250909,000000,0.3,0.33,0.3,0.3,4729,0
TGE-WS.US,D,20250910,000000,0.3,0.3,0.3,0.3,1521,0
TGE-WS.US,D,20250911,000000,0.3,0.31,0.29,0.3,6466,0
TGE-WS.US,D,20250912,000000,0.3,0.3646,0.3,0.31,6527,0
TGE-WS.US,D,20250915,000000,0.31,0.31,0.3,0.3,6577,0
TGE-WS.US,D,20250916,000000,0.3,0.31,0.3,0.3,11588,0
TGE-WS.US,D,20250917,000000,0.3,0.465,0.275,0.275,62531,0
TGE-WS.US,D,20250918,000000,0.3,0.312,0.275,0.29,56341,0
TGE-WS.US,D,20250919,000000,0.29,0.29,0.29,0.29,200,0
TGE-WS.US,D,20250922,000000,0.2701,0.2701,0.19,0.1994,23282,0
TGE-WS.US,D,20250923,000000,0.264,0.264,0.25,0.25,2323,0
TGE-WS.US,D,20250924,000000,0.1901,0.1901,0.19,0.19,355,0
TGE-WS.US,D,20250925,000000,0.21,0.21,0.21,0.21,746,0
TGE-WS.US,D,20250926,000000,0.2102,0.2102,0.21,0.21,5055,0
TGE-WS.US,D,20250930,000000,0.21,0.21,0.13,0.131,71869,0
TGE-WS.US,D,20251001,000000,0.1321,0.1321,0.11,0.11,11369,0
TGE-WS.US,D,20251002,000000,0.1102,0.1102,0.09,0.09,36221,0
TGE-WS.US,D,20251003,000000,0.09,0.0941,0.08,0.08,46701,0
TGE-WS.US,D,20251006,000000,0.1035,0.127,0.0706,0.072,41700,0
TGE-WS.US,D,20251007,000000,0.1152,0.12,0.08,0.119,13182,0
TGE-WS.US,D,20251008,000000,0.1134,0.16,0.08,0.08,36698,0
TGE-WS.US,D,20251009,000000,0.08,0.0999,0.07,0.08,12195,0
TGE-WS.US,D,20251010,000000,0.1,0.1,0.08,0.085,7201,0
TGE-WS.US,D,20251013,000000,0.0703,0.1,0.0703,0.1,363,0
TGE-WS.US,D,20251014,000000,0.11,0.11,0.0807,0.087,10998,0
TGE-WS.US,D,20251016,000000,0.09345,0.1049,0.07,0.0964,15358,0
TGE-WS.US,D,20251020,000000,0.07,0.1,0.07,0.1,5043,0
TGE-WS.US,D,20251021,000000,0.0901,0.1,0.08,0.08,8023,0
TGE-WS.US,D,20251022,000000,0.075,0.1097,0.07,0.07,8922,0
TGE-WS.US,D,20251023,000000,0.1099,0.1099,0.0614,0.1,17175,0
TGE-WS.US,D,20251024,000000,0.1,0.11969,0.085,0.11,2113,0
TGE-WS.US,D,20251027,000000,0.1,0.1,0.1,0.1,263,0
TGE-WS.US,D,20251028,000000,0.085,0.1099,0.085,0.1098,157428,0
TGE-WS.US,D,20251029,000000,0.085,0.1098,0.085,0.1098,1300,0
TGE-WS.US,D,20251030,000000,0.0884,0.1099,0.085,0.1099,28412,0
TGE-WS.US,D,20251031,000000,0.11295,0.3244,0.101,0.101,198380,0
TGE-WS.US,D,20251103,000000,0.23,0.25,0.1201,0.2001,72878,0
TGE-WS.US,D,20251104,000000,0.2038,0.23,0.16,0.16,5159,0
TGE-WS.US,D,20251105,000000,0.1576,0.23999,0.1472,0.16,2914,0
